■생활관식당(블루미르308관)
2014년 01월 06일 ~ 2014년 01월 12일
주간식단표
구분,월요일(01/06),화요일(01/07),수요일(01/08),목요일(01/09),금요일(01/10),토요일(01/11),일요일(01/12)
조식,한식,"참치채소볶음
얼갈이된장국
연두부찜
오이생채
쌀밥
깍두기","로스팜구이(돈육:수입산)
호박새우젓국
스크램블에그
숙주나물
쌀밥
솎음배추겉절이","꽁치구이(원양산)
새알심감자국
마늘종햄볶음(돈육
계육:국내산)
콩자반
쌀밥
배추김치","된장찌개
너비아니구이(돈육
계육:국내산)
실곤약야채무침
미역줄기볶음
쌀밥
배추김치","바베큐바조림(돈육
계육:국산)
쇠고기무국(우양지:뉴질랜드산)
팽이버섯양파볶음
돌나물&초장
쌀밥
배추김치","두부찜*김치볶음
오징어무국
(오징어:국내산)
완자전(돈육:국내산)
열무된장나물
쌀밥","비엔나메추리알조림(돈육
계육:국내산)
콩나물김치국
양념떡튀김
시금치나물
쌀밥
깍두기"
766Kcal,703Kcal,785Kcal,785Kcal,791Kcal,787Kcal,805Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"후렌치토스트
완두콩스프
핫도그(돈육
계육:국산)
시리얼
과일
우유
샐러드
피클","소보로빵
스크램블에그
옥수수스프
시리얼
과일
우유
샐러드
피클","햄치즈샌드위치(돈육
계육:국산)
채소스프
시리얼
과일
우유
샐러드
피클","닭죽(계육:국내산)
콩도너츠
시리얼
과일
우유
샐러드
배추김치","에그샌드위치
핫바&케찹
옥수수스프
시리얼
과일
우유
샐러드
피클",,
672Kcal,686Kcal,732Kcal,766Kcal,693Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"돼지불고기(돈육:국내산)
사각어무국
새송이버섯볶음
콩나물무침
쌀밥
배추김치","모둠장조림(돈육:국산)
아욱된장국
게맛살채소볶음
오이맛고추쌈장무침
쌀밥
깍두기","닭살채소볶음(계육:미국산)
다시마무국
옥수수전
단호박조림
쌀밥
배추김치","꼬마돈까스케찹조림(돈육
계육:국내산)
사골우거지국(우양지
우사골농축액:뉴질랜드산)
건파래볶음
참나물겉절이
쌀밥
깍두기","전주식콩나물국밥(오징어:국내산)
계란후라이
맛김구이
햄구이(돈육
계육:국내산)
쌀밥
깍두기","우거지해장국(우양지:뉴질랜드산)
계란장조림
감자사과샐러드
부추생채
쌀밥
깍두기","돼지고기채소비빔밥(돈육:국내산)
유부장국
배추김치
요쿠르트
순두부찌개
해물완자전
호박버섯볶음
배추된장나물
쌀밥
깍두기"
738Kcal,761Kcal,814Kcal,818Kcal,786Kcal,842Kcal,853Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
,양식,"김치볶음밥&계란후라이
사각어무국
스마일감자튀김
단무지","새우맛살볶음밥(새우:중국산)
아욱된장국
야채크로켓
배추김치","짜장면
다시마무국
물만두찜(돈육:국내산)
단무지","크림소스스파게티
수제마늘빵
피클
콜라","오므라이스
미니함박&데미소스(우육:뉴질랜드산
호주산
돈육:국산)
양송이스프
배추김치",,
873Kcal,847Kcal,829Kcal,837Kcal,834Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"돈부리(돈육:국내산)
사각어묵국
누룽지샐러드
단무지","햄버거스테이크&체다치즈(계육
돈육:국내산)
채소볶음밥
감자스프
피클","뚝배기부대찌개(돈육
계육:국내산)
옥수수전
흑미밥
깍두기
요쿠르트
","뚝배기김치날치알밥
미니우동
락교&오복지","안동국시(우양지
우사골농축액:뉴질랜드산)
계란후라이
맛김구이
쌀밥
깍두기",,
886Kcal,883Kcal,854Kcal,821Kcal,853Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     2,800원","     2,800원","     3,200원","     3,200원",         0원,         0원
