■생활관식당(블루미르308관)
2014년 01월 20일 ~ 2014년 01월 26일
주간식단표
구분,월요일(01/20),화요일(01/21),수요일(01/22),목요일(01/23),금요일(01/24),토요일(01/25),일요일(01/26)
조식,한식,"닭고기굴소스볶음(계육:미국산)
시금치된장국
사모사
무나물
쌀밥
배추겉절이","된장찌개
스크램블에그
연근조림
탕평채
쌀밥
배추김치","비엔나브로컬리볶음(돈육
계육:국산)
오징어무국(오징어:국내산)
실곤약채소무침
콩자반
쌀밥
배추김치","매운돼지고기감자볶음(돈육:국내산)
아욱된장국
호박볶음
파인콘샐러드
쌀밥
배추김치","꽁치구이(원양산)
시래기된장국
연두부찜
돌나물오이생채
쌀밥
깍두기","돼지불고기(돈육:국산)
감자맑은국
양배추쌈&쌈장
양파초절임
쌀밥
깍두기","로스팜구이(돈육:수입산)
환어묵국
도토리묵&양념장
쪽파무생채
쌀밥
배추김치"
741Kcal,724Kcal,787Kcal,739Kcal,779Kcal,854Kcal,784Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"고구마샌드위치
채소스프
시리얼
과일
우유
샐러드
피클","참치채소죽
콩도너츠
시리얼
과일
우유
샐러드
배추김치","불갈비샌드(돈육
계육:국내산)
양송이스프
시리얼
과일
우유","햄치즈샌드위치(돈육
계육:국내산)
브로컬리스프
시리얼
과일
우유
피클","시나몬토스트
누룽지죽
옥수수맛탕
시리얼
과일
우유
샐러드
깍두기",,
695Kcal,660Kcal,781Kcal,711Kcal,760Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
