■생활관식당(블루미르308관)
2014년 02월 10일 ~ 2014년 02월 16일
주간식단표
구분,월요일(02/10),화요일(02/11),수요일(02/12),목요일(02/13),금요일(02/14),토요일(02/15),일요일(02/16)
조식,한식,"오징어볶음(국내산)
맑은콩나물국
김구이
양념떡튀김
쌀밥
깍두기","꽁치김치조림(꽁치:수입산)
열무된장국
감자채볶음
숙주나물
쌀밥
깍두기","비엔나소시지볶음(돈육
계육:국내산)
감자맑은국
올방개묵&양념장
환어묵마늘종볶음
쌀밥
배추김치","장터국밥(우양지:뉴질랜드산)
계란장조림
부추생채
멸치볶음(중국산)
쌀밥
깍두기","닭고기굴소스볶음(계육:미국산)
콩나물국
실곤약채소무침
다시마튀각
쌀밥
배추김치","참치채소볶음
아욱된장국
햄구이(돈육
계육:국내산)
브로컬리숙회&초장
쌀밥
배추김치",
737Kcal,733Kcal,753Kcal,750Kcal,721Kcal,772Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
양식,"치즈토스트
채소죽
시리얼
과일
우유
샐러드
배추김치","카스텔라빵
옥수수스프
고구마맛탕
시리얼
과일
우유
샐러드
피클","단호박샌드위치
양송이스프
채소크로켓
시리얼
우유
과일
샐러드
피클","모닝빵&딸기잼
누룽지죽
치킨너겟(계육:국내산)
시리얼
과일
우유
샐러드
배추김치","핫케익
채소스프
찐계란&소금
시리얼
과일
우유
샐러드
피클",,"닭죽(계육:국내산)
콩도너츠
시리얼
과일
우유
샐러드
배추김치"
674Kcal,620Kcal,720Kcal,669Kcal,682Kcal,0Kcal,777Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
중식,한식,"햄모듬찌개&라면사리(돈육
계육:국내산)
계란찜
콘채소샐러드
콩자반
쌀밥
깍두기","메추리알햄장조림(돈육
계육:국내산)
배추된장국
오징어김치전(오징어:국내산)
채소잡채
쌀밥
깍두기","설렁탕&소면사리(우양지
우사골농축액:뉴질랜드산)
완자전(돈육:국낸산)
연근조림
돌나물&초장
쌀밥
깍두기","떡갈비구이(돈육:국내산)
쇠고기무국(우양지:뉴질랜드산)
알감자조림
깻임지무침
쌀밥
깍두기","돼지고기김치볶음(돈육:미국산)
미역국
물만두찜(돈육:국내산)
시래기된장조림
쌀밥
깍두기",,"돼지고기굴소스볶음(돈육:국산)
유부우동국
부추전
무비트초절임
쌀밥
배추김치"
837Kcal,857Kcal,819Kcal,837Kcal,832Kcal,0Kcal,815Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30, :~ :,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,"     2,800원"
양식,"닭갈비볶음밥(계육:미국산)
유부장국
핫바&케찹
동치미","토마토소스스파게티
크림스프
감자튀김
피클&할라피뇨","스팸계란말이덮밥(돈육:수입산)
일식장국
마카로니샐러드
깍두기","열무비빔냉면
삶은계란1/2
쇠고기무국(우양지:뉴질랜드산)
요구르트","우엉어묵볶음밥
미역국
핫도그(돈육
계육:국내산)
배추김치","김치볶음밥
계란후라이
유부장국
새우커틀렛(수입산)
동치미",
855Kcal,829Kcal,860Kcal,798Kcal,789Kcal,821Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원
특식,특식,"햄버거스테이크&체다치즈(계육
돈육:국내산)
채소볶음밥
감자스프
피클","닭살칼국수(계육:국산)
채소춘권
기장밥
배추김치","뚝배기불고기(돈육:국내산)
마카로니샐러드
흑미밥
깍두기
요구르트","뚝배기쫄면순두부찌개
떡갈비구이(돈육:국내산)
깻잎지무침
쌀밥
깍두기","뚝배기버섯만두전골(돈육:국내산
우사골농축액:뉴질랜드산)
도토리묵채소무침
시래기된장조림
쌀밥
깍두기",,
883Kcal,836Kcal,854Kcal,833Kcal,851Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     2,800원","     2,800원","     3,200원","     3,200원",         0원,         0원
석식,한식,"수제비
너비아니엿장조림(돈육
계육:국내산)
팽이버섯전
시금치된장나물
쌀밥
배추김치","꼬마돈까스간장조림(돈육
계육:국내산)
사골우거지탕(우양지
우사골농축액:뉴질랜드산)
호박볶음
양파초절임
쌀밥
깍두기","돼지고기오징어두루치기(돈육
오징어:국내산)
얼갈이된장국
양배추쌈
무생채
쌀밥
배추김치","콩나물밥&양념장
된장찌개
참치채소볶음
고추장떡
미역줄기볶음
배추김치","고기산적채소볶음(돈육
계육:국내산)
쇠고기대파해장국(우양지:뉴질랜드산)
천사채샐러드
마늘종지
쌀밥
솎음배추겉절이","두부조림
조랭이떡국
소면채소무침
건파래볶음
쌀밥
배추김치","짬뽕국(오징어:국내산)
계란말이
사각어묵볶음
오복지무침
쌀밥
배추김치"
839Kcal,875Kcal,846Kcal,872Kcal,803Kcal,718Kcal,744Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"마파두부덮밥(돈민찌:국내산)
일식장국
사모사
누룽지샐러드
단무지","돈까스김치덮밥(돈육:국내산)
유부장국
샐러드","자장덮밥
군만두(돈육:국내산)
일식장국
파인콘샐러드
배추김치","돈까스카레덮밥(돈육:국내산)
일식장국
배추김치","샐러드돈까스덮밥(돈육:국내산)
일식장국
배추김치",,
870Kcal,873Kcal,871Kcal,875Kcal,863Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
원산지,"메뉴는식자재수불상황에따라변동될수있으니양해부탁드립니다
우리식당은국내산쌀과국내산배추로만든김치류(배추-국산.고춧가루-국산)만을사용합니다
원산지표시는식자재수불상황에따라변경될수있으며당일메뉴는별도로원산지를공지하고있으니확인바랍니다
특성식품에알러지(Allergy)가있는고객께서는매뉴선택전식당사무실로문의하여주시기바랍니다
볶음밥(햄-돈육.계육-국산).김치찌게(배추-국산.고춧가루-국산)"
공지사항,"동계방학(2013/12/23~2014/02/28) 운영시간
조식 : 평일 07:00~08:40 / 토,일요일 08:00~09:00
중식 : 평일 korean 11:30~13:30,Inter/Pre 11:30~13:00/ 토.일요일 11:30~13:00
석식 : 평일 17:30~19:00 / 토.일요일 17:30~18:30
분식 : 평일 09:00~17:00/ 토.일요일 운영없음
식재료 수급에 따라 메뉴가 변경 될 수 있습니다."
공지사항,동계방학 기간에 분식코너는 평일에만 운영합니다.
