■생활관식당(블루미르308관)
2014년 02월 17일 ~ 2014년 02월 23일
주간식단표
구분,월요일(02/17),화요일(02/18),수요일(02/19),목요일(02/20),금요일(02/21),토요일(02/22),일요일(02/23)
조식,한식,"로스팜구이(돈육:국내산)
근대된장국
감자채볶음
숙주나물
쌀밥
깍두기","된장찌개
스크램블에그
연근조림
탕평채
쌀밥
배추김치","비엔나브로컬리볶음(돈육
계육:국내산)
오징어무국(오징어:국내산)
실곤약채소무침
콩자반
쌀밥
배추김치",휴관,휴관,휴관,휴관
789Kcal,819Kcal,826Kcal,0Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"단호박샌드위치
채소스프
시리얼
과일
우유
샐러드
피클","모닝빵&딸기잼
누룽지죽
옥수수맛탕
시리얼
과일
우유
샐러드
배추김치","불갈비샌드(돈육
계육:국내산)
양송이스프
시리얼
과일
우유",휴관,휴관,휴관,휴관
701Kcal,709Kcal,772Kcal,0Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"미트볼조림(돈육:국내산)
계란후라이
쇠고기대파해장국(우양지:뉴질랜드산)
부추생채
쌀밥
깍두기","고등어구이&와사비장(국내산)
유부우동국
채소잡채
얼갈이겉절이
쌀밥
깍두기","육개장(우양지:뉴질랜드산)
너비아니구이(돈육
계육:국내산)
주키니호박볶음
건파래볶음
쌀밥
깍두기",휴관,휴관,휴관,휴관
796Kcal,739Kcal,882Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"볶음우동
사모사
팽이버섯장국
깍두기","돼지고기채소비빔밥(돈육:국내산)
유부우동국
고구마맛탕
깍두기","온메밀국수
손만두찜(돈육:국내산)
깍두기
바나나1/2",휴관,휴관,휴관,휴관
803Kcal,892Kcal,803Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"김치치즈볶음밥&계란후라이
팽이버섯장국
동치미
사모사","새우튀김우동(새우:베트남산)
김가루양념밥
고구마맛탕
단무지","비빔밥*계란후라이
장국
손만두찜(돈육:국내산)
배추김치",휴관,휴관,휴관,휴관
829Kcal,842Kcal,849Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     2,800원","     2,800원","     3,200원","     3,200원",         0원,         0원
석식,한식,"두부찜*김치볶음
쇠고기무국(우양지:뉴질랜드산)
느타리버섯볶음
양념떡튀김
쌀밥","김치찌개
완자조림(돈육:국내산)
녹두김치전
김구이
쌀밥
깍두기",휴관,휴관,휴관,휴관,휴관
751Kcal,729Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"치킨가스카레덮밥(계육:중국산)
일식장국
배추김치","샐러드돈가스덮밥(돈육:국내산)
일식장국
배추김치",휴관,휴관,휴관,휴관,휴관
870Kcal,863Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
원산지,"메뉴는식자재수불상황에따라변동될수있으니양해부탁드립니다
우리식당은국내산쌀과국내산배추로만든김치류(배추-국산.고춧가루-국산)만을사용합니다
원산지표시는식자재수불상황에따라변경될수있으며당일메뉴는별도로원산지를공지하고있으니확인바랍니다
특성식품에알러지(Allergy)가있는고객께서는매뉴선택전식당사무실로문의하여주시기바랍니다
볶음밥(햄-돈육.계육-국산).김치찌게(배추-국산.고춧가루-국산)"
공지사항,"동계방학(2013/12/23~2014/02/28) 운영시간
조식 : 평일 07:00~08:40 / 토,일요일 08:00~09:00
중식 : 평일 korean 11:30~13:30,Inter/Pre 11:30~13:00/ 토.일요일 11:30~13:00
석식 : 평일 17:30~19:00 / 토.일요일 17:30~18:30
분식 : 평일 09:00~17:00/ 토.일요일 운영없음
식재료 수급에 따라 메뉴가 변경 될 수 있습니다."
공지사항,동계방학 기간에 분식코너는 평일에만 운영합니다.
공지사항,"2/19(수)에는 중식까지 운영되며, 분식코너는 2시까지 운영합니다.
2/20(목)~2/27(목)까지 기숙사 휴관으로 식당 운영이 없습니다."
