■생활관식당(블루미르308관)
2014년 01월 27일 ~ 2014년 02월 02일
주간식단표
구분,월요일(01/27),화요일(01/28),수요일(01/29),목요일(01/30),금요일(01/31),토요일(02/01),일요일(02/02)
조식,한식,"쇠고기무국(우육:뉴질랜드산)
비엔나케찹볶음(돈육
계육:국내산)
단호박조림
돌나물&초장
배추김치","들깨우거지된장국
조기양념찜(중국산)
감자조림
고추지무침
쌀밥
깍두기","계란장조림
된장찌개
탕평채
쑥갓유부나물
쌀밥
깍두기","물만두국(돈육:국내산)
너비아니엿장조림(돈육
계육:국내산)
마늘종어묵볶음
무생채
쌀밥
배추김치",설연휴,설연휴,"모닝토스트
녹두죽
시리얼&과일&우유
샐러드
배추김치"
751Kcal,697Kcal,628Kcal,843Kcal,0Kcal,0Kcal,607Kcal
07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"고구마모닝빵
찐계란*소금
채소스프
시리얼&과일&우유
샐러드
피클","카스텔라
채소죽
핫바&케찹
시리얼&과일&우유
샐러드
배추김치","후렌치토스트
누룽지죽
옥수수맛탕
시리얼&과일&우유
샐러드
배추김치",,설연휴,설연휴,
615Kcal,649Kcal,832Kcal,0Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"돼지고기감자조림(돈육:국내산)
미역국
사모사
깻잎지무침
쌀밥
배추김치","떡갈비구이(돈육:국내산)
얼갈이된장국
채소잡채
게맛살채소볶음
쌀밥
깍두기","닭개장(계육:국내산)
햄구이(돈육
계육:국내산)
부추생채
명엽채볶음(수입산)
쌀밥
깍두기","두부찜&김치볶음
표고버섯계란국
브로컬리숙회&초장
멸치볶음(중국산)
쌀밥",설연휴,"삼치구이(국내산)
호박된장국
엄지새송이볶음
매콤콩나물무침
쌀밥
배추김치","닭고기&떡조림(계육
미국산)
시래기된장국
천사채샐러드
오이지무침
쌀밥
깍두기"
831Kcal,830Kcal,686Kcal,743Kcal,0Kcal,604Kcal,718Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"잔치국수
핫도그(돈육
계육:국내산)
샐러드
배추김치","참치채소볶음밥
얼갈이된장국
오징어커틀렛(오징어:국산+수입산)
깍두기","우동
만두강정(돈육:국내산)
봄동겉절이
귤1/2",설연휴,설연휴,,
812Kcal,817Kcal,880Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"뚝배기돈육김치찌개(돈육:국내산)
감자전
깻잎지무침
쌀밥
깍두기","뚝배기불고기(돈육:국내산)
게맛살채소볶음
흑미밥
깍두기",,설연휴,설연휴,,
882Kcal,802Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     2,800원","     3,200원","     3,200원","     3,200원",         0원,         0원
