■생활관식당(블루미르308관)
2014년 03월 03일 ~ 2014년 03월 09일
주간식단표
구분,월요일(03/03),화요일(03/04),수요일(03/05),목요일(03/06),금요일(03/07),토요일(03/08),일요일(03/09)
조식,한식,"참치김치볶음
팽이버섯장국
소시지전(돈육:국내산)
마늘종멸치볶음
쌀밥
천사채샐러드","북어해장국(북어:러시아산)
햄구이(돈육
계육:국내산)
연근조림
토란대들깨볶음
쌀밥
열무생채","꽁치데리야끼구이(수입산)
시금치된장국
사모사
무생채
쌀밥
배추김치","장터국밥
너비아니엿장조림(돈육
계육:국내산)
청포묵김가루무침
미역줄기볶음
쌀밥
배추김치","떡갈비조림(돈육:국산)
쇠고기무국(우양지:뉴질랜드산)
팽이버섯양파볶음
우엉조림
쌀밥
배추김치","두부찜*김치볶음
오징어무국(오징어:국내산)
완자튀김(돈육:국내산)
유채된장나물
쌀밥","수제비국
비엔나채소볶음(돈육
계육:국내산)
실곤약채소무침
콩자반
쌀밥
깍두기"
812Kcal,831Kcal,809Kcal,797Kcal,798Kcal,803Kcal,812Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"후렌치토스트
완두콩스프
감자튀김
시리얼&과일&우유
샐러드
피클","시나몬토스트
채소스프
시리얼&과일&우유
샐러드
피클","페스트리빵
누룽지죽
시리얼&과일&우유
샐러드
배추김치","불갈비샌드(돈육
계육:국내산)
크림스프
샐러드&과일&우유","단호박샌드위치
핫바&케찹
옥수수스프
시리얼&과일&우유
샐러드
피클",,
849Kcal,712Kcal,724Kcal,798Kcal,776Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"콩나물밥&양념장
곤약어묵국
고기산적구이(돈육
계육:국내산)
떡맛탕
오복지
배추김치","경상도식고깃국(우양지:뉴질랜드산)
두부찜&양념장
느타리버섯볶음
브로컬리숙회
쌀밥
배추김치","닭고기굴소스볶음(계육:미국산)
사각어묵국
파래김구이&양념장
오이지무침
쌀밥
배추김치","꼬마돈까스케찹조림(돈육
계육:국내산)
사골우거지국(우양지
우사골농축액:뉴질랜드산)
건파래볶음
참나물겉절이
쌀밥
깍두기","전주식콩나물국밥(오징어:국내산)
계란후라이
맛김구이
햄구이(돈육
계육:국내산)
쌀밥
깍두기","떡만두국(돈육:국내산)
참치채소전
부추생채
바베큐바조림(돈육
계육:국내산)
쌀밥
배추김치","돼지고기채소비빔밥(돈육:국내산)
유부장국
배추김치
요구르트"
896Kcal,769Kcal,834Kcal,892Kcal,791Kcal,874Kcal,821Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"어묵우동
손만두찜(돈육:국내산)
누룽지샐러드
단무지","김치볶음밥&계란후라이
팽이버섯장국
스마일감자튀김
단무지","잔치국수
채소춘권
오렌지
배추김치","치킨마요덮밥(계육:중국산)
유부우동국
배추김치
요구르트","짜장면
계란파국
물만두찜(돈육:국내산)
단무지",,
842Kcal,868Kcal,799Kcal,837Kcal,832Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"돈까스토마토스파게티(돈육:국내산)
옥수수스프
누룽지샐러드
단무지","돼지고기장조림
버터비빔밥(돈후지:국내산)
팽이버섯장국
배추김치","뚝배기부대찌개(돈육
계육:국내산)
채소춘권
흑미밥
깍두기
요구르트
파래김구이&양념장","뚝배기김치날치알밥
미니우동
락교&오복지","안동국시(우양지
우사골농축액:뉴질랜드산)
계란후라이
맛김구이
쌀밥
깍두기",,
829Kcal,767Kcal,851Kcal,847Kcal,853Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     2,800원","     2,800원","     3,200원","     3,200원",         0원,         0원
석식,한식,"설렁탕&소면사리(우양지
우사골농축액:뉴질랜드산)
고추장떡
도토리묵무침
호박볶음
쌀밥
깍두기","돼지고기오징어두루치기(돈육
오징어:국내산)
근대된장국
양배추쌈
무비트초절임
쌀밥
배추김치","육개장(우양지:뉴질랜드산)
메추리알어묵볶음
채소잡채
돌나물겉절이
쌀밥
깍두기","돼지고기고추장볶음(돈육:국내산)
미역국
감자채볶음
양파초절임
쌀밥
솎음배추겉절이","닭고기&떡조림(계육:미국산)
시래기된장국
명엽채볶음(수입산)
무말랭이무침
쌀밥
배추김치","돼지고기된장볶음(돈육:국내산)
감자맑은국
깻잎지무침
숙주나물
쌀밥
깍두기","순두부맑은국
계란장조림
게맛살채소볶음
다시마튀각
쌀밥
솎음배추겉절이"
876Kcal,859Kcal,899Kcal,842Kcal,816Kcal,827Kcal,833Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"등심돈가스(돈육:국내산)
크림스프
마카로니샐러드
쌀밥
배추김치","함박스테이크(계육
돈육:국내산)
감자스프
파인콘샐러드
쌀밥
배추김치","미트볼하이라이스(돈육:국내산)
일식장국
샐러드
배추김치","카레라이스
고구마맛탕
일식장국
샐러드
배추김치","샐러드돈가스덮밥(돈육:국내산)
일식장국
배추김치",,
759Kcal,757Kcal,870Kcal,871Kcal,863Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
