■생활관식당(블루미르308관)
2014년 03월 10일 ~ 2014년 03월 16일
주간식단표
구분,월요일(03/10),화요일(03/11),수요일(03/12),목요일(03/13),금요일(03/14),토요일(03/15),일요일(03/16)
조식,한식,"오징어떡불고기(오징어:국내산)
호박새우젓국
소시지전(돈육:국내산)
건파래볶음
쌀밥
단배추겉절이","삼치구이(국내산)
미역국
감자채볶음
부추적채겉절이
쌀밥
배추김치","후랑크소시지채소볶음(돈육
계육:국내산)
강된장찌개
단호박조림
해파리냉채
쌀밥
배추김치","장터국밥(우양지:뉴질랜드산)
계란장조림
고추지무침
멸치볶음(국내산)
쌀밥
깍두기","닭고기굴소스볶음(계육:미국산)
콩나물국
유채나물
파래김구이&양념장
쌀밥
깍두기","참치채소고추장볶음
근대된장국
햄계란전(돈육
계육:국내산)
고구마순들깨나물
쌀밥
동치미","후렌치토스트
채소죽
시리얼
과일
우유
샐러드
배추김치"
833Kcal,786Kcal,790Kcal,789Kcal,781Kcal,803Kcal,684Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝토스트
크림스프
시리얼
과일
우유
샐러드
피클","카스텔라빵
옥수수스프
시리얼
과일
우유
샐러드
피클","고구마모닝빵
양송이스프
채소크로켓
시리얼
과일
우유
샐러드
피클","누룽지죽
치킨너겟(계육:국내산)
시리얼
과일
우유
샐러드
배추김치","핫케익
채소스프
찐계란*소금
시리얼
과일
우유
샐러드
피클",,
731Kcal,620Kcal,687Kcal,702Kcal,749Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"햄모듬찌개&라면사리(돈육
계육:국내산)
계란찜
콘채소샐러드
콩자반
쌀밥
깍두기","메추리알햄장조림(돈육
계육:국내산)
배추된장국
오징어김치전(오징어:국내산)
채소잡채
쌀밥
깍두기","닭곰탕&소면사리(대닭:국내산
우사골농축액:뉴질랜드산)
미트볼조림(돈육:국내산)
연두부&양념장
무말랭이무침
쌀밥
배추김치","비엔나소시지브로컬리볶음(돈육
계육:국내산)
쇠고기무국(우양지:뉴질랜드산)
알감자조림
깻잎지무침
쌀밥
배추김치","돼지고기김치볶음(돈전지:미국산)
미역국
물만두찜(돈육:국내산)
열무된장나물
쌀밥
깍두기","오므라이스&생선커틀렛(중국산)
무국
배추김치
요쿠르트","돼지고기고추장볶음(돈육:국내산)
계란파국
양파초절임
숙주나물무침
쌀밥
깍두기"
837Kcal,857Kcal,876Kcal,831Kcal,832Kcal,842Kcal,844Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
,양식,"참치마요덮밥
팽이버섯장국
사모사
깍두기","토마토소스스파게티
수제마늘빵
감자튀김
콜라
피클","스팸계란말이덮밥(돈육:수입산)
일식장국
마카로니샐러드
깍두기","베이컨햄마늘볶음밥(돈육:수입산
돈육
계육:국내산)
팽이버섯장국
고구마맛탕
깍두기","볶음우동
일식장국
새우커틀렛&타르타르소스
바나나1/2
단무지",,
874Kcal,879Kcal,860Kcal,896Kcal,899Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"햄버거스테이크&체다치즈(계육
돈육:국내산)
채소볶음밥
감자스프
피클","닭살칼국수(계육:국내산)
채소춘권
기장밥
배추김치","뚝배기불고기(돈육:국내산)
마카로니샐러드
현미밥
요쿠르트
깍두기","비빔밥*계란후라이
팽이버섯장국
알감자조림
배추김치","뚝배기버섯만두전골(돈육:국내산
우사골농축액:뉴질랜드산)
도토리묵채소무침
열무된장나물
쌀밥
깍두기",,
883Kcal,836Kcal,854Kcal,812Kcal,851Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     2,800원","     2,800원","     3,200원","     3,200원",         0원,         0원
석식,한식,"너비아니구이(돈육
계육:국내산)
콩나물해장국
청포묵김가루무침
돌나물상추겉절이
쌀밥
깍두기","꼬마돈까스간장조림(돈육
계육:국내산)
사골우거지탕(우양지
우사골농축액:뉴질랜드산)
호박볶음
양파초절임
쌀밥
깍두기","돼지고기오징어두루치기(돈육
오징어:국내산)
얼갈이된장국
양배추쌈
무비트초절임
쌀밥
배추김치","경상도식고깃국(우전각:호주산)
계란말이
새송이버섯볶음
사각어묵볶음
쌀밥
배추김치","고기산적조림(돈육
계육:국내산)
시래기된장국
실곤약채소무침
미역줄기볶음
쌀밥
깍두기","해물완자전
시금치된장국
두부조림
마늘종볶음
쌀밥
배추김치","취나물버섯밥&양념장
근대된장국
떡맛탕
게맛살채소볶음
무생채
배추김치"
869Kcal,875Kcal,846Kcal,793Kcal,803Kcal,749Kcal,865Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"미트볼하이라이스(돈육:국내산)
유부장국
크루통샐러드
깍두기","돈까스김치덮밥(돈육:국내산)
유부장국
샐러드","자장덮밥
군만두(돈육:국내산)
일식장국
파인콘샐러드
배추김치","돈까스카레덮밥(돈육:국내산)
일식장국
배추김치","샐러드돈가스덮밥(돈육:국내산)
일식장국
배추김치",,
870Kcal,873Kcal,871Kcal,875Kcal,863Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
원산지,"메뉴는식자재수불상황에따라변동될수있으니양해부탁드립니다
우리식당은국내산쌀과국내산배추로만든김치류(배추-국산.고춧가루-국산)만을사용합니다
원산지표시는식자재수불상황에따라변경될수있으며당일메뉴는별도로원산지를공지하고있으니확인바랍니다
특성식품에알러지(Allergy)가있는고객께서는매뉴선택전식당사무실로문의하여주시기바랍니다
볶음밥(햄-돈육.계육-국산).김치찌게(배추-국산.고춧가루-국산)"
공지사항,"주말 분식코너는 라면메뉴만 운영합니다.(메뉴1, 메뉴2)"
