■생활관식당(블루미르308관)
2014년 03월 17일 ~ 2014년 03월 23일
주간식단표
구분,월요일(03/17),화요일(03/18),수요일(03/19),목요일(03/20),금요일(03/21),토요일(03/22),일요일(03/23)
조식,한식,"닭고기떡볶음(계육:미국산)
맑은콩나물국
감자조림
해초무침
쌀밥
깍두기","된장찌개
스크램블에그
연근조림
탕평채
쌀밥
배추김치","비엔나채소볶음(돈육
계육:국내산)
감자고추장찌개
무들깨나물
시금치나물
쌀밥
배추김치","매운돼지고기감자볶음(돈육:국내산)
아욱된장국
호박볶음
파인콘샐러드
쌀밥
배추김치","꽁치구이(원양산)
김치국
건파래볶음
숙주나물
쌀밥
깍두기","돼지불고기(돈육:국내산)
감자맑은국
양배추쌈&쌈장
양파초절임
쌀밥
깍두기","로스팜구이(돈육:수입산)
환어묵국
도토리묵&양념장
쪽파무생채
쌀밥
배추김치"
836Kcal,819Kcal,843Kcal,739Kcal,752Kcal,854Kcal,784Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"감자샌드위치
채소스프
시리얼
과일
우유
샐러드
피클","참치채소죽
콩도너츠
시리얼
과일
우유
샐러드
배추김치","불갈비샌드(돈육
계육:국내산)
양송이스프
시리얼
과일
우유","모닝토스트
브로컬리스프
시리얼
과일
우유
샐러드
깍두기","핫케익
누룽지죽
시리얼
과일
우유
샐러드
깍두기",,
693Kcal,660Kcal,772Kcal,630Kcal,634Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"미트볼조림(돈육:국내산)
계란후라이
쇠고기대파해장국(우양지:뉴질랜드산)
부추생채
쌀밥
깍두기","모듬장조림(돈후지:국내산)
미역국
콩자반
명엽채볶음
쌀밥
솎음배추겉절이","육개장(우양지:뉴질랜드산)
두부구이
느타리버섯마늘종볶음
미역초무침
쌀밥
깍두기","맑은순두부찌개
후랑크소시지
채소볶음(돈육
계육:국내산)
계란짐
맛김가루쪽파무침
쌀밥
배추김치","돼지고기된장볶음(돈전지:미국산)
콩나물국
채소춘권
무생채
쌀밥
배추김치","불고기볶음밥(우전각:호주산)
다시마무국
만두강정(돈육:국내산)
배추김치","햄모듬찌개(돈육
계육:국내산)
메추리알장조림
팽이버섯양파볶음
시래기나물
쌀밥
깍두기"
796Kcal,792Kcal,829Kcal,879Kcal,814Kcal,844Kcal,856Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"크림소스스파게티
감자튀김
오이피클
콜라","돼지고기채소비빔밥(돈육:국내산)
미역국
고구마맛탕
깍두기","온메밀국수
손만두찜(돈육:국내산)
배추김치
바나나1/2","우엉어묵볶음밥
일식장국
핫도그(돈육
계육:국내산)
배추김치","새우게맛살볶음밥(새우살:중국산)
콩나물국
꼬치구이(돈육
계육:국내산)
배추김치",,
831Kcal,887Kcal,815Kcal,827Kcal,855Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"모듬커틀렛(돈육:국내산
생선가스:중국산)
채소볶음밥
유부장국
깍두기","새우튀김우동(새우:베트남산)
김가루양념밥
고구마맛탕
단무지","비빔밥*계란후라이
근대된장국
손만두찜(돈육:국내산)
배추김치","뚝배기불고기(돈육:국내산)
계란찜
현미밥
깍두기","불닭오므라이스(계육:미국산)
콩나물국
샐러드
깍두기",,
852Kcal,842Kcal,853Kcal,830Kcal,858Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     2,800원","     2,800원","     3,200원","     3,200원",         0원,         0원
석식,한식,"두부찜*김치볶음
쇠고기무국(우양지:뉴질랜드산)
느타리버섯볶음
양념떡튀김
쌀밥","떡갈비조림(돈육:수입산)
어묵김치국
계란후라이
맛김구이
쌀밥
깍두기","닭곰탕*소면사리(계육:국내산
우사골농축액:뉴질랜드산)
고추장떡
게맛살채소볶음
깻잎지무침
쌀밥
깍두기","계란장조림
김치해장국
사각어묵볶음
유채된장나물
쌀밥
깍두기","오징어볶음(오징어:국내산)
감자수제비국
단호박전
마늘장아찌
쌀밥
배추겉절이","조랭이떡국
완자전(돈육:국내산)
브로컬리숙회&초장
오복지
쌀밥
배추김치","삼치엿장구이(삼치:국내산)
일식장국
실곤약채소무침
파래김구이&양념장
쌀밥
깍두기"
748Kcal,824Kcal,884Kcal,780Kcal,882Kcal,819Kcal,847Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"함박스테이크(계육
돈육:국내산)
크림스프
누룽지샐러드
쌀밥
배추김치","미트볼하이라이스(돈육:국내산)
일식장국
샐러드
배추김치","돼지고기김치덮밥(돈육:국내산)
일식장국
샐러드
요쿠르트","샐러드돈까스덮밥(돈육:국내산)
일식장국
배추김치","치킨카레덮밥(계육:중국산)
일식장국
배추김치",,
751Kcal,870Kcal,842Kcal,863Kcal,870Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
원산지,"메뉴는식자재수불상황에따라변동될수있으니양해부탁드립니다
우리식당은국내산쌀과국내산배추로만든김치류(배추-국산.고춧가루-국산)만을사용합니다
원산지표시는식자재수불상황에따라변경될수있으며당일메뉴는별도로원산지를공지하고있으니확인바랍니다
특성식품에알러지(Allergy)가있는고객께서는매뉴선택전식당사무실로문의하여주시기바랍니다
볶음밥(햄-돈육.계육-국산).김치찌게(배추-국산.고춧가루-국산)"
공지사항,"주말 분식코너는 라면메뉴만 운영합니다.(메뉴1, 메뉴2)"
