■생활관식당(블루미르308관)
2014년 03월 24일 ~ 2014년 03월 30일
주간식단표
구분,월요일(03/24),화요일(03/25),수요일(03/26),목요일(03/27),금요일(03/28),토요일(03/29),일요일(03/30)
조식,한식,"조기구이(중국산)
일식장국
연근튀김
마늘종지
쌀밥
깍두기","두부구이&양념장
쇠고기무국(우양지:뉴질랜드산)
쫄면채소무침
멸치견과류볶음
쌀밥
배추김치","계란장조림
된장찌개
탕평채
쑥갓유부나물
쌀밥
깍두기","사골우거지탕(우양지:뉴질랜드산)
숯불바베큐바(돈육
계육:국내산)
무나물
매운미역초무침
쌀밥
깍두기","떡국
완자튀김(돈육:국내산)
호박버섯볶음
쫑상추겉절이
쌀밥
깍두기","메추리알장조림
시래기된장국
건파래볶음
양념떡튀김
쌀밥
깍두기","단호박죽
콩도너츠
시리얼&과일&우유
샐러드
배추김치"
762Kcal,729Kcal,628Kcal,797Kcal,788Kcal,771Kcal,695Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"고구마모닝빵
찐계란*소금
채소스프
시리얼&과일&우유
샐러드
피클","카스텔라빵
채소죽
시리얼&과일&우유
샐러드
배추김치
바나나","치즈토스트
감자스프
시리얼&과일&우유
샐러드
피클","후렌치토스트
옥수수스프
시리얼&과일&우유
샐러드
피클","누룽지죽
치킨너겟(계육:국내산)
시리얼&과일&우유
샐러드
배추김치",,
615Kcal,657Kcal,717Kcal,751Kcal,702Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
