■생활관식당(블루미르308관)
2014년 02월 24일 ~ 2014년 03월 02일
주간식단표
구분,월요일(02/24),화요일(02/25),수요일(02/26),목요일(02/27),금요일(02/28),토요일(03/01),일요일(03/02)
조식,한식,휴관,휴관,휴관,휴관,,"돼지불고기(돈육:국내산)
감자맑은국
양배추쌈&쌈장
양파초절임
쌀밥
깍두기","햄치즈샌드위치(돈육
계육:국내산)
크림스프
시리얼
과일
우유
피클"
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,749Kcal,751Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,휴관,휴관,휴관,휴관,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,휴관,휴관,휴관,휴관,"메추리알장조림
모듬어묵국
두부찜&양념장
부추생채
쌀밥
배추김치","닭곰탕&소면(계육:국내산
우사골농축액:뉴질랜드산)
청포묵무침
브로컬리숙회&초장
참나물겉절이
쌀밥
깍두기","오므라이스
미니함박&데미소스(우육:뉴질랜드산
호주산
돈육:국산)
양송이스프
깍두기"
0Kcal,0Kcal,0Kcal,0Kcal,802Kcal,842Kcal,837Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,휴관,휴관,휴관,휴관,"돈부리(돈육:국내산)
배추김치
모듬어묵국",,
0Kcal,0Kcal,0Kcal,0Kcal,865Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,휴관,휴관,휴관,휴관,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     2,800원","     2,800원","     3,200원","     3,200원",         0원,         0원
석식,한식,휴관,휴관,휴관,휴관,"수제비
너비아니엿장조림(돈육
계육:국내산)
팽이버섯전
미역줄기볶음
쌀밥
배추김치","고등어구이(국내산)
시래기된장국
김구이
매콤무생채
쌀밥
배추김치","콩나물밥&양념장
유부장국
오징어숙회무침(오징어:국내산)
우엉조림
마카로니샐러드
배추김치"
0Kcal,0Kcal,0Kcal,0Kcal,841Kcal,776Kcal,823Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,휴관,휴관,휴관,휴관,"치킨카레덮밥(계육:중국산)
일식장국
배추김치",,
0Kcal,0Kcal,0Kcal,0Kcal,870Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
원산지,"메뉴는식자재수불상황에따라변동될수있으니양해부탁드립니다
우리식당은국내산쌀과국내산배추로만든김치류(배추-국산.고춧가루-국산)만을사용합니다
원산지표시는식자재수불상황에따라변경될수있으며당일메뉴는별도로원산지를공지하고있으니확인바랍니다
특성식품에알러지(Allergy)가있는고객께서는매뉴선택전식당사무실로문의하여주시기바랍니다
볶음밥(햄-돈육.계육-국산).김치찌게(배추-국산.고춧가루-국산)"
공지사항,"동계방학(2013/12/23~2014/02/28) 운영시간
조식 : 평일 07:00~08:40 / 토,일요일 08:00~09:00
중식 : 평일 korean 11:30~13:30,Inter/Pre 11:30~13:00/ 토.일요일 11:30~13:00
석식 : 평일 17:30~19:00 / 토.일요일 17:30~18:30
분식 : 평일 09:00~17:00/ 토.일요일 운영없음
식재료 수급에 따라 메뉴가 변경 될 수 있습니다."
공지사항,동계방학 기간에 분식코너는 평일에만 운영합니다.
공지사항,"2/28에는 중식부터 제공되며,분식코너는 10시부터 이용가능하십니다.
학기 중 주말 분식코너는 라면메뉴만 제공합니다.(메뉴1,메뉴2)"
