■생활관식당(블루미르308관)
2014년 04월 07일 ~ 2014년 04월 13일
주간식단표
구분,월요일(04/07),화요일(04/08),수요일(04/09),목요일(04/10),금요일(04/11),토요일(04/12),일요일(04/13)
조식,한식,"삼치데리야끼구이(삼치:국내산)
김치국
느타리호박볶음
김구이
쌀밥
유채겉절이","고기산적구이(돈육
계육:국내산)
오징어무국(국내산)
얼갈이된장나물
팽이버섯게맛살볶음
쌀밥
배추김치","후랑크파인애플케첩볶음(돈육
계육:국내산)
근대된장국
계란찜
콩나물무침
쌀밥
배추김치","장터국밥(우양지:뉴질랜드산)
계란장조림
마늘종볶음
명엽채볶음(수입산)
쌀밥
깍두기","닭고기굴소스볶음(계육:미국산)
콩나물국
시금치나물
파래김구이&양념장
쌀밥
깍두기","참치채소볶음
호박새우젓국
부추적채겉절이
채소춘권
쌀밥
배추김치","후렌치토스트
채소죽
시리얼&과일&우유
샐러드
배추김치"
806Kcal,821Kcal,803Kcal,789Kcal,790Kcal,784Kcal,684Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝토스트
크림스프
시리얼&과일&우유
샐러드
피클","감자샌드위치
옥수수스프
시리얼&과일&우유
샐러드
피클","고구마모닝빵
양송이스프
계란찜
시리얼&과일&우유
샐러드
피클","핫케익
누룽지죽
시리얼&과일&우유
샐러드
배추김치","모닝빵&딸기잼
채소스프
찐계란*소금
시리얼&과일&우유
샐러드
피클",,
731Kcal,699Kcal,690Kcal,672Kcal,681Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"햄모듬찌개*라면사리(돈육
계육:국내산)
완자전(돈육:국내산)
콘채소샐러드
브로컬리숙회
쌀밥
깍두기","돼지고기굴소스볶음(돈육:국내산)
어묵국
상추쌈&쌈장
콩자반
쌀밥
깍두기","닭곰탕&소면사리(대닭:국내산
우사골농축액:뉴질랜드산)
미트볼조림(돈육:국내산)
다시마튀각
무말랭이무침
쌀밥
배추김치","비엔나소시지브로컬리볶음(돈육
계육:국내산)
쇠고기무국&당면사리(우양지:뉴질랜드산)
새송이버섯볶음
깻잎전겉절이
쌀밥
배추김치","감자수제비
두부계란전
치커리겉절이
돈육강정(돈육:국내산)
쌀밥
깍두기","돼지고기떡장조림(돈육:국내산)
배추들깨국
단호박전
건파래볶음
쌀밥
깍두기","닭갈비볶음밥(계육:미국산)
가다랭이국
꼬치구이(돈육
계육:국내산)
바나나1/2
깍두기"
837Kcal,793Kcal,876Kcal,867Kcal,877Kcal,819Kcal,838Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치마요덮밥
팽이버섯장국
사모사
깍두기","토마토소스스파게티
수제마늘빵
감자튀김
콜라
피클","스팸계란말이덮밥(돈육:수입산)
일식장국
마카로니샐러드
깍두기","냉메밀국수
만두강정(돈육:국내산)
김가루양념밥
단무지","볶음우동
일식장국
새우커틀렛&타르타르소스
요쿠르트
단무지",,
874Kcal,879Kcal,860Kcal,854Kcal,873Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
