■생활관식당(블루미르308관)
2014년 04월 14일 ~ 2014년 04월 20일
주간식단표
구분,월요일(04/14),화요일(04/15),수요일(04/16),목요일(04/17),금요일(04/18),토요일(04/19),일요일(04/20)
조식,한식,"후랑크소시지볶음(돈육
계육:국내산)
북어국(러시아산)
연근조림
무말랭이무침
쌀밥
배추김치","계란찜
호박고추장찌개
오징어김치전(오징어:국내산)
콩나물무침
쌀밥
깍두기","비엔나채소볶음(돈육
계육:꾹내산)
순두부맑은국
건파래볶음
시금치나물
쌀밥
배추김치","매운돼지고기감자볶음(돈육:국내산)
아욱된장국
호박볶음
파인콘샐러드
쌀밥
배추김치","임연수구이(미국산)
감자맑은국
양념떡튀김
숙주나물
쌀밥
얼갈이겉절이","너비아니구이(돈육
계육:국내산)
새알심감자국
파래김구이
팽이버섯채소볶음
쌀밥
배추김치","경상도식고깃국(우양지:뉴질랜드산)
미트볼채소볶음(돈육:국내산)
명엽채볶음(수입산)
허브생채
쌀밥
배추김치"
794Kcal,793Kcal,853Kcal,739Kcal,793Kcal,806Kcal,819Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"햄치즈샌드위치(돈육
계육:국내산)
채소스프
시리얼&과일&우유
샐러드
피클","참치채소죽
찐계란&소금
시리얼&과일&우유
샐러드
배추김치","고구마모닝빵
흑임자죽
시리얼&과일&우유
샐러드
배추김치","모닝토스트
브로컬리스프
시리얼&과일&우유
피클","핫케익
누룽지죽
시리얼&과일&우유
샐러드
깍두기",,
740Kcal,680Kcal,692Kcal,630Kcal,634Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"미트볼조림(돈육:국내산)
계란후라이
쇠고기대파해장국(우양지:뉴질랜드산)
부추생채
쌀밥
깍두기","모듬장조림(돈후지:국내산)
솎음배추된장국
게맛살채소볶음
돌나물&초장
쌀밥
깍두기","단호박닭찜(계육:미국산)
미역국
열무두부무침
무나물
쌀밥
배추김치","오징어볶음(오징어:국내산)&소면
근대된장국
스크램블에그
간장고추지
쌀밥
배추겉절이","돼지고기된장볶음(돈전지:미국산)
콩나물국
채소춘권
무생채
쌀밥
배추김치","닭개장(계육:국내산)
두부구이
꽈리고추진미채고추장볶음
무생채
쌀밥
배추김치","설렁탕(우양지
우사골농축액:뉴질랜드산)&소면
김치전
환어묵볶음
마늘종지
쌀밥
깍두기"
796Kcal,813Kcal,774Kcal,798Kcal,814Kcal,839Kcal,873Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"<블랙데이>자장면
유부장국
탕수육(돈육:국내산)
단무지","돼지고기채소비빔밥(돈육:국내산)
우동국
감자견과류맛탕
깍두기","콩국수
새우까스&타르타르소스
솎음배추겉절이
요쿠르트","우엉어묵볶음밥
일식장국
핫도그(돈육
계육:국내산)
배추김치","참치채소비빔밥
콩나물국
채소춘권
단무지","불고기볶음밥(우전각:호주산)
다시마무국
만두강정(돈육:국내산)
배추김치","김치볶음밥&계란후라이
팽이버섯장국
고구마맛탕
단무지"
855Kcal,827Kcal,866Kcal,850Kcal,810Kcal,822Kcal,861Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"돈까스크림스파게티(돈육:국내산)
오이피클
수제마늘빵
요쿠르트","새우튀김우동(새우:베트남산)
김가루양념밥
감자견과류맛탕
단무지","뚝배기뼈해장국(돈등뼈:국내산)
도토리묵&양념장
두부열무무침
쌀밥
깍두기","뚝배기불고기(돈육:국내산)
스크램블에그
현미밥
깍두기","닭칼국수(계육
닭뼈:국내산)
채소춘권
흑미밥
배추김치",,
861Kcal,870Kcal,859Kcal,833Kcal,847Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     2,800원","     2,800원","     3,200원","     3,200원",         0원,         0원
석식,한식,"두부찜*김치볶음
쇠고기무국(우양지:뉴질랜드산)
느타리버섯볶음
녹두전
쌀밥","꽁치구이&와사비장
매콤콩나물국
팽이버섯양파볶음
치커리생채
쌀밥
깍두기","계란장조림
느타리버섯맑은국
탕평채
감자채햄볶음(돈육
계육:국내산)
쌀밥
깍두기","참치김치찌개
햄계란전(돈육
계육:국내산)
채소잡채
부추적채겉절이
쌀밥
깍두기","닭고기굴소스볶음(계육:미국산)
사각어묵국
옥수수전
단배추나물
쌀밥
깍두기","조랭이떡국
완자튀김(돈육:국내산)
브로컬리숙회&초장
오복지
쌀밥
배추김치","치킨카레덮밥(계육:중국산)
일식장국
배추김치"
748Kcal,826Kcal,841Kcal,858Kcal,869Kcal,842Kcal,809Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:00~18:30,17:00~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"함박스테이크(계육
돈육:국내산)
크림스프
누룽지샐러드
쌀밥
배추김치","미트볼하이라이스(돈육:국내산)
일식장국
콘채소샐러드
배추김치","돼지고기김치덮밥(돈육:국내산)
유부장국
채소과일샐러드","샐러드돈까스덮밥(돈육:국내산)
일식장국
배추김치","돈까스김치덮밥(돈육:국내산)
유부장국
샐러드",,
751Kcal,870Kcal,842Kcal,863Kcal,873Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
원산지,"메뉴는식자재수불상황에따라변동될수있으니양해부탁드립니다
우리식당은국내산쌀과국내산배추로만든김치류(배추-국산.고춧가루-국산)만을사용합니다
원산지표시는식자재수불상황에따라변경될수있으며당일메뉴는별도로원산지를공지하고있으니확인바랍니다
특성식품에알러지(Allergy)가있는고객께서는매뉴선택전식당사무실로문의하여주시기바랍니다
볶음밥(햄-돈육.계육-국산).김치찌게(배추-국산.고춧가루-국산)"
공지사항,"주말 분식코너는 라면메뉴만 운영합니다.(메뉴1, 메뉴2)"
공지사항,"차주 중간고사로 인하여 금주 주말(4/19-4/20) 중식 2코너 제공되며, 석식배식시간은 30분 연장되어 운영됩니다.
( 기존 석식 배식시작시간 17:30-> 연장운영 석식배식 시작시간 17:00)"
