■생활관식당(블루미르308관)
2014년 04월 21일 ~ 2014년 04월 27일
주간식단표
구분,월요일(04/21),화요일(04/22),수요일(04/23),목요일(04/24),금요일(04/25),토요일(04/26),일요일(04/27)
조식,한식,"쇠고기무국(우양지:뉴질랜드산)
두부조림
미역줄기게맛살볶음
숙주나물
쌀밥
얼갈이겉절이","고등어카레튀김(고등어:국내산)
감자계란국
컬리플라워볶음
열무생채
쌀밥
배추김치","비엔나채소볶음(돈육
계육:국내산)
오징어무국(오징어:국내산)
연근조림
돌나물상추겉절이
쌀밥
깍두기","사골우거지탕(우양지:뉴질랜드산)
고기산적구이(돈육
계육:국내산)
무나물
매운미역초무침
쌀밥
깍두기","참치채소볶음
두부김치국
청포묵김가루무침
브로컬리숙회&초장
쌀밥
깍두기","버섯콩나물밥
건새우얼갈이된장국
햄구이(돈육
계육:국내산)
환어묵볶음
부추생채
배추김치","북어국(러시아산)
꼬마돈까스간장조림(돈육
계육:국내산)
팽이버섯양파볶음
깻잎지무침
쌀밥
깍두기"
774Kcal,766Kcal,780Kcal,804Kcal,751Kcal,813Kcal,798Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"치즈토스트
찐계란*소금
채소스프
시리얼&과일&우유
샐러드
피클","채소죽
모닝빵&딸기잼
시리얼&과일&우유
샐러드
배추김치","닭죽(계육:국내산)
감자튀김
시리얼&과일&우유
샐러드
배추김치","후렌치토스트
옥수수스프
시리얼&과일&우유
샐러드
배추김치","감자샌드위치
누룽지죽
시리얼&과일&우유
샐러드
배추김치",,
736Kcal,698Kcal,759Kcal,679Kcal,682Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"돼지고기김치찌개(돈육:국내산)
버섯잡채
건파래볶음
양념떡튀김
쌀밥
깍두기","사골곰탕&소면사리(우육
우사골농축액:뉴질랜드산)
소시지전(돈육:국내산)
새송이버섯볶음
생깻잎절임
쌀밥
깍두기","육개장(우양지:뉴질랜드산)
계란말이
감자채볶음
오이쌈장무침
쌀밥
배추김치","메추리알장조림
콩나물국
물만두찜(돈육:국내산)
호박볶음
쌀밥
깍두기","닭고기굴소스볶음(계육:미국산)
팽이버섯유부장국
어묵전
실곤약채소무침
쌀밥
솎음배추겉절이","두부찜&양념장
근대된장국
스크램블에그
김구이
쌀밥
깍두기","참치채소볶음밥
계란후라이
유부장국
핫바&케찹
단무지"
851Kcal,845Kcal,872Kcal,816Kcal,879Kcal,724Kcal,809Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"잔치국수
생선까스(중국산)*타르타르소스
우엉양념밥
배추김치","치킨마요덮밥(계육:중국산)
일식장국
배추김치
요쿠르트","유부우동
양배추후르츠샐러드
감자크로켓
단무지","돼지불고기덮밥(돈후지:국내산)
유부장국
물만두찜(돈육:국내산)
깍두기","오므라이스
미니함박(우육:뉴질랜드+호주산
돈육:국내산)&데미소스
양송이버섯스프
깍두기",,
866Kcal,859Kcal,820Kcal,846Kcal,875Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"나가사키짬뽕(오징어:국내산)
사모사
현미밥
깍두기","햄버거스테이크(계육
돈육:국내산)&체다치즈
채소볶음밥
일식장국
피클","돈까스토마토소스스파게티(돈육:국내산)
우동국
크루통샐러드
단무지","묵은지돼지고기찜(돈전지:미국산)
콩나물국
호박볶음
쌀밥
요쿠르트","부대찌개&라면사리(돈육
계육:국내산)&계란후라이
샐러드
고구마맛탕
차조밥
깍두기",,
878Kcal,891Kcal,882Kcal,850Kcal,887Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"오징어볶음(오징어:국내산)
완자조림(돈육:국내산)
근대된장국
오이생채
쌀밥
깍두기","단호박닭찜(계육:미국산)
두부된장국
소면채소무침
무말랭이무침
쌀밥
배추겉절이","돼지고기고추장볶음(돈육:국내산)
미역국
콩나물무침
양배추쌈&쌈장
쌀밥
깍두기","쇠고기영양탕(우양지:뉴질랜드산)
미트볼케찹볶음(돈육:국내산)
도토리묵&양념장
쑥갓유자냉채
쌀밥
깍두기","꽁치구이(수입산)
수제비국
마늘종햄볶음(돈육
계육:국내산)
양파초절임
쌀밥
배추김치","돼지고기떡장조림(돈육:국내산)
호박고추장찌개
옥수수전
시금치나물
쌀밥
배추김치","로스팜구이(돈육:수입산)
순두부김치국
느타리게맛살볶음
유채나물무침
쌀밥
깍두기"
833Kcal,845Kcal,822Kcal,857Kcal,869Kcal,846Kcal,839Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"샐러드돈까스덮밥(돈육:국내산)
일식장국
배추김치","돈까스김치덮밥(돈육:국내산)
유부장국
샐러드","카레라이스
고구마맛탕
일식장국
파인콘샐러드
배추김치","마파두부덮밥(돈전지:미국산)
일식장국
미트볼케찹볶음(돈육:국내산)
배추김치","자장덮밥
군만두(돈육:국내산)
일식장국
누룽지샐러드
배추김치",,
863Kcal,873Kcal,871Kcal,865Kcal,871Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
원산지,"메뉴는식자재수불상황에따라변동될수있으니양해부탁드립니다
우리식당은국내산쌀과국내산배추로만든김치류(배추-국산.고춧가루-국산)만을사용합니다
원산지표시는식자재수불상황에따라변경될수있으며당일메뉴는별도로원산지를공지하고있으니확인바랍니다
특성식품에알러지(Allergy)가있는고객께서는매뉴선택전식당사무실로문의하여주시기바랍니다
볶음밥(햄-돈육.계육-국산).김치찌게(배추-국산.고춧가루-국산)"
공지사항,"주말 분식코너는 라면메뉴만 운영합니다.(메뉴1, 메뉴2)"
