■생활관식당(블루미르308관)
2014년 05월 05일 ~ 2014년 05월 11일
주간식단표
구분,월요일(05/05),화요일(05/06),수요일(05/07),목요일(05/08),금요일(05/09),토요일(05/10),일요일(05/11)
조식,한식,"삼치구이(삼치:국내산)
미역국
소면채소무침
시래기된장조림
쌀밥
배추김치","떡갈비조림(돈육:국내산)
순두부국
느타리버섯볶음
감자채볶음
쌀밥
배추김치","참치채소볶음
호박새우젓국
실곤약채소무침
햄마늘종볶음(돈육
계육:국내산)
쌀밥
배추김치","장터국밥(우양지:뉴질랜드산)
계란장조림
마늘종볶음
명엽채볶음(수입산)
쌀밥
깍두기","닭고기굴소스볶음(계육:미국산)
유부장국
시금치나물
건파래볶음
쌀밥
깍두기","경상도고깃국(우양지:뉴질랜드산)
소시지전(돈육:국내산)
진미채고추장볶음
호박무나물
쌀밥
배추김치","고구마샌드위치
흑임자죽
시리얼&과일&우유
샐러드
배추김치"
819Kcal,822Kcal,836Kcal,789Kcal,790Kcal,864Kcal,694Kcal
08:00~09:00,08:00~09:00,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,,,"햄치즈샌드위치(돈육
계육:국내산)
크림스프
시리얼&과일&우유","핫케익
누룽지죽
시리얼&과일&우유
샐러드
배추김치","시나몬토스트
채소스프
시리얼&과일&우유
샐러드
피클",,
0Kcal,0Kcal,803Kcal,672Kcal,712Kcal,0Kcal,0Kcal
08:00~09:00,08:00~09:00,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"햄모듬찌개(돈육
계육:국내산)
계란찜
모듬채소전
오이지무침
쌀밥
깍두기","수제비칼국수
생선가스(중국산)&타르타르소스
솎음배추겉절이
오렌지","취나물버섯밥&양념장
근대된장국
꼬마돈까스(돈육
계육:국내산)
브로컬리숙회&초장
무생채
배추김치","닭개장(계육:국내산)
고추장떡
채소잡채
우엉조림
쌀밥
깍두기","고기산적구이(돈육
계육:국내산)
시래기된장국
팽이버섯맛살볶음
올방개묵무침
쌀밥
배추김치","사골곰탕(우양지
우사골농축액:뉴질랜드산)&소면사리
메추리알장조림
엄지새송이볶음
유채나물
쌀밥
깍두기","닭갈비볶음밥(계육:미국산)
가다랭이국
꼬치구이(돈육
계육:국내산)
바나나1/2
깍두기"
829Kcal,810Kcal,876Kcal,833Kcal,865Kcal,872Kcal,838Kcal
11:30~13:00,11:30~13:00,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,,,"스팸계란말이덮밥(돈육:수입산)
일식장국
누룽지샐러드
깍두기","토마토소스스파게티
수제마늘빵
감자튀김
콜라
피클","물냉면
손만두찜(돈육:국내산)
김가루주먹밥
배추김치",,
0Kcal,0Kcal,860Kcal,879Kcal,842Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:10,11:30~13:10,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,,,"불닭오므라이스(계육:국내산)
일식장국
누룽지샐러드
깍두기","뚝배기김치날치알밥
미니우동
락교&오복지","뚝배기뼈해장국(돈등뼈:국내산)
올방개묵무침
콩나물무침
쌀밥
깍두기",,
0Kcal,0Kcal,866Kcal,849Kcal,857Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,,"두부찜&김치볶음
모듬어묵국
연근조림
숙주나물
쌀밥","돼지고기오징어두루치기(돈육
오징어:국내산)
열무된장국
옥수수전
양파초절임
쌀밥
배추겉절이","비엔나소시지브로컬리볶음(돈육
계육:국내산)
쇠고기무국(우양지:뉴질랜드산)
김구이
알감자조림
쌀밥
배추김치","참치김치찌개
계란후라이
치커리들깨소스무침
어묵볶음
쌀밥
깍두기","치킨커틀렛(중국산)
양송이스프
샐러드
쌀밥
오이피클
배추김치","돼지고기김치볶음(돈육:미국산)
열무된장국
두부구이&양념장
미역줄기볶음
솎음배추겉절이
쌀밥"
0Kcal,769Kcal,859Kcal,867Kcal,823Kcal,802Kcal,832Kcal
17:30~18:30,17:30~18:30,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"미트볼하이라이스(돈육:국내산)
유부장국
크루통샐러드
배추김치",,"자장덮밥
군만두(돈육:국내산)
일식장국
파인콘샐러드
배추김치","돈까스카레덮밥(돈육:국내산)
일식장국
배추김치","함박스테이크(계육
돈육:국내산)
감자스프
양배추후르츠샐러드
쌀밥
배추김치",,
870Kcal,0Kcal,871Kcal,875Kcal,751Kcal,0Kcal,0Kcal
17:30~18:30,17:30~18:30,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
