■생활관식당(블루미르308관)
2014년 05월 12일 ~ 2014년 05월 18일
주간식단표
구분,월요일(05/12),화요일(05/13),수요일(05/14),목요일(05/15),금요일(05/16),토요일(05/17),일요일(05/18)
조식,한식,"모듬장조림(돈육:국내산)
콩나물국
양배추오이초무침
미역줄기볶음
쌀밥
배추김치","완자조림(돈육:국내산)
버섯매운국
어묵마늘쫑볶음
무생채
쌀밥
배추김치","떡갈비조림(돈육:국내산)
김치국
팽이버섯양파볶음
치커리생채
쌀밥
깍두기","닭고기굴소스볶음(계육:미국산)
사각어묵국
김구이
부추생채
쌀밥
깍두기","비엔나소세지볶음(돈육
계육:국내산)
순두부찌개
생깻잎절임
명엽채볶음
쌀밥
깍두기","경상도고깃국(우목심:호주산)
미트볼채소볶음(돈육:국내산)
허브생채
맛김가루무침
쌀밥
배추김치","감자모닝빵
브로컬리스프
시리얼&과일&우유
샐러드&피클"
730Kcal,824Kcal,790Kcal,770Kcal,745Kcal,844Kcal,678Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"후렌치토스트
완두콩스프
감자튀김
시리얼&과일&우유
샐러드
피클","시나몬토스트
채소스프
시리얼&과일&우유
샐러드
피클","페스트리빵
누룽지죽
시리얼&과일&우유
샐러드
배추김치","단호박샌드위치
옥수스스프
시리얼&과일&우유
샐러드
피클","핫케익
누룽지죽
시리얼&과일&우유
샐러드&배추김치",,
679Kcal,648Kcal,659Kcal,661Kcal,679Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
