■생활관식당(블루미르308관)
2014년 05월 19일 ~ 2014년 05월 25일
주간식단표
구분,월요일(05/19),화요일(05/20),수요일(05/21),목요일(05/22),금요일(05/23),토요일(05/24),일요일(05/25)
조식,한식,"참치김치찌개
햄구이(돈육
계육:국내산)
새송이버섯볶음
열무생채
쌀밥
깍두기","닭고기장조림(계육:미국산)
콩나물국
마늘쫑멸치볶음
천사채무침
쌀밥
배추김치","너비아니엿장조림(돈육
계육:국내산)
감자맑은국
팽이버섯채소볶음
무생채
쌀밥
배추김치","유자향돼지불고기(돈육:국내산)
유부무채국
매운콩나물무침
우엉조림
쌀밥
배추김치","스팸채소볶음(돈육
계육:국내산)
순두부김치국
건파래볶음
유채된장나물
쌀밥
깍두기","쇠고기당면볶음(우육:호주산)
미역국
오이지무침
어묵곤약조림
쌀밥
솎음배추겉절이","가자미구이
시금치국
청포묵김가루무침
상추들깨겉절이
쌀밥
배추김치"
823Kcal,816Kcal,809Kcal,820Kcal,799Kcal,816Kcal,809Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝토스트
크림스프
시리얼&과일&우유
샐러드/피클","카스텔라빵
옥수수스프
시리얼&과일&우유
샐러드/피클","고구마모닝빵
양송이스프
채소크로켓
시리얼&과일&우유
샐러드/피클","누룽지죽
콩도너츠
시리얼&과일&우유
샐러드/피클","핫케익
채소스프
찐계란*소금
시리얼&과일&우유
샐러드/피클",,
673Kcal,620Kcal,687Kcal,702Kcal,749Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"콩나물밥&양념장
곤약어묵국
고기산적구이(돈육
계육:국내산)
떡맛탕
오복지
배추김치","돼지고기김치볶음(돈육:미국산)
아욱된장국
두부구이*양념장
돌나물*초장
쌀밥
깍두기","오징어콩나물찜(오징어:국내산)
사각어묵국
채소잡채
미역줄기볶음
쌀밥
배추김치","후랑크소세지채소볶음(돈육
계육:국내산)
북어해장국
계란찜
무말랭이무침
쌀밥
배추김치","닭갈비*떡사리(계육:미국산)
오이냉국
맛김구이
무나물
쌀밥
배추겉절이","떡만두국(돈육:국내산)
동그랑땡조림(돈육:국내산)
참치채소전
부추생채
쌀밥
배추김치","햄채소볶음밥(돈육
계육:국내산)
미역냉국
꼬치구이(돈육
계육:국내산)
배추김치
바나나1/2"
816Kcal,839Kcal,869Kcal,821Kcal,840Kcal,874Kcal,869Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"어묵우동
손만두찜(돈육:국내산)
누룽지샐러드
단무지","잔치국수
채소춘권
배추김치
요쿠르트","김치볶음밥&계란후라이
팽이버섯장국
스마일감자튀김
단무지","치킨마요덮밥(계육:중국산)
유부우동국
배추김치
요쿠르트","짜장면
계란파국
물만두찜(돈육:국내산)
단무지",,
842Kcal,799Kcal,868Kcal,837Kcal,832Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"돈까스토마토스파게티(돈육:국내산)
옥수수스프
누룽지샐러드
단무지","돼지고기장조림버터비빔밥(돈후지:국내산)
팽이버섯장국
배추김치","햄버거스테이크(돈육
계육:국내산)
크림스프
슈스트링감자튀김
크루통샐러드
쌀밥
배추김치","뚝배기김치날치알밥
미니우동
락교&오복지","오므라이스&왕새우튀김
유부장국
양상추샐러드
배추김치",,
829Kcal,767Kcal,882Kcal,847Kcal,857Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     2,800원","     2,800원","     3,200원","     3,200원",         0원,         0원
석식,한식,"감자고추장찌개
치킨너겟*머스타드(계육:국내산)
명엽채볶음
실곤약들깨무침
쌀밥
배추김치","만두육개장(돈육:국내산)
김치전
콘샐러드
쑥갓오이겉절이
쌀밥
깍두기","순두부맑은국
계란장조림
게맛살채소볶음
다시마튀각
쌀밥
솎음배추겉절이","돼지고기부추볶음(돈육:국내산)
맛느타리버섯맑은국
양배추쌈*쌈장
무비트초절임
쌀밥
배추김치","햄모듬찌개(돈육
계육:국내산)
생선커틀렛*타르소스
브로컬리숙회
마카로니샐러드
쌀밥
깍두기","콩나물해장국
연두부찜*양념장
비엔나채소볶음(돈육
계육:국내산)
쫑상추겉절이
쌀밥
깍두기","오징어돼지고기볶음(돈육:미국산)
아욱된장국
옥수수전
오이쌈장무침
쌀밥
깍두기"
883Kcal,874Kcal,833Kcal,829Kcal,855Kcal,814Kcal,833Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"미트볼하이라이스(돈육:국내산)
유부장국
크루통샐러드
깍두기","샐러드돈가스덮밥(돈육:국내산)
일식장국
배추김치","돼지고기김치덮밥(돈육:국내산)
유부장국
채소과일샐러드","돈까스카레덮밥(돈육:국내산)
일식장국
배추김치","마파두부덮밥(돈만찌:국내산)
팽이버섯맑은국
떡잡채
해초무침
배추김치",,
870Kcal,863Kcal,842Kcal,875Kcal,870Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
원산지,"메뉴는식자재수불상황에따라변동될수있으니양해부탁드립니다
우리식당은국내산쌀과국내산배추로만든김치류(배추-국산.고춧가루-국산)만을사용합니다
원산지표시는식자재수불상황에따라변경될수있으며당일메뉴는별도로원산지를공지하고있으니확인바랍니다
특성식품에알러지(Allergy)가있는고객께서는매뉴선택전식당사무실로문의하여주시기바랍니다
볶음밥(햄-돈육.계육-국산).김치찌게(배추-국산.고춧가루-국산)"
공지사항,"주말 분식코너는 라면메뉴만 운영합니다.(메뉴1, 메뉴2)"
