■생활관식당(블루미르308관)
2014년 05월 26일 ~ 2014년 06월 01일
주간식단표
구분,월요일(05/26),화요일(05/27),수요일(05/28),목요일(05/29),금요일(05/30),토요일(05/31),일요일(06/01)
조식,한식,"장터국밥(우육:뉴질랜드산)
두부채소조림
마늘종볶음
건파래무침
쌀밥
배추김치","삼치데리야끼(국내산)
김치국
주키니호박볶음
오이지무침
쌀밥
깍두기","후랑크케찹볶음(돈육
계육:국내산)
근대국
무나물
쫑상추겉절이
쌀밥
배추김치","돼지고기떡장조림(돈육:미국산)
들깨배추국
사각어묵볶음
콩나물무침
쌀밥
깍두기","고기산적조림(돈육
계육:국내산)
시락국
스크램블에그
돌나물초고추장무침
쌀밥
깍두기","오징어볶음(국내산)
다시마무국
감자채볶음
파래김구이
쌀밥
배추김치","로스팜구이(돈육:수입산)
환어묵국
도토리묵*양념장
쪽파무생채
쌀밥
배추김치"
796Kcal,814Kcal,750Kcal,791Kcal,753Kcal,719Kcal,763Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"감자샌드위치
채소스프
시리얼&과일&우유
샐러드
피클","참치채소죽
계란후라이
시리얼&과일&우유
샐러드
배추김치","불갈비샌드(돈육
계육:국내산)
양송이스프
시리얼&과일&우유","모닝토스트
브로컬리스프
시리얼&과일&우유
피클","핫케익
누룽지죽
시리얼&과일&우유
샐러드
깍두기",,
669Kcal,680Kcal,739Kcal,651Kcal,660Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
