■생활관식당(블루미르308관)
2014년 04월 28일 ~ 2014년 05월 04일
주간식단표
구분,월요일(04/28),화요일(04/29),수요일(04/30),목요일(05/01),금요일(05/02),토요일(05/03),일요일(05/04)
조식,한식,"우거지해장국(우양지:뉴질랜드산)
두부계란전
환어묵볶음
미역줄기볶음
쌀밥
깍두기","너비아니구이(돈육
계육:국내산)
콩나물해장국
쫄면채소무침
마늘종멸치볶음
쌀밥
깍두기","모듬햄케찹볶음(돈육
계육:국내산)
참치채소볶음
호박새우젓국
오이지무침
쌀밥
배추김치","가자미엿장구이
배추된장국
단호박전
오이맛고추쌈장무침
쌀밥
깍두기","고기산적구이(돈육
계육:국내산)
시래기된장국
도토리묵무침
콩자반
쌀밥
배추김치","완자전(돈육:국내산)
오징어무국(오징어:국내산)
연두부찜*양념장
얼갈이된장나물
쌀밥
깍두기","닭죽(계육:국내산)
새송이버섯볶음
시리얼&과일&우유
샐러드
배추김치"
813Kcal,827Kcal,805Kcal,816Kcal,821Kcal,836Kcal,820Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"햄치즈샌드위치(돈육
계육:국내산)
크림스프
시리얼&과일&우유","모닝토스트
채소스프
시리얼&과일&우유
샐러드
피클","누룽지죽
핫케익
시리얼&과일&우유
샐러드
배추김치","단호박샌드위치
브로컬리스프
찐계란&소금
시리얼8과일&우유
샐러드
피클","모닝빵&딸기잼
핫바&케찹
옥수수스프
시리얼&과일&우유
샐러드
피클",,
794Kcal,673Kcal,668Kcal,736Kcal,754Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"감자고추장찌개
옥수수계란찜
참치채소볶음
시래기된장조림
쌀밥
깍두기","꽁치조림
쇠고기무국(우양지:뉴질랜드산)
참나물겉절이
콩나물무침
쌀밥
배추김치","닭고기굴소스볶음(계육:미국산)
사각어묵국
파래김구이&양념장
실곤약채소무침
쌀밥
솎음배추겉절이","꼬마돈까스케찹조림(돈육
계육:국내산)
사골우거지국(우양지
우사골농축액:뉴질랜드산)
건파래볶음
게맛살채소볶음
쌀밥
깍두기","전주식콩나물국밥(오징어:국내산)
계란후라이
맛김구이
햄구이(돈육
계육:국내산)
쌀밥
깍두기","떡국
떡갈비구이(돈육:국내산)
우엉조림
무생채
쌀밥
배추김치","돼지고기채소비빔밥(돈육:국내산)
유부장국
배추김치
요쿠르트"
799Kcal,819Kcal,834Kcal,852Kcal,866Kcal,829Kcal,837Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
,양식,"베이컨햄마늘볶음밥(돈육:미국산
돈육
계육:국내산)
일식장국
누룽지샐러드
깍두기","김치볶음밥&계란후라이
팽이버섯장국
스마일감자튀김
단무지","돈가스덮밥(돈육:국내산)
가다랭이국
마카로니콘샐러드
깍두기","불고기볶음밥(우목심:호주산)
유부우동국
만두강정(돈육:국내산)
배추김치","참치채소비빔밥
미소장국
사모사
단무지",,
831Kcal,850Kcal,842Kcal,851Kcal,796Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
