■생활관식당(블루미르308관)
2014년 06월 09일 ~ 2014년 06월 15일
주간식단표
구분,월요일(06/09),화요일(06/10),수요일(06/11),목요일(06/12),금요일(06/13),토요일(06/14),일요일(06/15)
조식,한식,"계란장조림
미역국
게맛살채소볶음
콩자반
쌀밥
배추김치","꽁치조림
사각어묵국
감자채볶음
브로컬리숙회*초장
쌀밥
깍두기","참치고추장볶음
근대된장국
햄구이(돈육
계육:국내산)
무생채
쌀밥
배추김치","고기산적조림(돈육
계육:국내산)
시락국
명엽채볶음
쑥갓겉절이
쌀밥
깍두기","완자전(돈육:국내산)
오징어무국
새송이버섯볶음
얼갈이된장나물
쌀밥
배추김치","오징어볶음(오징어:국내산)
아욱국
시금치겉절이
우엉조림
쌀밥
깍두기","장터국밥
메추리알곤약조림
미역줄기볶음
고추지무침
쌀밥
깍두기"
783Kcal,797Kcal,806Kcal,811Kcal,841Kcal,799Kcal,830Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"후렌치토스트
완두콩스프
감자튀김
시리얼&과일&우유
샐러드
피클","시나몬토스트
채소스프
시리얼&과일&우유
샐러드
피클","페스트리빵
누룽지죽
시리얼&과일&우유
샐러드
배추김치","불갈비샌드(돈육
계육:국내산)
크림스프
시리얼&과일&우유","단호박샌드위치
옥수수스프
시리얼&과일&우유
샐러드
피클",,
735Kcal,698Kcal,716Kcal,709Kcal,693Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"돼지고기김치볶음(돈육:미국산)
열무된장국
두부찜
콘버터볶음
쌀밥
부추겉절이","김치찌개
꼬마돈까스케찹조림(돈육
계육:국내산)
치커리들깨소스무침
숙주나물
쌀밥
깍두기","닭고기고구마조림(계육:미국산)
콩나물국
파래김구이*양념장
오이지무침
쌀밥
배추김치","육개장(우육
사골농축액:뉴질랜드산)
환어묵볶음
실곤약겨자무침
참나물겉절이
쌀밥
깍두기","쇠고기당면국(우육:뉴질랜드산)
후랑크채소볶음
계란찜
깻잎지무침
쌀밥
깍두기","설렁탕(우양지
우사골농축액:뉴질랜드산)&소면
모듬채소전
도토리묵무침
콩나물무침
쌀밥
깍두기","부대찌개&라면사리(돈육
계육:국내산)
천사채무침
마늘쫑볶음
무말랭이무침
쌀밥
배추김치"
868Kcal,877Kcal,882Kcal,836Kcal,857Kcal,873Kcal,879Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"베이컨햄마늘볶음밥(돈육:수입산
돈육
계육:국내산)
팽이버섯장국
누룽지샐러드
깍두기","콩국수
새우까스*타르소스
솎음배추겉절이","김치볶음밥&계란후라이
콩나물국
고구마맛탕
단무지","치킨마요덮밥(계육:중국산)
어묵채국
배추김치
요쿠르트","짜장면
계란파국
물만두찜(돈육:국내산)
단무지","냉모밀국수
만두튀김*간장(돈육:국내산)
단무지","불고기볶음밥(우육:호주산)
다시마무국
양상추샐러드*키위드레싱
배추김치
요쿠르트"
832Kcal,823Kcal,874Kcal,860Kcal,876Kcal,869Kcal,858Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"돈까스토마토스파게티(돈육:국내산)
옥수수스프
누룽지샐러드
단무지","돼지고기장조림버터비빔밥(돈후지:국내산)
팽이버섯장국
배추김치","가츠동(돈육:국내산)
우동국
락교&단무지
바나나1/2","뚝배기김치날치알밥
미니우동
락교&오복지","뚝배기순두부찌개(돈전지:미국산)
파래김구이
쌀밥
깍두기
요쿠르트",,
891Kcal,861Kcal,843Kcal,849Kcal,838Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     2,800원","     2,800원","     3,200원","     3,200원",         0원,         0원
석식,한식,"시금치국
알찬소세지전*케찹(돈육:국내산)
김구이
무비트초절임
쌀밥
배추김치","북어해장국(북어:러시아산)
떡갈비구이(돈육:국내산)
연근조림
열무생채
쌀밥
깍두기","돼지고기두루치기(돈육:미국산)
맛느타리버섯국
양배추쌈*쌈장
미역초무침
쌀밥
깍두기","콩나물밥*양념장
시금치된장국
너비아니구이(돈육
계육:국내산)
부추생채
오복지
배추김치","우거지해장국(우육:뉴질랜드산)
두부구이
매운감자조림
양파초절임
쌀밥
깍두기","햄야채볶음밥(돈육
계육:국내산)
미역냉국
벌집감자튀김*케찹
솎음배추겉절이","수제비국
비엔나채소볶음(돈육
계육:국내산)
돌나물*초장
건파래볶음
쌀밥
배추김치"
844Kcal,835Kcal,842Kcal,858Kcal,857Kcal,860Kcal,855Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"함박스테이크(계육
돈육:국내산)
감자스프
파인콘샐러드
쌀밥
배추김치","등심돈가스(돈육:국내산)
크림스프
마카로니샐러드
쌀밥
배추김치","미트볼하이라이스(돈육:국내산)
일식장국
샐러드
배추김치","카레라이스
떡강정
일식장국
샐러드
배추김치","샐러드돈가스덮밥(돈육:국내산)
일식장국
배추김치",,
864Kcal,859Kcal,870Kcal,851Kcal,863Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
원산지,"메뉴는식자재수불상황에따라변동될수있으니양해부탁드립니다
우리식당은국내산쌀과국내산배추로만든김치류(배추-국산.고춧가루-국산)만을사용합니다
원산지표시는식자재수불상황에따라변경될수있으며당일메뉴는별도로원산지를공지하고있으니확인바랍니다
특성식품에알러지(Allergy)가있는고객께서는매뉴선택전식당사무실로문의하여주시기바랍니다
볶음밥(햄-돈육.계육-국산).김치찌게(배추-국산.고춧가루-국산)"
공지사항,"주말 분식코너는 라면메뉴만 운영합니다.(메뉴1, 메뉴2)"
