■생활관식당(블루미르308관)
2014년 06월 02일 ~ 2014년 06월 08일
주간식단표
구분,월요일(06/02),화요일(06/03),수요일(06/04),목요일(06/05),금요일(06/06),토요일(06/07),일요일(06/08)
조식,한식,"비엔나소시지구이(돈육
계육:국내산)
김치국
김구이
유채나물
쌀밥.깍두기","돼지고기계란장조림(돈육:미국산)
시락국
돌나물&초장
검은깨무나물
쌀밥
배추김치","치즈토스트
감자스프
시리얼&과일&우유
샐러드
배추김치","북어해장국
채소소세지전*케찹(돈육:국내산)
생깻잎절임
새송이버섯볶음
쌀밥
깍두기","조랭이떡국
완자조림(돈육:국내산)
미역초고추장무침
콩나물무침
쌀밥
배추김치","누룽지죽
치킨너겟*머스타드(계육:국내산)
시리얼&과일&우유
샐러드
배추김치","꼬마돈가스케찹볶음(돈육
계육:국내산)
근대국
우엉조림
무말랭이무침
쌀밥.배추김치"
786Kcal,813Kcal,703Kcal,822Kcal,813Kcal,762Kcal,818Kcal
07:00~08:40,07:00~08:40,08:00~09:00,07:00~08:40,08:00~09:00,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"고구마모닝빵
찐계란*소금
채소스프
시리얼&과일&우유
샐러드
피클","채소죽
카스테라빵
시리얼&과일&우유
샐러드
배추김치",,"후렌치토스트
옥수수스프
시리얼&과일&우유
샐러드
배추김치",,,
698Kcal,692Kcal,0Kcal,680Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40, :~ :,07:00~08:40, :~ :, :~ :, :~ :
"     2,800원","     2,800원",         0원,"     2,800원",         0원,         0원,         0원
중식,한식,"돼지고기고추장볶음(돈육:국내산)
맛느타리버섯맑은국
미역줄기볶음
양파초절임
쌀밥
배추김치","매운떡갈비조림(돈육:국내산)
순두부국
계란찜
치커리유자청무침
쌀밥
깍두기","설렁탕(우육
우사골농축액:뉴질랜드산)
김치전
도토리묵무침
명엽채볶음
쌀밥
깍두기","콩나물밥*양념장
아욱된장국
후랑크채소볶음(돈육
계육:국내산)
천사채샐러드
열무생채
배추김치","햄김치볶음밥(돈육
계육:국내산)&계란후라이
과일채소샐러드
팽이버섯장국
단무지","닭갈비볶음밥(계육:미국산)
다시마무국
오징어커틀렛(국내산+수입산)*타르타르소스
배추김치","도토리묵냉국
채소잡채
부추적채겉절이
건파래볶음
쌀밥
깍두기"
858Kcal,831Kcal,845Kcal,847Kcal,856Kcal,880Kcal,839Kcal
11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:30,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치채소비빔밥
열무된장국
사모사
단무지","물냉면
손만두찜(돈육:국내산)
김가루주먹밥
배추김치",,"열무물김치국수
채소춘권
무초절임
요쿠르트",,,
820Kcal,886Kcal,0Kcal,835Kcal,0Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10, :~ :,11:30~13:10, :~ :, :~ :, :~ :
"     2,800원","     2,800원",         0원,"     2,800원",         0원,         0원,         0원
특식,특식,"뚝배기순두부찌개(돈육:국내산)
감자전
양파초절임
쌀밥
깍두기","육개장뚝배기(우육
사골엑기스:뉴질랜드산)
계란찜
쌀밥
깍두기
요쿠르트",,"김치돼지고기찜(돈육:미국산)
오이냉국
천사채샐러드
쌀밥
요쿠르트",,,
851Kcal,873Kcal,0Kcal,826Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00, :~ :,11:30~13:00, :~ :, :~ :, :~ :
"     3,200원","     2,800원",         0원,"     3,200원",         0원,         0원,         0원
