■생활관식당(블루미르308관)
2014년 08월 11일 ~ 2014년 08월 17일
주간식단표
구분,월요일(08/11),화요일(08/12),수요일(08/13),목요일(08/14),금요일(08/15),토요일(08/16),일요일(08/17)
조식,한식,"계란장조림
콩나물국
게맛살채소볶음
콩자반
쌀밥
배추김치","꽁치조림
쇠고기무국(우육:뉴질랜드산)
감자채볶음
오이생채
쌀밥
깍두기","참치고추장볶음
순두부맑은국
계란후라이
무생채
쌀밥
배추김치","고기산적조림(돈육
계육:국내산)
근대국
주키니호박볶음
콩나물겨자냉채
쌀밥
깍두기","단호박샌드위치
옥수수스프
시리얼&과일&우유
샐러드
피클","오징어볶음(오징어:국내산)
아욱국
시금치겉절이
김가루무침
쌀밥
깍두기","장터국밥(우양지:뉴질랜드산)
메추리알곤약조림
마늘종볶음
오이지무침
쌀밥
깍두기"
783Kcal,797Kcal,826Kcal,820Kcal,693Kcal,789Kcal,830Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"후렌치토스트
완두콩스프
감자튀김
시리얼&과일&우유
샐러드
피클","시나몬토스트
채소스프
시리얼&과일&우유
샐러드
피클","페스트리빵
누룽지죽
시리얼&과일&우유
샐러드
배추김치","불갈비샌드(돈육
계육:국내산)
크림스프
시리얼&과일&우유",,,
835Kcal,698Kcal,716Kcal,709Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원,         0원
중식,한식,"돼지고기김치볶음(돈육:미국산)
오이냉국
두부찜*양념장
콘버터볶음
쌀밥
부추겉절이","김치찌개
꼬마돈까스케찹조림(돈육
계육:국내산)
치커리들깨소스무침
숙주나물
쌀밥
깍두기","닭고기부추볶음(계육:미국산)
배추된장국
올방개묵무침
양파초간장절임
쌀밥
배추김치","육개장(우육
사골농축액:뉴질랜드산)
환어묵볶음
실곤약샐러드
쑥갓겉절이
쌀밥
깍두기","비엔나브로컬리볶음(돈육
계육:국내산)
시락국
연근조림
무말랭이무침
쌀밥
배추김치","냉모밀국수
만두튀김*간장(돈육:국내산)
단무지","부대찌개&라면사리(돈육
계육:국내산)
너비아니구이(돈육
계육:국내산)
브로컬리숙회*초장
미역줄기볶음
쌀밥
배추김치"
862Kcal,873Kcal,850Kcal,861Kcal,868Kcal,873Kcal,882Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"베이컨햄마늘볶음밥(돈육:미국산
돈육
계육:국내산)
팽이버섯장국
누룽지샐러드
깍두기","콩국수
새우까스*타르소스
솎음배추겉절이","김치볶음밥&계란후라이
콩나물국
고구마맛탕
단무지","치킨마요덮밥(계육:중국산)
어묵채국
배추김치
요쿠르트",,,
832Kcal,823Kcal,874Kcal,860Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원,         0원
특식,특식,"돈까스토마토스파게티(돈육:국내산)
옥수수스프
누룽지샐러드
단무지","돼지고기장조림버터비빔밥(돈후지:국내산)
팽이버섯장국
배추김치","냉우동
김가루양념밥
미니핫도그
락교&단무지","뚝배기김치날치알밥
미니우동
락교&오복지",,,
891Kcal,861Kcal,872Kcal,849Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원,         0원
석식,한식,"미역국
알찬소세지전*케찹(돈육:국내산)
콩나물무침
우엉조림
쌀밥
배추김치","사각어묵국
떡갈비구이(돈육:국내산)
계란찜
열무생채
쌀밥
깍두기","돼지고기두루치기(돈육:미국산)
열무된장국
양배추쌈*쌈장
미역초무침
쌀밥
깍두기","콩나물밥*양념장
얼갈이된장국
햄구이(돈육
계육:국내산)
부추생채
오복지
배추김치","샐러드돈까스덮밥(돈육:국내산)
일식장국
배추김치","햄야채볶음밥(돈육
계육:국내산)
미역냉국
벌집감자튀김*케찹
솎음배추겉절이
요쿠르트","수제비국
후랑크채소볶음(돈육
계육:국내산)
탕평채
근대나물
쌀밥
배추김치"
844Kcal,835Kcal,842Kcal,858Kcal,857Kcal,860Kcal,855Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"함박스테이크(계육
돈육:국내산)
감자스프
파인콘샐러드
쌀밥
배추김치","등심돈까스(돈육:국내산)
크림스프
마카로니샐러드
쌀밥
배추김치","미트볼하이라이스(돈육:국내산)
일식장국
샐러드
배추김치","카레라이스
떡강정
일식장국
샐러드
배추김치",,,
864Kcal,859Kcal,870Kcal,851Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원,         0원
원산지,"메뉴는식자재수불상황에따라변동될수있으니양해부탁드립니다
우리식당은국내산쌀과국내산배추로만든김치류(배추-국산.고춧가루-국산)만을사용합니다
원산지표시는식자재수불상황에따라변경될수있으며당일메뉴는별도로원산지를공지하고있으니확인바랍니다
특성식품에알러지(Allergy)가있는고객께서는매뉴선택전식당사무실로문의하여주시기바랍니다
볶음밥(햄-돈육.계육-국산).김치찌게(배추-국산.고춧가루-국산)"
공지사항,"방학 중 운영시간
조식 : 평일 07:00~08:40 , 토 일요일 08:00~09:00
중식 : 평일 11:30~13:30 , 토 일요일 11:30~13:00
중식 양식 특식 : 평일 11:30~13:00, 토 일요일 운영없음
석식 : 평일 17:30~19:00 , 토 일요일 17:30~18:30
분식 : 평일 09:00~17:00 , 토 일요일 운영없음"
