■생활관식당(블루미르308관)
2014년 08월 18일 ~ 2014년 08월 24일
주간식단표
구분,월요일(08/18),화요일(08/19),수요일(08/20),목요일(08/21),금요일(08/22),토요일(08/23),일요일(08/24)
조식,한식,"햄계란전(돈육
계육:국내산)
오징어무국(오징어:국내산)
감자채볶음
숙주나물
쌀밥
깍두기","비엔나브로컬리볶음(돈육
계육:국내산)
근대국
실곤약채소무침
콩자반
쌀밥
배추김치",휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수)
752Kcal,729Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"단호박샌드위치
채소스프
시리얼&과일&우유
샐러드
피클","불갈비샌드(돈육
계육:국내산)
양송이스프
시리얼&과일&우유",휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수)
864Kcal,709Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"미트볼조림(돈육:국내산)
미역국
계란후라이
치커리들깨소스무침
쌀밥
깍두기","육개장(우양지:뉴질랜드산)
너비아니구이(돈육
계육:국내산)
시금치겉절이
건파래볶음
쌀밥
깍두기",휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수)
841Kcal,868Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"볶음우동
사모사
팽이버섯장국
깍두기","냉메밀국수
손만두찜(돈육:국내산)
깍두기
바나나1/2",휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수)
856Kcal,883Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"햄버거스테이크(돈육
계육:국내산)
크림스프
슈스트링감자튀김
샐러드
단무지","비빔밥*계란후라이
장국
손만두찜(돈육:국내산)
배추김치",휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수)
864Kcal,873Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"두부찜*김치볶음
쇠고기무국(우양지:뉴질랜드산)
게맛살채소볶음
쌀밥
참나물겉절이",휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수)
859Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"치킨가스카레덮밥(계육:중국산)
일식장국
배추김치",휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수),휴관(기숙사시설정비및유지보수)
875Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
원산지,"메뉴는식자재수불상황에따라변동될수있으니양해부탁드립니다
우리식당은국내산쌀과국내산배추로만든김치류(배추-국산.고춧가루-국산)만을사용합니다
원산지표시는식자재수불상황에따라변경될수있으며당일메뉴는별도로원산지를공지하고있으니확인바랍니다
특성식품에알러지(Allergy)가있는고객께서는매뉴선택전식당사무실로문의하여주시기바랍니다
볶음밥(햄-돈육.계육-국산).김치찌게(배추-국산.고춧가루-국산)"
공지사항,"방학 중 운영시간
조식 : 평일 07:00~08:40 , 토 일요일 08:00~09:00
중식 : 평일 11:30~13:30 , 토 일요일 11:30~13:00
중식 양식 특식 : 평일 11:30~13:00, 토 일요일 운영없음
석식 : 평일 17:30~19:00 , 토 일요일 17:30~18:30
분식 : 평일 09:00~17:00 , 토 일요일 운영없음"
공지사항,"휴관 안내 
1. 휴관기간 : 2014.08.20(수) ~2014.08.28(목)
2. 휴관사유 : 기숙사 시설 정비 및 유지보수 
3. 참고사항 : 기숙사 휴관으로 인하여 식당은 8/19(화) 중식까지만 운영하며
              개관일에 맞춰 8/29(금) 중식부터 정상운영합니다

"
