■생활관식당(블루미르308관)
2014년 08월 25일 ~ 2014년 08월 31일
주간식단표
구분,월요일(08/25),화요일(08/26),수요일(08/27),목요일(08/28),금요일(08/29),토요일(08/30),일요일(08/31)
조식,한식,휴관,,,,,"돼지불고기(돈육:국내산)
미역국
양배추쌈*쌈장
무비트초절임
쌀밥
배추김치","가자미카레구이
근대국
주키니호박볶음
깻잎지무침
쌀밥
배추김치"
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,826Kcal,831Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :,08:00~09:00,08:00~09:00
         0원,         0원,         0원,         0원,         0원,"     2,800원","     2,800원"
양식,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
         0원,         0원,         0원,         0원,         0원,         0원,         0원
중식,한식,,,,,"메추리알떡장조림
모듬어묵국
두부찜*양념장
부추생채
쌀밥
배추김치","닭곰탕&소면(계육:국내산
우사골농축액:뉴질랜드산)
브로콜리숙회*초장
청포묵무침
참나물겉절이
쌀밥
깍두기","오므라이스
미니함박*데미소스(우육:뉴질랜드산+호주산
돈육:국내산)
양송이스프
깍두기"
0Kcal,0Kcal,0Kcal,0Kcal,861Kcal,883Kcal,879Kcal
 :~ :, :~ :, :~ :, :~ :,11:30~13:30,11:30~13:00,11:30~13:00
         0원,         0원,         0원,         0원,"     2,800원","     2,800원","     2,800원"
양식,,,,,"짜장면
계란파국
미니김치만두
단무지",,
0Kcal,0Kcal,0Kcal,0Kcal,886Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :, :~ :,11:30~13:10, :~ :, :~ :
         0원,         0원,         0원,         0원,"     2,800원",         0원,         0원
특식,특식,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
         0원,         0원,         0원,         0원,         0원,         0원,         0원
석식,한식,,,,,"수제비국
너비아니엿장조림(돈육
계육:국내산)
김치전
미역줄기볶음
쌀밥
배추김치","순두부맑은국
후랑크채소볶음(돈육
계육:국내산)
맛김가루무침
콩나물무침
쌀밥
배추김치","콩나물밥*양념장
유부장국
오징어숙회무침(오징어:국내산)
우엉조림
마카로니샐러드
배추김치"
0Kcal,0Kcal,0Kcal,0Kcal,874Kcal,856Kcal,881Kcal
 :~ :, :~ :, :~ :, :~ :,17:30~19:00,17:30~18:30,17:30~18:30
         0원,         0원,         0원,         0원,"     2,800원","     2,800원","     2,800원"
양식,,,,,"치킨카레덮밥(계육:중국산)
일식장국
배추김치",,
0Kcal,0Kcal,0Kcal,0Kcal,870Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :, :~ :,17:30~19:00, :~ :, :~ :
         0원,         0원,         0원,         0원,"     2,800원",         0원,         0원
원산지,"메뉴는식자재수불상황에따라변동될수있으니양해부탁드립니다
우리식당은국내산쌀과국내산배추로만든김치류(배추-국산.고춧가루-국산)만을사용합니다
원산지표시는식자재수불상황에따라변경될수있으며당일메뉴는별도로원산지를공지하고있으니확인바랍니다
특성식품에알러지(Allergy)가있는고객께서는매뉴선택전식당사무실로문의하여주시기바랍니다
볶음밥(햄-돈육.계육-국산).김치찌게(배추-국산.고춧가루-국산)"
공지사항,"방학 중 운영시간
조식 : 평일 07:00~08:40 , 토 일요일 08:00~09:00
중식 : 평일 11:30~13:30 , 토 일요일 11:30~13:00
중식 양식 특식 : 평일 11:30~13:00, 토 일요일 운영없음
석식 : 평일 17:30~19:00 , 토 일요일 17:30~18:30
분식 : 평일 09:00~17:00 , 토 일요일 운영없음"
공지사항,"휴관 안내 
1. 휴관기간 : 2014.08.20(수) ~2014.08.28(목)
2. 휴관사유 : 기숙사 시설 정비 및 유지보수 
3. 참고사항 : 기숙사 휴관으로 인하여 식당은 8/19(화) 중식까지만 운영하며
              개관일에 맞춰 8/29(금) 중식부터 정상운영합니다
* 분식코너 주말에는 라면 메뉴만 제공됩니다(메뉴1,메뉴2만가능)

"
