■생활관식당(블루미르308관)
2014년 09월 08일 ~ 2014년 09월 14일
주간식단표
구분,월요일(09/08),화요일(09/09),수요일(09/10),목요일(09/11),금요일(09/12),토요일(09/13),일요일(09/14)
조식,한식,추석(운영없음),,"후랑크채소볶음(돈육
계육:국내산)
감자맑은국
계란후라이
콩자반
쌀밥.배추김치","근대된장국
소시지전(돈육:국내산)
어묵마늘쫑볶음
오이생채
쌀밥
배추김치","닭고기장조림(계육:미국산)
아욱국
김구이
무생채
쌀밥
배추김치","임연수구이(임연수:수입산)
미역국
유채나물
도토리묵무침
쌀밥
깍두기","채소죽
찐계란*소금
시나몬토스트
시리얼&과일&우유
샐러드
배추김치"
0Kcal,0Kcal,824Kcal,812Kcal,835Kcal,829Kcal,737Kcal
 :~ :, :~ :,08:00~09:00,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
         0원,         0원,"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,,,,"핫케익
옥수수스프
소시지전(돈육:국내산)
시리얼&과일&우유
샐러드
피클","고구마모닝빵
야채크로켓
크림스프
시리얼&과일&우유
샐러드
피클",,
0Kcal,0Kcal,0Kcal,749Kcal,750Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :,07:00~08:40,07:00~08:40, :~ :, :~ :
         0원,         0원,         0원,"     2,800원","     2,800원",         0원,         0원
중식,한식,,"치킨마요덮밥(계육:중국산)
우동국
배추김치
요쿠르트","쇠고기무국(우육:뉴질랜드산)
떡갈비조림(돈육:국내산)
옥수수전
깻잎지무침
쌀밥
배추김치","오징어볶음&소면(오징어:국내산)
유부장국
탕평채
명엽채볶음(수입산)
쌀밥
배추김치","미트볼조림(돈육:국내산)
두부구이*양념장
콩나물국
부추생채
쌀밥
깍두기","돼지불고기(돈육:국내산)
얼갈이된장국
양배추쌈*쌈장
양파초절임
쌀밥
배추김치","떡만두국(돈육:국내산)
햄구이(돈육
계육:국내산)
마카로니샐러드
맛김가루쪽파무침
쌀밥
배추김치"
0Kcal,869Kcal,874Kcal,873Kcal,828Kcal,868Kcal,885Kcal
 :~ :,11:30~13:00,11:30~13:00,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
         0원,"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,,,,"베이컨크림소스스파게티(베이컨:미국산)
감자튀김*케찹
오이피클
콜라","볶음우동
핫바*케찹
콩나물국
단무지",,
0Kcal,0Kcal,0Kcal,879Kcal,872Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :,11:30~13:10,11:30~13:10, :~ :, :~ :
         0원,         0원,         0원,"     2,800원","     2,800원",         0원,         0원
특식,특식,,,,"고추장돼지고기덮밥(돈육:국내산)
콩나물국
사모사
바나나1/2
깍두기","모듬커틀렛(생선가스:중국산
돈육:국내산)
채소볶음밥
양송이버섯스프
배추김치
요쿠르트",,
0Kcal,0Kcal,0Kcal,858Kcal,881Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :,11:30~13:00,11:30~13:00, :~ :, :~ :
         0원,         0원,         0원,"     3,200원","     3,200원",         0원,         0원
석식,한식,,"카레라이스
고구마맛탕
일식장국
샐러드
깍두기","샐러드돈까스덮밥(돈육:국내산)
일식장국
깍두기","설렁탕&소면(우양지
사골농축액:뉴질랜드산)
게맛살채소볶음
우엉조림
고추지무침
쌀밥
깍두기","돈육김치볶음(돈육:미국산)
호박된장국
감자채볶음
양념떡튀김
쌀밥
미역줄기볶음","육개장(우양지:뉴질랜드산)
계란찜
브로컬리숙회*초장
천사채샐러드
쌀밥
깍두기","시금치국
동그랑땡전(돈육:국내산)
호박나물
콩나물무침
쌀밥
깍두기"
0Kcal,887Kcal,863Kcal,884Kcal,875Kcal,871Kcal,854Kcal
 :~ :,17:30~18:30,17:30~18:30,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
         0원,"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,,,,"짜장덮밥
군만두(돈육:국내산)
일식장국
샐러드
배추김치","함박스테이크(돈육
계육:국내산)
야채스프
크루통샐러드
쌀밥
배추김치",,
0Kcal,0Kcal,0Kcal,883Kcal,880Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :,17:30~19:00,17:30~19:00, :~ :, :~ :
         0원,         0원,         0원,"     2,800원","     2,800원",         0원,         0원
공지사항,"■ 분식코너 공휴일 및 주말에는 라면메뉴만 제공됩니다. (메뉴1, 메뉴2만 가능)
■ 메뉴는 식자재 수불상황에 따라 변동될 수 있으니 양해 부탁드립니다.  
■ 우리식당은 국내산 쌀과 국내산 배추로 만든 김치류(배추:국산, 고춧가루:국산)만을 사용합니다
■ 원산지표시는 식자재 수불상황에 따라 변경될 수 있으며 당일메뉴는 별도로 원산지를 공지하고 있으니 확인 바랍니다.
■ 특성 식품에 알러지(Allergy)가 있는 고객께서는 메뉴 선택 前？식당 사무실로 문의하여 주시기 바랍니다
■ 볶음밥 (햄-돈육, 계육 국산) / 김치찌개(배추:국산, 고춧가루:국산)"
