■생활관식당(블루미르308관)
2014년 10월 06일 ~ 2014년 10월 12일
주간식단표
구분,월요일(10/06),화요일(10/07),수요일(10/08),목요일(10/09),금요일(10/10),토요일(10/11),일요일(10/12)
조식,한식,"삼치데리야끼구이(국내산)
미역국
숙주나물
열무된장무침
쌀밥
배추김치","참치채소볶음
감자국
실곤약채소무침
마늘종볶음
쌀밥
배추김치","떡갈비조림(돈육:국내산)
순두부국
미역레몬초무침
감자채볶음
쌀밥
배추김치","단호박샌드위치
브로컬리스프
찐계란*소금
시리얼&과일&우유
샐러드
피클","닭고기떡볶음(계육:미국산)
사각어묵국
시금치나물
건파래볶음
쌀밥
깍두기","경상도고깃국(우양지:뉴질랜드산)
소시지전(돈육:국내산)
오이맛고추무침
호박나물
쌀밥
배추김치","고구마모닝빵
흑임자죽
시리얼&과일&우유
샐러드
배추김치"
868Kcal,865Kcal,854Kcal,876Kcal,862Kcal,874Kcal,704Kcal
07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝토스트
크림스프
시리얼&과일&우유
샐러드
피클","시나몬토스트
양송이스프
시리얼&과일&우유
샐러드
피클","누룽지죽
핫케익
시리얼&과일&우유
샐러드
배추김치",,"모닝빵*딸기잼
채소크로켓*케찹
옥수수스프
시리얼&과일&우유
샐러드
피클",,
698Kcal,687Kcal,703Kcal,0Kcal,784Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40, :~ :,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원",         0원,"     2,800원",         0원,         0원
중식,한식,"햄모듬찌개(돈육
계육:국내산)
계란찜
모듬채소전
오이지무침
쌀밥
깍두기","가지돼지고기볶음(돈육:미국산)
시금치국
청포묵김가루무침
무말랭이무침
쌀밥
배추김치","취나물버섯밥*양념장
근대된장국
꼬마돈까스조림(돈육
계육:국내산)
브로컬리숙회*초장
무생채
배추김치","장터국밥(우양지:뉴질랜드산)
계란장조림
명엽채볶음(수입산)
고추지절임
쌀밥
깍두기","고기산적구이(돈육
계육:국내산)
시래기된장국
팽이버섯맛살볶음
올방개묵무침
쌀밥
배추김치","설렁탕&소면사리(우양지:호주산
뉴질랜드산/우사골농축액:뉴질랜드산)
후랑크채소볶음(돈육
계육:국내산)
녹두전
유채나물
깍두기","닭갈비볶음밥(계육:미국산)
가다랭이국
꼬치구이(돈육
계육:국내산)
양배추샐러드
깍두기"
879Kcal,882Kcal,875Kcal,889Kcal,868Kcal,885Kcal,891Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"치킨마요덮밥(계육:중국산)
우동국
배추김치
요쿠르트","스팸계란말이덮밥(돈육:수입산)
일식장국
누룽지샐러드
깍두기","잔치국수
고구마맛탕
솎음배추겉절이
요쿠르트",,"토마토소스스파게티
수제마늘빵
감자튀김
콜라
피클",,
866Kcal,873Kcal,827Kcal,0Kcal,879Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10,11:30~13:10, :~ :,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원",         0원,"     2,800원",         0원,         0원
특식,특식,"새우튀김우동(새우:베트남)
김가루양념밥
만두강정(돈육:국내산)
단무지","가츠동(돈육:국내산)
일식장국
게맛살튀김
락교
단무지","불닭오므라이스(계육:미국산)
일식장국
누룽지샐러드
깍두기",,"뚝배기김치날치알밥
물만두국(돈육:국내산)
락교
오복지",,
864Kcal,871Kcal,879Kcal,0Kcal,881Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00, :~ :,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원",         0원,"     3,200원",         0원,         0원
석식,한식,"유자향돼지불고기(돈육:국내산)
매운콩나물국
마카로니샐러드
다시마쌈*초장
깍두기","두부찜&김치볶음
수제비국
연근조림
게맛살냉채
쌀밥","돼지고기오징어두루치기(돈육
오징어:국내산)
아욱국
옥수수전
양파초절임
쌀밥
솎음배추겉절이","비엔나소시지볶음(돈육
계육:국내산)
북어국(러시아산)
김구이
감자조림
쌀밥
배추김치","만두김치찌개(돈육:국내산)
메추리알어묵볶음
미역줄기볶음
모듬채소겉절이
쌀밥
깍두기","치킨커틀렛(중국산)
일식장국
샐러드
쌀밥
오이피클
배추김치","돼지고기김치볶음(돈육:미국산)
열무된장국
두부구이*양념장
콩나물무침
솎음배추겉절이
쌀밥"
865Kcal,854Kcal,893Kcal,870Kcal,885Kcal,865Kcal,876Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"미트볼하이라이스(돈육:국내산)
유부장국
크루통샐러드
배추김치","함박스테이크(계육
돈육:국내산)
감자스프
양배추후르츠샐러드
쌀밥
배추김치","자장덮밥
군만두(돈육:국내산)
일식장국
파인콘샐러드
배추김치",,"돈까스카레덮밥(돈육:국내산)
일식장국
배추김치",,
870Kcal,751Kcal,871Kcal,0Kcal,875Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00, :~ :,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원",         0원,"     2,800원",         0원,         0원
