■생활관식당(블루미르308관)
2014년 10월 13일 ~ 2014년 10월 19일
주간식단표
구분,월요일(10/13),화요일(10/14),수요일(10/15),목요일(10/16),금요일(10/17),토요일(10/18),일요일(10/19)
조식,한식,"계란장조림
열무된장국
게맛살채소볶음
김구이
쌀밥
배추김치","꽁치김치조림
순두부맑은국
감자채볶음
치커리들깨소스무침
쌀밥
깍두기","참치채소볶음
근대된장국
햄구이(돈육
계육:국내산)
시래기조림
쌀밥
깍두기","고기산적조림(돈육
계육:국내산)
감자국
실곤약채소무침
쥐어채볶음(수입산)
쌀밥
솎음배추겉절이","완자전(돈육:국내산)
아욱국
새송이버섯볶음
오이생채
쌀밥
배추김치","오징어볶음(오징어:국내산)
배추국
시금치나물
우엉조림
쌀밥
깍두기","장터국밥(우양지:뉴질랜드산)
메추리알곤약조림
미역줄기볶음
오이지무침
쌀밥
깍두기"
779Kcal,798Kcal,803Kcal,827Kcal,805Kcal,814Kcal,826Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"후렌치토스트
완두콩스프
감자튀김
시리얼&과일&우유
샐러드
피클","시나몬토스트
채소스프
시리얼&과일&우유
샐러드
피클","페스트리빵
누룽지죽
시리얼&과일&우유
샐러드
배추김치","불갈비샌드(돈육
계육:국내산)
크림스프
시리얼&과일&우유","단호박샌드위치
옥수수스프
시리얼&과일&우유
샐러드
피클",,
735Kcal,698Kcal,716Kcal,709Kcal,693Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"돼지고기김치볶음(돈육:미국산)
미역국
두부찜
콘버터볶음
쌀밥
무생채","김치찌개
꼬마돈까스케찹조림(돈육
계육:국내산)
브로컬리숙회*초장
숙주나물
쌀밥
깍두기","닭고기단호박찜(계육:미국산)
콩나물국
돌나물생채
주키니호박볶음
쌀밥
배추김치","육개장(우육
사골농축액:뉴질랜드산)
오징어숙회무침
환어묵볶음
양파초절임
쌀밥
깍두기","어묵매운탕
후랑크채소볶음(돈육
계육:국내산)
계란찜
깻잎지무침
쌀밥
깍두기","설렁탕&소면(우양지
우사골농축액:뉴질랜드산)
채소잡채
청포묵김가루무침
콩나물무침
쌀밥
깍두기","부대찌개&라면사리(돈육
계육:국내산)
천사채무침
마늘쫑볶음
무말랭이무침
쌀밥
배추김치"
868Kcal,862Kcal,870Kcal,886Kcal,854Kcal,889Kcal,863Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"베이컨햄마늘볶음밥(돈육:미국산
돈육
계육:국내산)
팽이버섯장국
누룽지샐러드
깍두기","볶음우동
핫바*케찹
미역장국
단무지","김치볶음밥&계란후라이
콩나물국
고구마맛탕
단무지","치킨마요덮밥(계육:중국산)
어묵채국
배추김치
요쿠르트","짜장면
유부장국
물만두찜(돈육:국내산)
단무지","오므라이스&미니함박(우육:뉴질랜드
호주산+돈육:국내산)*데미소스
양송이스프
배추김치","불고기볶음밥(우육:호주산)
다시마무국
양상추샐러드*키위드레싱
배추김치
요쿠르트"
862Kcal,859Kcal,857Kcal,866Kcal,878Kcal,882Kcal,854Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"돈까스토마토스파게티(돈육:국내산)
옥수수스프
누룽지샐러드
단무지","비빔밥&계란후라이
미역장국
실곤약겨자무침
배추김치
요쿠르트","돼지고기장조림버터비빔밥(돈후지:국내산)
콩나물국
게맛살튀김*타르소스
배추김치","닭칼국수(계육
닭뼈:국내산)
야채크로켓*케찹
흑미밥
배추김치
오렌지","뚝배기불고기(돈육:국내산)
계란찜
흑미밥
깍두기
요쿠르트",,
889Kcal,864Kcal,884Kcal,876Kcal,870Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"시금치국
알찬소세지전*케찹(돈육:국내산)
마늘종볶음
콩자반
쌀밥
배추김치","북어해장국(북어:러시아산)
떡갈비구이(돈육:국내산)
연근조림
열무생채
쌀밥
깍두기","돼지고기두루치기(돈육:미국산)
맛느타리버섯국
양배추쌈*쌈장
미역초무침
쌀밥
깍두기","콩나물밥*양념장
시금치된장국
너비아니구이(돈육
계육:국내산)
부추생채
오복지
배추김치","우거지해장국(우육:뉴질랜드산)
두부구이
매운감자조림
유채나물
쌀밥
깍두기","햄야채볶음밥*케찹(돈육
계육:국내산)
유부우동국
어묵떡볶이
솎음배추겉절이","수제비국
비엔나채소볶음(돈육
계육:국내산)
근대나물
맛김가루쪽파무침
쌀밥
배추김치"
847Kcal,853Kcal,861Kcal,858Kcal,848Kcal,866Kcal,875Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:00~18:30,17:00~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"함박스테이크(계육
돈육:국내산)
감자스프
파인콘샐러드
쌀밥
배추김치","등심돈가스(돈육:국내산)
크림스프
마카로니샐러드
쌀밥
배추김치","미트볼하이라이스(돈육:국내산)
일식장국
샐러드
배추김치","카레라이스
떡강정
일식장국
샐러드
배추김치","샐러드돈가스덮밥(돈육:국내산)
일식장국
배추김치",,
864Kcal,859Kcal,870Kcal,851Kcal,863Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
공지사항,"■ 분식코너 공휴일 및 주말에는 라면메뉴만 제공됩니다. (메뉴1, 메뉴2만 가능)
■ 메뉴는 식자재 수불상황에 따라 변동될 수 있으니 양해 부탁드립니다.  
■ 우리식당은 국내산 쌀과 국내산 배추로 만든 김치류(배추:국산, 고춧가루:국산)만을 사용합니다
■ 원산지표시는 식자재 수불상황에 따라 변경될 수 있으며 당일메뉴는 별도로 원산지를 공지하고 있으니 확인 바랍니다.
■ 특성 식품에 알러지(Allergy)가 있는 고객께서는 메뉴 선택 前？식당 사무실로 문의하여 주시기 바랍니다
■ 볶음밥 (햄-돈육, 계육 국산) / 김치찌개(배추:국산, 고춧가루:국산)"
