■생활관식당(블루미르308관)
2014년 11월 10일 ~ 2014년 11월 16일
주간식단표
구분,월요일(11/10),화요일(11/11),수요일(11/12),목요일(11/13),금요일(11/14),토요일(11/15),일요일(11/16)
조식,한식,"수제비국
비엔나브로컬리볶음(돈육
계육:국내산)
연근조림
무말랭이무침
쌀밥
배추김치","너비아니구이(돈육
계육:국내산)
콩나물국
쫄면채소무침
시금치나물
쌀밥
깍두기","두부찜&김치볶음
시래기국
햄채소볶음(돈육
계육:국내산)
쌀밥
깻잎순겉절이","고등어카레튀김(고등어:국내산)
시금치국
도토리묵무침
오이맛고추쌈장무침
쌀밥
깍두기","고기산적조림(돈육
계육:국내산)
다시마무채국
마늘쫑볶음
콩자반
쌀밥
배추김치","동그랑땡전(돈육:국내산)
오징어무국(오징어:국내산)
김구이
얼갈이된장나물
쌀밥
깍두기","닭죽(계육:국내산)
새송이버섯볶음
시리얼&과일&우유
샐러드
배추김치"
831Kcal,835Kcal,831Kcal,828Kcal,829Kcal,834Kcal,801Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"햄치즈샌드위치(돈육
계육:국내산)
크림스프
시리얼&과일&우유","시나몬토스트
채소스프
시리얼&과일&우유
샐러드
피클","누룽지죽
핫케익
시리얼&과일&우유
샐러드
배추김치","단호박샌드위치
브로컬리스프
찐계란*소금
시리얼&과일&우유
샐러드
피클","모닝빵*딸기잼
핫바*케찹
옥수수스프
시리얼&과일&우유
샐러드
피클",,
780Kcal,687Kcal,733Kcal,726Kcal,748Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"감자고추장찌개
꼬마돈까스(돈육
계육:국내산)
궁중떡볶이
청경채겉절이
쌀밥
배추김치","오징어볶음&소면(오징어:국내산)
배추국
부추적채겉절이
숙주나물
쌀밥
배추김치","닭고기춘장볶음(계육:미국산)
환어묵국
파래김구이*양념장
매운콩나물무침
쌀밥
깍두기","꼬마돈까스조림(돈육
계육:국내산)
우거지해장국(우양지
사골농축액:호주산)
게맛살채소볶음
미역초무침
쌀밥
깍두기","전주식콩나물국밥
계란말이
김가루쪽파무침
유채나물
쌀밥
깍두기","돼지고기채소비빔밥(돈육:국내산)
유부장국
배추김치
요쿠르트","떡국
떡갈비구이(돈육:국내산)
천사채샐러드
참나물무침
쌀밥
깜두기"
865Kcal,854Kcal,866Kcal,877Kcal,859Kcal,863Kcal,879Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈가스덮밥(돈육:국내산)
가다랭이국
마카로니콘샐러드
깍두기","김치볶음밥&계란후라이
팽이버섯장국
스마일감자튀김
단무지","온모밀국수
채소크로켓*케찹
김가루양념밥
단무지","불고기볶음밥(우목심:호주산)
유부우동국
손만두찜(돈육:국내산)
배추김치","참치채소비빔밥
미소장국
야채춘권
단무지",,
879Kcal,877Kcal,858Kcal,862Kcal,854Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
