■생활관식당(블루미르308관)
2014년 11월 17일 ~ 2014년 11월 23일
주간식단표
구분,월요일(11/17),화요일(11/18),수요일(11/19),목요일(11/20),금요일(11/21),토요일(11/22),일요일(11/23)
조식,한식,"삼치데리야끼구이(삼치:국내산)
미역국
열무된장무침
오이지무침
쌀밥
배추김치","떡갈비조림(돈육:국내산)
홍합국
근대나물
감자채볶음
쌀밥
배추김치","소고기당면볶음(우육:호주산)
김칫국
청포묵무침
무말랭이무침
쌀밥
솎음배추겉절이","장터국밥(우양지:뉴질랜드산)
계란장조림
맛살채소볶음
고추지절임
쌀밥
깍두기","닭고기불고기(계육:미국산)
콩나물국
다시마숙회*초장
명엽채볶음(수입산)
쌀밥
깍두기","경상도고깃국(우양지:뉴질랜드산)
새우완자조림
콩자반
호박무나물
쌀밥
배추김치","고구마샌드위치
흑임자죽
시리얼&과일&우유
샐러드
배추김치"
769Kcal,750Kcal,801Kcal,809Kcal,824Kcal,822Kcal,702Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝토스트
크림스프
시리얼&과일&우유
샐러드
피클","시나몬토스트
채소스프
시리얼&과일&우유
샐러드
피클","흑임자죽
핫케익
시리얼&과일&우유
샐러드
배추김치","카스테라
브로컬리스프
찐계란*소금
시리얼&과일&우유
샐러드
피클","모닝빵*딸기잼
핫바*케찹
옥수수스프
시리얼&과일&우유
샐러드
피클",,
692Kcal,694Kcal,706Kcal,732Kcal,751Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"햄모듬찌개(돈육
계육:국내산)
메추리알장조림
모듬채소전
상추겉절이
쌀밥
깍두기","돼지고기고추장볶음(돈육:미국산)
근대국
양배추쌈*쌈장
부추생채
쌀밥
배추김치","취나물버섯밥*양념장
근대된장국
알찬소세지전(돈육:국내산)
미역줄기볶음
무초절임
배추김치","닭개장(계육
닭뼈:국내산)
고추장떡
채소잡채
허브생채
쌀밥
깍두기","고기산적구이(돈육
계육:국내산)
감자고추장찌개
숙주나물
천사채샐러드
쌀밥
배추김치","설렁탕&소면사리(우육
사골농축액:호주산)
계란말이
엄지새송이볶음
고추지무침
깍두기","손만두국(돈육:국내산)
너비아니구이(돈육
계육:국내산)
브로컬리숙회*초장
콩나물무침
쌀밥
배추김치"
880Kcal,868Kcal,872Kcal,885Kcal,876Kcal,879Kcal,884Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
