■생활관식당(블루미르308관)
2014년 11월 24일 ~ 2014년 11월 30일
주간식단표
구분,월요일(11/24),화요일(11/25),수요일(11/26),목요일(11/27),금요일(11/28),토요일(11/29),일요일(11/30)
조식,한식,"계란후라이
사각어묵국
햄채소볶음(돈육
계육:국내산)
김구이
쌀밥
배추김치","너비아니구이(돈육
계육:국내산)
북어해장국(러시아산)
다시마튀각
주키니호박볶음
쌀밥
깍두기","미트볼조림(돈육:국내산)
오징어무국(오징어:국내산)
팽이버섯양파볶음
미역줄기볶음
쌀밥
깍두기","경상도고깃국(우양지:호주산)
연두부찜
계란장조림
열무고추장무침
쌀밥
깍두기","비엔나채소볶음(돈육
계육:국내산)
순두부맑은국
우엉조림
숙주나물
쌀밥
배추김치","고등어시래기조림(국내산)
근대된장국
계란찜
오이지무침
쌀밥
배추김치","감자모닝빵
브로컬리스프
시리얼&과일&우유
샐러드
피클"
801Kcal,806Kcal,813Kcal,829Kcal,830Kcal,827Kcal,702Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"후렌치토스트
완두콩스프
감자튀김
시리얼&과일&우유
샐러드
피클","시나몬토스트
채소스프
시리얼&과일&우유
샐러드
피클","페스트리빵
누룽지죽
시리얼&과일&우유
샐러드
배추김치","단호박샌드위치
옥수수스프
시리얼&과일&우유
샐러드
피클","핫케익
누룽지죽
시리얼&과일&우유
샐러드
배추김치",,
720Kcal,699Kcal,712Kcal,703Kcal,709Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"육개장(우육
사골농축액:호주산)
고기산적조림(돈육
계육:국내산)
게맛살채소볶음
부추생채
쌀밥
깍두기","춘천닭갈비&떡사리(계육:미국산)
콩나물국
마카로니샐러드
브로컬리숙회*초장
쌀밥
배추김치","돼지고기버섯불고기(돈육:미국산)
미역국
양배추쌈*쌈장
매운콩나물무침
쌀밥
배추김치","오징어떡불고기(오징어:국내산)
얼갈이된장국
청포묵겨자소스무침
시금치나물
쌀밥
깍두기","설렁탕&소면사리(우육
사골농축액:뉴질랜드산)김치전
환어묵볶음
미역오이초무침
쌀밥
깍두기","햄카레볶음밥(돈육:국내산)
우동국
만두강정(돈육:국내산)
양상추초간장무침
깍두기","비빔밥&계란후라이
일식장국
마카로니샐러드
배추김치"
884Kcal,869Kcal,874Kcal,869Kcal,879Kcal,866Kcal,851Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치마요덮밥
팽이버섯장국
사모사
크루통샐러드
깍두기","토마토소스스파게티
수제마늘빵
감자튀김
콜라
피클","치킨커틀렛(중국산)
양송이버섯스프
양배추샐러드
쌀밥
배추김치","베이컨햄마늘볶음밥(돈육:미국산
돈육
계육:국내산)
팽이버섯장국
고구마맛탕
깍두기
요구르트","볶음우동
일식장국
새우커틀렛*타르소스
단무지",,
858Kcal,873Kcal,847Kcal,862Kcal,869Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"홍합짬뽕(오징어:국내산)
사모사
단무지
요구르트","비빔밥&계란후라이
팽이버섯장국
배추김치
가을홍시","뚝배기해물순두부
탕수육(돈육:국내산)
김구이
쌀밥
깍두기","왕만두김치전골(돈육:국내산)
스크램블에그
유채나물
쌀밥
깍두기","뚝배기불고기(돈육:수입산)
샐러드
흑미밥
환어묵볶음
깍두기",,
883Kcal,862Kcal,870Kcal,875Kcal,862Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"순대볶음(돈육:국내산)
홍합국
천사채샐러드
마늘쫑볶음
쌀밥
깍두기","호박고추장찌개
꼬마돈까스(돈육
계육:국내산)
새송이버섯볶음
참나물겉절이
쌀밥
깍두기","수제비국
소시지전(돈육:국내산)
도토리묵*양념장
무생채
쌀밥
배추김치","매운닭개장(계육
닭뼈:국내산)
채소잡채
햄구이*케찹(돈육
계육:국내산)
양파초절임
쌀밥
깍두기","돼지고기김치볶음(돈전지:미국산)
열무된장국
콩자반
어묵전
쌀밥
치커리유자소스무침","떡국
떡갈비조림(돈육:국내산)
상추겉절이
쌀밥
배추김치
가을홍시","순두부찌개
후랑크소시지볶음(돈육
계육:국내산)
명엽채볶음(수입산)
콩나물무침
쌀밥
깍두기"
869Kcal,867Kcal,859Kcal,882Kcal,871Kcal,856Kcal,859Kcal
