■생활관식당(블루미르308관)
2014년 12월 08일 ~ 2014년 12월 14일
주간식단표
구분,월요일(12/08),화요일(12/09),수요일(12/10),목요일(12/11),금요일(12/12),토요일(12/13),일요일(12/14)
조식,한식,"경상도고깃국(우육:호주산)
계란후라이
브로컬리숙회*초장
건파래무침
쌀밥
배추김치","돼지고기김치볶음(돈육:미국산)
사각어묵국
두부찜*양념장
콩나물무침
쌀밥
솎음배추겉절이","북어국(러시아산)
햄구이(돈육
계육:국내산)
치커리생채
마늘쫑볶음
쌀밥
깍두기","닭고기굴소스볶음(계육:미국산)
김치국
사각어묵볶음
무생채
쌀밥
깍두기","미트볼조림(돈육:국내산)
순두부맑은국
감자채볶음
생깻잎절임
쌀밥
깍두기","메추리알장조림
두부새우젓국
김구이
참나물겉절이
쌀밥
배추김치","고등어구이(국내산)
아욱국
콩자반
주키니호박나물
쌀밥
깍두기"
836Kcal,869Kcal,842Kcal,853Kcal,831Kcal,823Kcal,834Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"감자샌드위치
채소스프
시리얼&과일&우유
샐러드
피클","참치채소죽
계란후라이
시리얼&과일&우유
샐러드
배추김치","불갈비샌드(돈육
계육:국내산)
양송이스프
시리얼&과일&우유","모닝토스트
브로컬리스프
시리얼&과일&우유
피클","핫케익
누룽지죽
시리얼&과일&우유
샐러드
깍두기",,
669Kcal,680Kcal,739Kcal,651Kcal,660Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"돼지고기고추장볶음(돈육:미국산)
미역국
어묵전
유채나물
쌀밥
깍두기","순대볶음(돈육:국내산)
수제비국
다시마숙회*초장
마카로니샐러드
쌀밥
배추김치","오징어볶음&소면(오징어:국내산)
감자맑은국
청포묵김가루무침
시금치나물
쌀밥
깍두기","설렁탕&소면사리(우육
사골농축액:호주산)
김치전
새송이버섯볶음
고추지무침
쌀밥
깍두기","콩나물무밥*양념장
된장찌개
알찬소세지전(돈육:국내산)
오이지무침
천사채샐러드
깍두기","부대찌개&라면사리(돈육
계육:국내산)
계란장조림
돌나물*초장
실곤약샐러드
쌀밥
깍두기","사골떡국(사골농축액:호주산)
떡갈비조림(돈육:국내산)
팽이버섯볶음
열무생채
쌀밥
배추김치"
867Kcal,874Kcal,859Kcal,879Kcal,878Kcal,883Kcal,880Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"크림소스스파게티(베이컨:미국산)
감자튀김
오이피클
콜라","스팸계란말이덮밥(돈육:수입산)
일식장국
누룽지샐러드
깍두기","온모밀국수
손만두찜(돈육:국내산)
배추김치
감귤1/2","우엉어묵볶음밥
일식장국
핫도그(돈육
계육:국내산)
배추김치","볶음우동
일식장국
새우커틀렛*타르소스
단무지","치킨커틀렛(중국산)
양송이버섯스프
양배추샐러드
쌀밥
배추김치","중국식계란볶음밥
유부국
만두탕수(돈육:국내산)
배추김치"
834Kcal,861Kcal,883Kcal,850Kcal,875Kcal,862Kcal,859Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"모듬커틀렛(돈육:국내산
생선가스:중국산)
채소볶음밥
팽이버섯장국
깍두기","새우튀김우동(새우:베트남산)
김가루양념밥
고구마맛탕
단무지","가츠동(돈육:국내산)
우동국
락교&오복지
감귤1/2","비빔밥&계란후라이
근대된장국
채소크로켓
배추김치","뚝배기불고기(돈육:국내산)
채소춘권
샐러드
깍두기",,
885Kcal,879Kcal,885Kcal,870Kcal,862Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"너비아니구이(돈육
계육:국내산)
홍합국
오이생채
탕평채
쌀밥
배추김치","만두육개장(돈육:국내산)
채소잡채
부추전
미역줄기볶음
쌀밥
깍두기","소고기당면볶음(우육:호주산)
다시마무채국
계란찜
미역초무침
쌀밥
솎음배추겉절이","참치김치찌개
고기산적조랑이떡조림(돈육
계육:국내산)
마늘종볶음
숙주나물
쌀밥
깍두기","어묵매운탕
비엔나케찹볶음(돈육
계육:국내산)
연근조림
무생채
쌀밥
배추김치","돼지불고기덮밥(돈육:미국산)
유부장국
샐러드
깍두기","후랑크소세지볶음(돈육
계육:국내산)
감자고추장찌개
명엽채볶음(수입산)
쫑상추겉절이
쌀밥
깍두기"
870Kcal,880Kcal,875Kcal,870Kcal,871Kcal,874Kcal,869Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:00~18:30,17:00~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
