■생활관식당(블루미르308관)
2014년 12월 15일 ~ 2014년 12월 21일
주간식단표
구분,월요일(12/15),화요일(12/16),수요일(12/17),목요일(12/18),금요일(12/19),토요일(12/20),일요일(12/21)
조식,한식,"너비아니구이(돈육
계육:국내산)
호박고추장찌개
시금치나물
김구이
쌀밥
깍두기","가자미구이
얼갈이된장국
연두부찜*양념장
무생채
쌀밥
깍두기","참치채소볶음
순두부맑은국
주키니호박나물
생깻잎절임
쌀밥
배추김치","떡갈비조림(돈육:국내산)
북어국(러시아산)
두부구이*양념장
청경채무침
쌀밥
배추김치","쇠고기당면볶음(우육:호주산)
다시마무채국
시래기된장조림
숙주나물
쌀밥
깍두기","오징어볶음(오징어:국내산)
쇠고기무국(우육:호주산)
시금치겉절이
건파래볶음
쌀밥
깍두기","장터국밥(우양지:호주산)
환어묵볶음
계란말이
무나물
쌀밥
배추김치"
802Kcal,813Kcal,820Kcal,832Kcal,836Kcal,842Kcal,834Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"후렌치토스트
완두콩스프
감자튀김
시리얼&과일&우유
샐러드
피클","시나몬토스트
채소스프
시리얼&과일&우유
샐러드
피클","페스트리빵
누룽지죽
시리얼&과일&우유
샐러드
배추김치","닭죽(계육:국내산)
감자튀김
시리얼&과일&우유
샐러드
배추김치","단호박샌드위치
옥수수스프
시리얼&과일&우유
샐러드
피클",,
721Kcal,698Kcal,702Kcal,730Kcal,701Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
