■생활관식당(블루미르308관)
2014년 12월 22일 ~ 2014년 12월 28일
주간식단표
구분,월요일(12/22),화요일(12/23),수요일(12/24),목요일(12/25),금요일(12/26),토요일(12/27),일요일(12/28)
조식,한식,"고기산적조림(돈육
계육:국내산)
버섯매운국
무나물
다시마튀각
쌀밥
배추김치","삼치데리야끼
시금치국
새송이버섯볶음
미역줄기볶음
쌀밥
배추김치","경상도고깃국(우양지:뉴질랜드산)
연두부찜*양념장
동글이어묵볶음
브로컬리숙회*초장
쌀밥
깍두기","돼지고기떡장조림(돈육:미국산)
호박새우젓국
마늘쫑볶음
숙주나물
쌀밥
배추김치","닭고기채소볶음(계육:미국산)
사각어묵국
양파초절임
김구이
쌀밥
솎음배추겉절이","참치김치볶음
순두부맑은국
명엽채볶음(수입산)
부추적채겉절이
쌀밥
얼갈이나물","후렌치토스트
채소죽
시리얼&과일&우유
샐러드
배추김치"
724Kcal,761Kcal,793Kcal,799Kcal,802Kcal,794Kcal,682Kcal
07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝토스트
크림스프
시리얼&과일&우유
샐러드
피클","감자샌드위치
옥수수스프
시리얼&과일&우유
샐러드
피클",,,"모닝빵*딸기잼
채소스프
찐계란*소금
시리얼&과일&우유
샐러드
피클",,
662Kcal,670Kcal,0Kcal,0Kcal,721Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40, :~ :, :~ :,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원",         0원,         0원,"     2,800원",         0원,         0원
중식,한식,"비엔나채소볶음(돈육
계육:국내산)
북어국(러시아산)
계란후라이
치커리들깨소스무침
쌀밥
깍두기","춘천닭갈비&떡사리(계육:미국산)
콩나물국
청포묵무침
콩자반
쌀밥
깍두기","꼬마돈까스케찹볶음(돈육
계육:국내산)
아욱국
게맛살채소볶음
시금치겉절이
쌀밥
배추김치","돈까스카레덮밥(돈육:국내산)
우동국
배추김치","설렁탕&소면사리(우육
사골농축액:뉴질랜드산)
채소잡채
감자채볶음
고추지무침
쌀밥
깍두기","오징어무국(오징어:국내산)
햄계란전(돈육:국내산)
건파래볶음
시래기된장조림
쌀밥
깍두기","돼지고기채소비빔밥(돈육:국내산)
두부장국
배추김치
요구르트"
846Kcal,852Kcal,854Kcal,878Kcal,881Kcal,873Kcal,850Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치마요덮밥
팽이버섯장국
사모사
깍두기","토마토소스스파게티
수제마늘빵
감자튀김
콜라
피클","불고기볶음밥(우목심:호주산)
우동국
손만두찜*간장(돈육:국내산)
배추김치",,"샐러드돈까스덮밥(돈육:국내산)
일식장국
배추김치
요쿠르트",,
861Kcal,873Kcal,879Kcal,0Kcal,863Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00, :~ :,11:30~13:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원",         0원,"     2,800원",         0원,         0원
특식,특식,"햄버거스테이크&체다치즈(계육
돈육:국내산)
채소볶음밥
팽이버섯장국
피클","만두육개장(돈육:국내산)
새우커틀렛*타르소스
미역줄기볶음
쌀밥
깍두기",,,"오므라이스&새우튀김
팽이버섯장국
누룽지샐러드
깍두기",,
882Kcal,880Kcal,0Kcal,0Kcal,878Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00, :~ :, :~ :,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원",         0원,         0원,"     3,200원",         0원,         0원
석식,한식,"순두부찌개
만두탕수(돈육:국내산)
콘채소샐러드
생깻잎절임
쌀밥
깍두기","피홍합국
후랑크파인애플볶음(돈육
계육:국내산)
계란찜
오이지무침
쌀밥
배추김치","순대볶음(돈육:국내산)
수제비국
옥수수전
콩나물무침
쌀밥
깍두기","우거지해장국(우양지:뉴질랜드산)
메추리알장조림
두부계란전
무말랭이무침
쌀밥
배추김치","돼지고기고추장볶음(돈육:미국산)
미역국
양배추쌈*쌈장
호박나물
쌀밥
깍두기","치킨커틀렛(중국산)
일식장국
샐러드
쌀밥
피클","사골떡국(사골농축액:호주산)
완자조림(돈육:국내산)
팽이버섯채소볶음
오이생채
쌀밥
배추김치"
858Kcal,862Kcal,877Kcal,879Kcal,876Kcal,853Kcal,869Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"미트볼하이라이스(돈육:국내산)
유부장국
크루통샐러드
배추김치","돈까스김치덮밥(돈육:국내산)
유부장국
샐러드",,,"스팸계란말이덮밥(돈육:수입산)
일식장국
마카로니샐러드
깍두기",,
870Kcal,875Kcal,0Kcal,0Kcal,852Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00, :~ :, :~ :,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원",         0원,         0원,"     2,800원",         0원,         0원
공지사항,
