■생활관식당(블루미르308관)
2014년 12월 01일 ~ 2014년 12월 07일
주간식단표
구분,월요일(12/01),화요일(12/02),수요일(12/03),목요일(12/04),금요일(12/05),토요일(12/06),일요일(12/07)
조식,한식,"돈육떡장조림(돈육:국내산)
다시마무채국
주키니호박볶음
맛살냉채
쌀밥
배추김치","시래기된장국
햄구이(돈육
계육:국내산)
새송이버섯볶음
치커리들깨소스무침
쌀밥
깍두기","비엔나채소볶음(돈육
계육:국내산)
북어국(러시아산)
팽이버섯채소볶음
무생채
쌀밥
배추김치","유자향돼지불고기(돈육:미국산)
아욱국
열무생채
콩나물무침
쌀밥
배추김치","로스팜구이(돈육:수입산)
김치국
건파래볶음
천사채겨자소스무침
쌀밥
깍두기","가자미구이
얼갈이된장국
청포묵김가루무침
유채나물
쌀밥
배추김치","쇠고기당면국(우육:호주산)
계란말이
취나물볶음
어묵곤약조림
쌀밥
깍두기"
824Kcal,831Kcal,830Kcal,836Kcal,842Kcal,826Kcal,848Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"모닝토스트
크림스프
시리얼&과일&우유
샐러드
피클","카스텔라빵
옥수수스프
시리얼&과일&우유
샐러드
피클","고구마모닝빵
양송이스프
채소크로켓
시리얼&우유&과일
샐러드
피클","누룽지죽
콩도너츠
시리얼&과일&우유
샐러드
피클","핫케익
채소스프
찐계란*소금
시리얼&과일&우유
샐러드
피클",,
673Kcal,620Kcal,687Kcal,702Kcal,749Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"돼지고기김치볶음(돈육:국내산)
아욱된장국
두부구이*양념장
돌나물*초장
쌀밥
깍두기","콩나물밥*양념장
시금치된장국
소세지전(돈육:국내산)
떡맛탕
오복지
배추김치","떡갈비조림(돈육
계육:국내산)
사각어묵국
브로컬리숙회*초장
김구이
쌀밥
배추김치","후랑크소세지채소볶음(돈육
계육:국내산)
순두부찌개
어묵마늘쫑볶음
무말랭이무침
쌀밥
배추김치","닭갈비&떡사리(계육:미국산)
미역국
환어묵볶음
무초절임
쌀밥
솎음배추겉절이","떡만두국(돈육:국내산)
모둠채소전
시금치겉절이
연근조림
쌀밥
깍두기","잡채덮밥
일식장국
채소크로켓*케찹
단무지"
872Kcal,879Kcal,858Kcal,861Kcal,872Kcal,859Kcal,861Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"유부우동
손만두찜(돈육:국내산)
누룽지샐러드
단무지","잔치국수
채소춘권
배추김치
요쿠르트","김치볶음밥&계란후라이
팽이버섯장국
벌집감자튀김
단무지","치킨마요덮밥(계육:중국산)
우동국
배추김치
요쿠르트","짜장면
일식장국
물만두찜(돈육:국내산)
단무지",,
882Kcal,826Kcal,868Kcal,875Kcal,884Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"돈까스토마토소스스파게티(돈육:국내산)
옥수수스프
누룽지샐러드
단무지","돼지고기장조림버터비빔밥(돈후지:국내산)
팽이버섯장국
배추김치","햄버거스테이크(돈육
계육:국내산)
크림스프
슈스트링감자튀김
크루통샐러드
쌀밥
배추김치","뚝배기김치날치알밥
미니우동
락교&오복지","오므라이스&왕새우튀김
유부장국
양상추샐러드
배추김치",,
887Kcal,861Kcal,879Kcal,867Kcal,859Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"감자고추장찌개
고기산적조림(돈육
계육:국내산)
명엽채볶음(수입산)
실곤약들깨무침
쌀밥
배추김치","돼지고기고추장볶음(돈육:미국산)
근대국
양배추쌈*쌈장
미역줄기볶음
쌀밥
배추김치","콩나물국
계란장조림
채소잡채
다시마튀각
쌀밥
깍두기","만두육개장(돈육:국내산)
김치전
콘샐러드
부추생채
쌀밥
깍두기","설렁탕(우육
사골농축액:호주산)
만두강정(돈육:국내산)
다시마숙회*초장
마카로니샐러드
쌀밥
깍두기","콩나물해장국
연두부찜*양념장
너비아니구이(돈육
계육:국내산)
쫑상추겉절이
쌀밥
깍두기","오징어돼지고기볶음(돈육:미국산
오징어:국내산)
감자맑은국
옥수수전
시래기된장조림
쌀밥
깍두기"
864Kcal,866Kcal,848Kcal,882Kcal,880Kcal,876Kcal,878Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"미트볼하이라이스(돈육:국내산)
유부장국
크루통샐러드
깍두기","샐러드돈까스덮밥(돈육:국내산)
일식장국
배추김치","돼지고기김치덮밥(돈육:국내산)
유부장국
채소과일샐러드","돈까스카레덮밥(돈육:국내산)
일식장국
배추김치","마파두부덮밥
팽이버섯맑은국
떡잡채
해초무침
배추김치",,
870Kcal,863Kcal,842Kcal,875Kcal,870Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
공지사항,"■ 분식코너 공휴일 및 주말에는 라면메뉴만 제공됩니다. (메뉴1, 메뉴2만 가능)
■ 메뉴는 식자재 수불상황에 따라 변동될 수 있으니 양해 부탁드립니다.  
■ 우리식당은 국내산 쌀과 국내산 배추로 만든 김치류(배추:국산, 고춧가루:국산)만을 사용합니다
■ 원산지표시는 식자재 수불상황에 따라 변경될 수 있으며 당일메뉴는 별도로 원산지를 공지하고 있으니 확인 바랍니다.
■ 특성 식품에 알러지(Allergy)가 있는 고객께서는 메뉴 선택 前？식당 사무실로 문의하여 주시기 바랍니다
■ 볶음밥 (햄-돈육, 계육 국산) / 김치찌개(배추:국산, 고춧가루:국산)"
