■생활관식당(블루미르308관)
2015년 01월 05일 ~ 2015년 01월 11일
주간식단표
구분,월요일(01/05),화요일(01/06),수요일(01/07),목요일(01/08),금요일(01/09),토요일(01/10),일요일(01/11)
조식,한식,"비엔나브로컬리볶음(돈육
계육:국내산)
소고기뭇국(우육:호주산)
우엉조림
숙주나물
쌀밥
깍두기","가자미카레튀김
수제비국
두부조림
깻잎지무침
쌀밥
깍두기","호박고추장찌개
완자전(돈육:국내산)
무나물
시금치겉절이
쌀밥
배추김치","북어국(러시아산)
꼬마돈까스조림(돈육
계육:국내산)
김구이
팽이버섯볶음
쌀밥
깍두기","모둠어묵국
고기산적구이(돈육
계육:국내산)
브로컬리숙회*초장
마늘종잔멸치볶음
쌀밥
깍두기","로스팜구이(돈육:수입산)
김치국
참치채소볶음
숙주나물
쌀밥
깍두기","돼지고기당면볶음(돈육:미국산)
근대국
감자채볶음
오이지무침
쌀밥
깍두기"
835Kcal,805Kcal,814Kcal,811Kcal,820Kcal,806Kcal,829Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"치즈토스트
찐계란*소금
채소스프
시리얼&과일&우유
샐러드
피클","채소죽
모닝빵*딸기잼
시리얼&과일&우유
샐러드
배추김치","닭죽(계육:국내산)
감자튀김
시리얼&과일&우유
샐러드
배추김치","후렌치토스트
옥수수스프
시리얼&과일&우유
샐러드
피클","감자샌드위치
누룽지죽
시리얼&과일&우유
샐러드
배추김치",,
711Kcal,687Kcal,735Kcal,701Kcal,699Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"만두김치찌개(돈육:국내산)
너비아니구이(돈육
계육:국내산)
청포묵무침
돌나물*초장
쌀밥
깍두기","사골곰탕&소면사리(우육
사골농축액:호주산)
후랑크채소볶음(돈육
계육:국내산)
천사채겨자무침
고추지무침
깍두기","우거지해장국(우양지
사골농축액:호주산)
미트볼조림(돈육:국내산)
두부구이*양념장
양파초절임
쌀밥
깍두기","닭고기채소고추장볶음(계육:미국산)
미역국
어묵전*전간장
콩나물무침
쌀밥
솎음배추겉절이","돼지고기오징어두루치기(돈육:미국산+오징어:국내산)
감자맑은국
시래기된장조림
부추초간장무침
쌀밥
배추김치","사골떡국(사골농축액:호주산)
알찬소세지전(돈육:국내산)
유채나물
무말랭이무침
쌀밥
배추김치","참치채소볶음밥
계란후라이
유부장국
핫바*케찹
단무지"
865Kcal,873Kcal,877Kcal,869Kcal,863Kcal,878Kcal,865Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"잔치국수
생선까스*타르소스(중국산)
우엉양념밥
배추김치","치킨마요덮밥(계육:중국산)
일식장국
배추김치
요쿠르트","유부우동
감자크로켓*케찹
단무지
양배추후르츠샐러드","불고기볶음밥(우육:호주산)
우동국
손만두찜*간장(돈육:국내산)
배추김치","오므라이스
미니함박*데미소스(우육:뉴질랜드+호주산)
양송이버섯스프
깍두기",,
831Kcal,860Kcal,842Kcal,870Kcal,869Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"뚝배기날치알밥
미니우동
락교&오복지","나가사키짬뽕(오징어:국내산)
사모사
쌀밥
깍두기","햄버거스테이크&체다치즈(계육
돈육:국내산)
채소볶음밥
일식장국
피클","돈까스크림소스스파게티(돈육:국내산)
우동국
크루통샐러드
단무지","부대찌개&라면사리(돈육
계육:국내산)
고구마맛탕
샐러드
차조밥
깍두기",,
879Kcal,878Kcal,881Kcal,884Kcal,880Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"돼지고기고추장볶음(돈육:미국산)
홍합부추국
어묵곤약조림
미역줄기볶음
쌀밥
깍두기","된장찌개
떡갈비조림(돈육:국내산)
건파래볶음
치커리들깨소스무침
쌀밥
배추김치","유자향돼지불고기(돈육:미국산)
다시마무채국
주키니호박나물
양배추쌈*쌈장
쌀밥
배추김치","육개장(우육
사골농축액:호주산)
계란찜
게맛살채소볶음
콩자반
쌀밥
깍두기","순두부찌개
햄계란전(돈육
계육:국내산)
실곤약들깨무침
연근조림
쌀밥
깍두기","돼지고기계란장조림(돈육:미국산)
매운콩나물국
새송이버섯볶음
쫑상추겉절이
쌀밥
배추김치","콩나물밥*양념장
얼갈이된장국
생선커틀렛*타르소스
환어묵볶음
열무나물
배추김치"
877Kcal,874Kcal,871Kcal,883Kcal,872Kcal,864Kcal,880Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
