■생활관식당(블루미르308관)
2015년 01월 12일 ~ 2015년 01월 18일
주간식단표
구분,월요일(01/12),화요일(01/13),수요일(01/14),목요일(01/15),금요일(01/16),토요일(01/17),일요일(01/18)
조식,한식,"우거지해장국(우양지:호주산)
두부구이*양념장
마늘종멸치볶음
유채나물
쌀밥
깍두기","너비아니구이(돈육
계육:국내산)
콩나물김칫국
오이지무침
환어묵볶음
쌀밥
깍두기","참치채소볶음
된장찌개
연근조림
치커리생채
쌀밥
배추김치","삼치데리야끼구이(국내산)
시금치국
도토리묵무침
무생채
쌀밥
배추김치","고기산적조림(돈육
계육:국내산)
근대국
새송이버섯볶음
콩자반
쌀밥
배추김치","완자전(돈육:국내산)
오징어무국(오징어:국내산)
두부찜*양념장
얼갈이된장나물
쌀밥
깍두기","닭죽(계육:국내산)
미니핫도그*케찹(돈육
계육:국내산)
시리얼&과일&우유
샐러드
배추김치"
840Kcal,821Kcal,819Kcal,815Kcal,834Kcal,837Kcal,828Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"햄치즈샌드위치(돈육
계육:국내산)
크림스프
시리얼&과일&우유","시나몬토스트
채소스프
시리얼&과일&우유
샐러드
피클","누룽지죽
핫케익
시리얼&과일&우유
샐러드
배추김치","단호박샌드위치
브로컬리스프
찐계란*소금
시리얼&과일&우유
샐러드
피클","카스텔라빵
옥수수스프
시리얼&과일&우유
샐러드
피클",,
798Kcal,703Kcal,724Kcal,804Kcal,800Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"감자고추장찌개
가자미카레구이
계란찜
시래기된장조림
쌀밥
깍두기","비엔나케찹볶음(돈육
계육:국내산)
쇠고기뭇국(우양지:호주산)
부추적채겉절이
숙주나물
쌀밥
배추김치","닭고기굴소스볶음(계육:미국산)
배추된장국
파래김구이*양념장
매운콩나물무침
쌀밥
깍두기","육개장(우양지
사골농축액:호주산)
장떡
게맛살채소볶음
미역줄기볶음
쌀밥
깍두기","김칫국
꼬마돈까스조림(돈육
계육:국내산)
스크렘블에그*케찹
오이지무침
쌀밥
깍두기","수제비국
떡갈비구이(돈육:국내산)
천사채샐러드
무말랭이무침
쌀밥
배추김치","돼지고기채소비빔밥(돈육:국내산)
두부장국
배추김치
요쿠르트"
848Kcal,872Kcal,869Kcal,882Kcal,875Kcal,879Kcal,832Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈가스덮밥(돈육:국내산)
가다랭이국
마카로니샐러드
깍두기","김치볶음밥&계란후라이
팽이버섯장국
스마일감자튀김
단무지","온모밀국수
채소크로켓*케찹
김가루양념밥
단무지","우엉어묵볶음밥
유부우동국
오징어커틀렛*타르소스(국내산+수입산)
단무지","자장면
일식장국
물만두찜*초간장(돈육:국내산)
단무지",,
881Kcal,879Kcal,860Kcal,863Kcal,872Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"뚝배기불고기(돈육:국내산)
계란찜
마카로니샐러드
쌀밥
깍두기","미소라멘
사모사
배추김치
요쿠르트","비빔밥&계란후라이
배추된장국
실곤약겨자무침
배추김치
요쿠르트","미트볼스파게티(돈육:국내산)
유부우동국
수제마늘빵
요쿠르트","오므라이스&왕새우튀김
유부장국
누룽지샐러드
배추김치",,
885Kcal,862Kcal,884Kcal,867Kcal,883Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"닭곰탕&소면사리(대닭
닭뼈:국내산)
생선커틀렛(중국산)
팽이버섯양파볶음
고추지무침
쌀밥
깍두기","돼지고기춘장볶음(돈육:미국산)
감자맑은국
탕평채
양파초절임
쌀밥
솎음배추겉절이","소고기당면볶음(우육:호주산)
미역국
김치전
돌나물*초장
쌀밥
깍두기","계란장조림
모듬어묵국
감자채볶음
미역오이초무침
쌀밥
배추김치","닭고기&떡조림(계육:미국산)
콩나물국
무나물
시금치겉절이
쌀밥
배추김치","장터국밥(우양지:호주산)
메추리알장조림
부추전
브로컬리숙회*초장
쌀밥
깍두기","후랑크소시지채소볶음(돈육
계육:국내산)
맑은순두부국
채소잡채
상추겉절이
쌀밥
깍두기"
887Kcal,881Kcal,878Kcal,869Kcal,875Kcal,878Kcal,886Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돼지고기채소덮밥(돈후지:국내산)
일식장국
크루통샐러드
배추김치","함박스테이크(계육
돈육:국내산)
감자스프
파인콘샐러드
쌀밥
배추김치","미트볼하이라이스(돈육:국내산)
일식장국
샐러드
배추김치","카레라이스
일식장국
고구마맛탕
샐러드
배추김치","샐러드돈까스덮밥(돈육:국내산)
일식장국
배추김치",,
869Kcal,872Kcal,868Kcal,878Kcal,856Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
공지사항,
