■생활관식당(블루미르308관)
2015년 01월 19일 ~ 2015년 01월 25일
주간식단표
구분,월요일(01/19),화요일(01/20),수요일(01/21),목요일(01/22),금요일(01/23),토요일(01/24),일요일(01/25)
조식,한식,"순두부찌개
꽁치구이*와사비장
감자채볶음
숙주나물
쌀밥
깍두기","강된장찌개
채소잡채
옛날소시지전*케찹
양배추콘샐러드
쌀밥
깍두기","우거지해장국(우육:호주산)
계란찜
무말랭이무침
명엽채볶음(수입산)
쌀밥
깍두기","두부김칫국
런천미트햄구이(돈육:수입산)
주키니호박볶음
감자조림
쌀밥
깍두기","고기산적조림(돈육:국내산)
오징어뭇국(오징어:국내산)
콩나물겨자채무침
건파래볶음
쌀밥
깍두기","쇠고기대파해장국(우육:호주산)
햄계란전(돈육
계육:국내산)
청포묵김가루무침
숙주오이무침
쌀밥
배추김치","바몬드치킨카레덮밥(계육:미국산)
우동국
비빔채소만두(돈육:국내산)
오복지무침
배추김치"
836Kcal,872Kcal,849Kcal,859Kcal,861Kcal,872Kcal,879Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트*딸기잼
스크램블에그
크림스프
시리얼&과일&우유
피클","채소죽
찐계란*소금
시리얼&과일&우유
깍두기","핫케이크*소시지구이
시리얼&과일&우유
피클","닭죽(계육:국내산)
감자튀김
시리얼&과일&우유
샐러드
깍두기","참치샌드위치
크림스프
시리얼&과일&우유
피클",,
769Kcal,720Kcal,751Kcal,760Kcal,714Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"부추비빔밥
배추된장국
새우커틀렛*머스타드소스
미역줄기볶음
깍두기","설렁탕&소면사리(우육
사골엑기스:호주산)
김치전
만두튀김(돈육:국내산)
쌀밥
깍두기","열무비빔밥&호박칼국수
떡갈비조림(돈육:국내산)
배추김치","참치김치찌개
꼬마돈까스튀김(돈육:국내산)
콩나물무침
도시락김
쌀밥
깍두기","호박고추장찌개
취나물밥*양념장
왕꼬치구이(돈육
계육:국내산)
쑥갓겉절이
배추김치","콩나물비빔밥&미니잔치국수
열무된장나물
건파래볶음
깍두기","돈육고추장볶음(돈육:미국산)
미역국
마카로니샐러드
콩나물무침
배추김치"
876Kcal,882Kcal,878Kcal,869Kcal,875Kcal,874Kcal,881Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"새우계란볶음밥&자장소스
일식장국
채소춘권
단무지","돈까스카레라이스(돈육:국내산)
우동국
오복지
배추김치","오므라이스*하이스토핑
팽이버섯장국
마카로니샐러드
배추김치","짬뽕탕&짬뽕사리
계란볶음밥
만두튀김(돈육:국내산)
단무지","돈까스&스파게티(돈육:국내산)
쌀밥
크림스프
피클
후식",,
849Kcal,870Kcal,879Kcal,885Kcal,883Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"단호박돈육볶음(돈육:미국산)
봄동된장국
사각어묵볶음
깍두기","투움바파스타
통감자구이
오이피클
탄산음료","뼈없는감자탕(돈육:미국산
잡뼈:국내산)
환어묵볶음
쌀밥
깍두기","뚝배기불고기(돈육:국내산)
콩나물국
계란찜
무초절임
쌀밥
깍두기","부대찌개&라면사리(돈육
계육:국내산)
메추리알장조림
마카로니샐러드
쌀밥
깍두기",,
871Kcal,873Kcal,876Kcal,877Kcal,881Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"육개장(우육:호주산)
두부구이*양념장
새송이버섯볶음
무간장초절임
쌀밥
깍두기","버섯만두전골(돈육:국내산)
미역오이초무침
도토리묵*양념장
도시락김
쌀밥
배추김치","닭곰탕&소면사리(대닭
닭뼈:국내산)
소시지채소볶음(돈육
계육:국내산)
고추지무침
숙주나물무침
쌀밥
깍두기","사골만둣국(돈육:국내산
우사골엑기스:호주산)
어묵고추장볶음
계란찜
무생채
쌀밥
깍두기","돈육떡볶음(돈육:미국산)
유부장국
상추겉절이
숙주나물
쌀밥
배추김치","치킨파프리카볶음밥(계육:미국산)
다시마뭇국
핫도그*케찹(돈육
계육:국내산)
깍두기
후식","사천식자장덮밥(돈기름:국내산)
계란팟국
군만두튀김(돈육:국내산)
단무지"
