■생활관식당(블루미르308관)
2015년 01월 26일 ~ 2015년 02월 01일
주간식단표
구분,월요일(01/26),화요일(01/27),수요일(01/28),목요일(01/29),금요일(01/30),토요일(01/31),일요일(02/01)
조식,한식,"매운떡갈비조림(돈육:국내산)
북엇국(러시아산)
주키니호박볶음
무나물
쌀밥","참치김치볶음
순두부맑은국
알찬소시지전(돈육:국내산)
건파래볶음
쌀밥
깍두기","사각어묵국
만두탕수(돈육:국내산)
계란찜
연근조림
쌀밥
배추김치","오징어불고기(오징어:국내산)
콩나물국
무나물
게맛살양배추볶음
쌀밥
깍두기","소시지감자조림(돈육
계육:국내산)
열무된장국
팽이버섯볶음
파래김
쌀밥
깍두기","닭곰탕(계육:국내산)
김치전
고추지무침
명엽채볶음(수입산)
쌀밥
깍두기","햄모듬찌개(돈육
계육:국내산)
옥수수전
브로콜리숙회*초장
파래김구이
쌀밥
깍두기"
809Kcal,835Kcal,852Kcal,846Kcal,849Kcal,860Kcal,883Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
데친후랑크소시지(돈육
계육:국내산)
크림스프
시리얼&과일&우유
피클","채소죽
계란장조림
시리얼&과일&우유
깍두기","핫케익
스크램블에그
크림스프
시리얼&과일&우유
피클","브로콜리스프
모닝빵*딸기잼
시리얼&과일&우유
피클","햄치즈샌드위치(돈육
계육:국내산)
크림스프
시리얼&과일&우유
피클",,
721Kcal,717Kcal,761Kcal,708Kcal,731Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"매운닭개장(대닭:국내산)
천사채샐러드
모둠버섯볶음
유채나물
쌀밥
깍두기","닭고기춘장볶음(계육:국내산)
콩나물국
무생채
양배추쌈
쌀밥
배추김치","설렁탕&소면사리(우육
사골엑기스:호주산)
김치전
계란장조림
콩나물무침
쌀밥
깍두기","꼬마돈까스간장조림(돈육
계육:국내산)
미역국
두부구이
유채나물
쌀밥
배추김치","사골우거지탕(사골엑기스:호주산)
봉어묵조림
계란찜
쑥갓생채
쌀밥
깍두기","돼지고기채소비빔밥(돈육:미국산)
일식장국
배추김치
후식","콩나물밥*양념장
시금치된장국
생선커틀렛(중국산)
쑥갓겉절이
배추김치"
875Kcal,872Kcal,879Kcal,876Kcal,883Kcal,861Kcal,874Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"온메밀국수
옥수수크로켓
김가루양념밥
오복지무침","파인애플볶음밥
유부장국
돈까스(돈육
계육:국내산)
단무지","고추잡채덮밥&꽃빵
계란팟국
단무지
후식","유부커리우동
오복지주먹밥
단무지
후식","로제스파게티
마늘바게트
오이피클
탄산음료",,
871Kcal,878Kcal,882Kcal,873Kcal,880Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"돌솥비빔밥
아욱된장국
계란후라이
채소춘권
깍두기","빠네스파게티
오이피클
탄산음료","김치날치알밥&미니동치미물냉면
만두튀김(돈육:국내산)
단무지","닭고기채소볶음(계육:국내산)
일식장국
마카로니샐러드
미역오이초무침
쌀밥
배추김치","돈육고추장볶음(돈육:국내산)
유부장국
무초절임
콩나물무침
쌀밥
깍두기",,
884Kcal,874Kcal,885Kcal,880Kcal,882Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"돈육감자볶음(돈육:미국산)
미역국
팽이버섯전
해초무침
쌀밥
배추김치","열무비빔밥
감자맑은국
콩나물쫄면무침
게맛살팽이버섯볶음
배추김치","우거지해장국(우육:호주산)
무말랭이무침
비엔나소시지볶음
감자채볶음
쌀밥
깍두기","떡만두국(돈육:국내산)
고기산적조림(돈육:국내산)
숙주나물
호박볶음
깍두기","순두부찌개
미트볼조림(돈육:국내산)
실곤약겨자무침
미역줄기볶음
쌀밥
배추김치","육개장(우육:호주산)
어묵볶음
마늘종지무침
시금치나물
쌀밥
깍두기","닭고기김치볶음(계육:미국산)
종합어묵국
감자채볶음
쌀밥
깍두기"
872Kcal,879Kcal,883Kcal,881Kcal,878Kcal,877Kcal,870Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"가츠돈(돈육:국내산)
미소장국
사각단무지","햄치즈볶음밥&계란후라이(돈육
계육:국내산)
감자맑은국
벌집감자튀김","해물굴소스볶음밥
일식장국
카레고로케
단무지","오므라이스&토마토소스스파게티
우동국
오이피클
후식","돈까스김치덮밥(돈육:국내산)
미역국
양배추샐러드
단무지",,
876Kcal,878Kcal,880Kcal,886Kcal,875Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
공지사항,
