■생활관식당(블루미르308관)
2014년 12월 29일 ~ 2015년 01월 04일
주간식단표
구분,월요일(12/29),화요일(12/30),수요일(12/31),목요일(01/01),금요일(01/02),토요일(01/03),일요일(01/04)
조식,한식,"후랑크소시지볶음(돈육
계육:국내산)
전주식콩나물국밥
양파초절임
미역줄기볶음
쌀밥
깍두기","미트볼조림(돈육:국내산)
오징어무국(오징어:국내산)
마늘쫑볶음
콩나물무침
쌀밥
배추김치","비엔나브로컬리볶음(돈육
계육:국내산)
소고기뭇국(우육:호주산)
김구이
치커리생채
쌀밥
배추김치","계란말이
사각어묵국
진미채무침
참나물겉절이
쌀밥
배추김치","고등어유자소스구이(고등어:국내산)
김칫국
감자채볶음
열무나물
쌀밥
깍두기","고기산적구이(돈육
계육:국내산)
감자고추장찌개
팽이버섯채소볶음
숙주나물
쌀밥
깍두기","경상도식고깃국(우육:호주산)
스팸구이(돈육:수입산)
연두부찜*양념장
청경채겉절이
쌀밥
깍두기"
841Kcal,852Kcal,861Kcal,850Kcal,862Kcal,852Kcal,862Kcal
07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"햄치즈샌드위치(돈육
계육:국내산)
채소스프
시리얼&과일&우유
샐러드
피클","참치채소죽
찐계란*소금
시리얼&과일&우유
샐러드
배추김치","고구마모닝빵
흑임자죽
시리얼&과일&우유
샐러드
배추김치",,"카스텔라
옥수수스프
시리얼&과일&우유
샐러드
피클",,
721Kcal,702Kcal,697Kcal,0Kcal,716Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40, :~ :,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원",         0원,"     2,800원",         0원,         0원
중식,한식,"떡갈비조림(돈육:국내산)
시래깃국
건파래볶음
실곤약채소무침
쌀밥
배추김치","계란장조림
매운콩나물국
새송이버섯볶음
오이지무침
쌀밥
깍두기","육개장(우육
사골농축액:호주산)
너비아니구이(돈육
계육:국내산)
게맛살채소볶음
상추겉절이
쌀밥
깍두기","사골떡국(사골농축액:호주산)
완자조림(돈육:국내산)
유채나물
무말랭이무침
쌀밥
배추김치","돼지고기김치볶음(돈육:미국산)
감잣국
두부찜
우엉조림
쌀밥
무비트초절임","참치채소비빔밥
콩나물국
손만두찜(돈육:국내산)
단무지","사골곰탕&소면(우육
사골농축액:호주산)
김치전
환어묵볶음
고추지무침
쌀밥
깍두기"
859Kcal,851Kcal,878Kcal,876Kcal,872Kcal,863Kcal,880Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"자장면
유부장국
탕수육(돈육
계육:국내산)
단무지","햄야채볶음밥(돈육
계육:국내산)
유부장국
만두강정(돈육:국내산)
배추김치","잔치국수
고구마맛탕
솎음배추겉절이
요구르트",,"치킨마요덮밥(계육:중국산)
우동국
깍두기
요구르트",,
876Kcal,881Kcal,842Kcal,0Kcal,869Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00, :~ :,11:30~13:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원",         0원,"     2,800원",         0원,         0원
특식,특식,"돈까스토마토소스스파게티(돈육:국내산)
옥수수스프
누룽지샐러드
오이피클","새우튀김우동(새우:베트남산)
김가루양념밥
채소춘권
단무지",,,"뚝배기불고기&당면사리(돈육:국내산)
스크램블에그
쌀밥
깍두기",,
888Kcal,869Kcal,0Kcal,0Kcal,879Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00, :~ :, :~ :,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원",         0원,         0원,"     3,200원",         0원,         0원
석식,한식,"오징어볶음&소면(오징어:국내산)
홍합부추국
시금치나물
쌀밥
깍두기","돼지고기고추장볶음(돈육:미국산)
근대국
양파초절임
사각어묵볶음
쌀밥
깍두기","수제비국
꼬마돈까스케찹조림(돈육
계육:국내산)
연근조림
천사채샐러드
쌀밥
배추김치","햄모듬찌개(돈육
계육:국내산)
부추잡채
브로컬리숙회*초장
깻잎지절임
쌀밥
깍두기","닭고기떡볶음(계육:미국산)
사각어묵국
옥수수전
주키니호박나물
쌀밥
깍두기","소고기당면볶음(우육:호주산)
무들깨국
물미역*초장
청포묵김가루무침
쌀밥
배추김치","치킨카레덮밥(계육:중국산)
일식장국
배추김치"
842Kcal,869Kcal,874Kcal,878Kcal,882Kcal,876Kcal,861Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"함박스테이크(계육
돈육:국내산)
크림스프
누룽지샐러드
쌀밥
배추김치","미트볼하이라이스(돈육:국내산)
일식장국
콘채소샐러드
배추김치","샐러드돈까스덮밥(돈육:국내산)
일식장국
배추김치",,"돈까스김치덮밥(돈육:국내산)
유부장국
샐러드",,
757Kcal,870Kcal,863Kcal,0Kcal,879Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00, :~ :,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원",         0원,"     2,800원",         0원,         0원
공지사항,
