■생활관식당(블루미르308관)
2015년 02월 09일 ~ 2015년 02월 15일
주간식단표
구분,월요일(02/09),화요일(02/10),수요일(02/11),목요일(02/12),금요일(02/13),토요일(02/14),일요일(02/15)
조식,한식,"쇠고기뭇국(우육:호주산)
비엔나브로콜리볶음(돈육
계육:국내산)
파래김구이
쌀밥
깍두기","꽁치김치조림
오징어뭇국(오징어:원양산)
계란후라이
미역줄기볶음
쌀밥
깍두기","매생이떡국
청포묵*양념장
부추생채
마카로니샐러드
깍두기","참치김치볶음
감잣국
팽이버섯전
건파래볶음
쌀밥
깍두기","햄모듬찌개(돈육
계육:국내산)
다시마*브로컬리
호박버섯나물
채소춘권
쌀밥
깍두기","너비아니엿장조림(돈육:국내산)
뭇국
도토리묵무침
유채나물
쌀밥
배추김치","전주콩나물국밥(오징어:원양산)
후랑크소시지볶음(돈육
계육:국내산)
콘샐러드
양파초절임
쌀밥
깍두기"
858Kcal,849Kcal,839Kcal,848Kcal,871Kcal,862Kcal,870Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
소시지구이(돈육
계육:국내산)
양배추샐러드
시리얼&과일&우유
피클","채소죽
계란장조림
시리얼&과일&우유
깍두기","계란채소토스트
양배추샐러드
시리얼&과일&우유
피클","닭죽(계육:국내산)
슈스트링감자튀김
시리얼&과일&우유
배추김치","참치샌드위치
크림스프
양배추샐러드
시리얼&과일&우유
피클",,
802Kcal,796Kcal,788Kcal,800Kcal,798Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"참치김치찌개
알찬소세지전(돈육
계육:국내산)
치커리들깨소스무침
건파래볶음
쌀밥
깍두기","매운떡갈비조림(돈육:국내산)
순두부맑은국
어묵마늘쫑볶음
콩나물무침
쌀밥
배추김치","떡만둣국(돈육:국내산)
연근조림
게맛살냉채
무들깨나물
쌀밥
깍두기","닭곰탕(계육:국내산)
단배추된장무침
계란찜
양파초절임
쌀밥
깍두기","칼국수
부추생채
무생채
콩나물무침
쌀밥
배추김치","유자향돼지불고기(돈육:미국산)
양배추쌈*쌈장
다시마뭇국
무초절임
쌀밥
배추김치","불고기볶음밥(우육:호주산)
두부오징어가스*허니머스타드
일식장국
단무지"
871Kcal,873Kcal,862Kcal,881Kcal,873Kcal,880Kcal,881Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"토마토소스스파게티
클링클컷감자튀김
오이피클
탄산음료","고기국수(돈육
돈잡뼈:국내산)
파래무생채
열무된장나물
깍두기","오므라이스&핫도그(돈육:국내산)
팽이버섯장국
배추김치","김치볶음밥&계란후라이
생선가스(중국산)
미역국
단무지","미트볼하이라이스(돈육
계육:국내산)
미소장국
양배추샐러드
오복지",,
878Kcal,871Kcal,877Kcal,879Kcal,872Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"부대찌개&라면사리(돈육
계육:국내산)
실곤약겨자무침
팽이버섯전
쌀밥
깍두기","호박된장찌개
취나물밥*양념장
햄감자조림(돈육
계육:국내산)
파래김구이
깍두기","얼갈이순댓국(순대:돈육+돈잡뼈:국내산)
장떡
부추겉절이
양파초절임
쌀밥
깍두기","뚝배기파스타
미니함박스테이크(우육:호주
뉴질랜드+돈육:국내산)
크림스프
오이피클
후식","알떡함박스테이크(돈육
계육:국내산+떡:국내산)
일식장국
양배추샐러드
오이피클
쌀밥",,
880Kcal,875Kcal,884Kcal,886Kcal,887Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"우거지해장국(우육:호주산)
두부계란전
천사채샐러드
시금치나물
쌀밥
깍두기","쇠고기미역국(우육:호주산)
두부무조림
게맛살팽이버섯볶음
계란찜
쌀밥
깍두기","돈육오징어두루치기(돈육:국내산
오징어:원양산)
사각어묵국
쌀밥
양배추쌈
열무나물
쌀밥
배추김치","산채비빔밥
얼갈이된장국
계란후라이
배추김치
후식","비지찌개(돈육:국내산)
우엉조림
주키니호박전
맥시칸샐러드
쌀밥
깍두기","만두김치찌개(돈육:국내산)
새우커틀렛
콩나물무침
마늘쫑볶음
쌀밥
깍두기","설렁탕&소면(우육
사골농축액:호주산)
김치전
비엔나핫도그*케찹(돈육
계육:국내산)
쌀밥
깍두기"
879Kcal,882Kcal,881Kcal,863Kcal,876Kcal,883Kcal,885Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈까스김치덮밥(돈육:국내산)
콩나물국
미역초무침
단무지","중국식볶음밥
짬뽕국(오징어:원양산)
물만두*초간장(돈육:국내산)
단무지","돈까스카레라이스(돈육:국내산)
배추장국
단무지
후식","치킨커틀렛(계육
돈육:국내산)*양념치킨소스
일식장국
양배추샐러드
단무지","제육덮밥(돈육:미국산)
미소장국
무말랭이무침
배추김치
후식",,
875Kcal,866Kcal,870Kcal,851Kcal,873Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
공지사항,
