■생활관식당(블루미르308관)
2015년 02월 16일 ~ 2015년 02월 22일
주간식단표
구분,월요일(02/16),화요일(02/17),수요일(02/18),목요일(02/19),금요일(02/20),토요일(02/21),일요일(02/22)
조식,한식,"모듬장조림(돈육:국내산)
미역국
깻잎지무침
시금치나물
쌀밥
깍두기","버섯된장찌개
계란찜
무생채
숙주나물
쌀밥
깍두기",,,,,
816Kcal,859Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원",         0원,         0원,         0원,         0원,         0원
양식,"햄치즈샌드위치(돈육
계육:국내산)
양배추샐러드
시리얼&과일&우유
오이피클","채소죽
건파래볶음
시리얼&과일&우유
깍두기",,,,,
802Kcal,703Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원",         0원,         0원,         0원,         0원,         0원
중식,한식,"설렁탕&소면사리(우육
사골엑기스:호주산)
김치전
무말랭이무침
열무나물
쌀밥
깍두기","열무보리비빔밥
미소장국
계란후라이
채소춘권
배추김치",,,,,
883Kcal,868Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:30,11:30~13:30, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원",         0원,         0원,         0원,         0원,         0원
양식,"오므라이스*하이스토핑
팽이버섯장국
오이피클","김치볶음밥
콩나물국
생선가스(중국산)
양배추샐러드
단무지",,,,,
879Kcal,872Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원","     2,800원",         0원,         0원,         0원,         0원,         0원
특식,특식,"돈가스(돈육:국내산)&함박set(우육:호주산
뉴질랜드산+돈육:국내산)
일식장국
쌀밥
오이피클","만두김치찌개(돈육:국내산)
솎음배추나물
사각어묵볶음
쌀밥
깍두기",,,,,
885Kcal,880Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00, :~ :, :~ :, :~ :, :~ :, :~ :
"     3,200원","     3,200원",         0원,         0원,         0원,         0원,         0원
석식,한식,"김치해장국
감자채볶음
부추전
유채나물
쌀밥
깍두기",기숙사휴관운영없음,,,,,
887Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원",         0원,         0원,         0원,         0원,         0원,         0원
양식,"가츠돈(돈육:국내산)
미소장국
사각단무지
후식",,,,,,
875Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
17:30~19:00, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
"     2,800원",         0원,         0원,         0원,         0원,         0원,         0원
공지사항,
