■생활관식당(블루미르308관)
2015년 02월 23일 ~ 2015년 03월 01일
주간식단표
구분,월요일(02/23),화요일(02/24),수요일(02/25),목요일(02/26),금요일(02/27),토요일(02/28),일요일(03/01)
조식,한식,기숙사휴관식당운영없음,,,,,"비엔나소시지볶음(돈육
계육:국내산)
쇠고기뭇국(우육:호주산)
알찬소시지전(돈육:국내산)
단배추나물
쌀밥
깍두기","너비아니엿장조림(돈육
계육:국내산)
콩나물국
버섯잡채
무말랭이무침
쌀밥
배추김치"
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,880Kcal,863Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :,08:00~09:00,08:00~09:00
         0원,         0원,         0원,         0원,         0원,"     2,800원","     2,800원"
양식,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
         0원,         0원,         0원,         0원,         0원,         0원,         0원
중식,한식,,,,,"참치김치찌개
명엽채볶음(수입산)
주키니호박전
구운파래김
쌀밥
깍두기","김치잔치국수
김가루양념밥
고구마맛탕
배추김치","돈육고추장볶음(돈육:미국산)
근대된장국
양배추쌈
무초절임
쌀밥
깍두기"
0Kcal,0Kcal,0Kcal,0Kcal,869Kcal,862Kcal,878Kcal
 :~ :, :~ :, :~ :, :~ :,11:30~13:30,11:30~13:00,11:30~13:00
         0원,         0원,         0원,         0원,"     2,800원","     2,800원","     2,800원"
양식,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
         0원,         0원,         0원,         0원,         0원,         0원,         0원
특식,특식,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
         0원,         0원,         0원,         0원,         0원,         0원,         0원
석식,한식,,,,,"돈까스카레덮밥(돈육:국내산)
무챗국
단무지
후식","참치채소비빔밥
유부장국
천사채샐러드
깍두기","사골우거지탕(우육:호주산)
사각어묵볶음
팽이버섯전
미역초무침
쌀밥
깍두기"
0Kcal,0Kcal,0Kcal,0Kcal,870Kcal,869Kcal,882Kcal
 :~ :, :~ :, :~ :, :~ :,17:30~19:00,17:30~18:30,17:30~18:30
         0원,         0원,         0원,         0원,"     2,800원","     2,800원","     2,800원"
,양식,,,,,,,
0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal,0Kcal
 :~ :, :~ :, :~ :, :~ :, :~ :, :~ :, :~ :
         0원,         0원,         0원,         0원,         0원,         0원,         0원
공지사항,
