■생활관식당(블루미르308관)
2015년 02월 02일 ~ 2015년 02월 08일
주간식단표
구분,월요일(02/02),화요일(02/03),수요일(02/04),목요일(02/05),금요일(02/06),토요일(02/07),일요일(02/08)
조식,한식,"쇠고기콩나물국(우육:호주산)
햄구이(돈육
계육:국내산)
건파래볶음
허브생채
쌀밥
배추김치","미역국
돈육김치볶음(돈육:미국산)
쑥갓두부무침
연근조림
쌀밥
깍두기","순두부찌개
미트볼조림(돈육
계육:국내산)
숙주나물
김구이
쌀밥
배추김치","북어해장국(러시아산)
너비아니구이(돈육
계육:국내산)
부추생채
고추지무침
쌀밥
깍두기","우거지해장국(우육:호주산)
메추리알장조림
어묵마늘쫑볶음
무말랭이무침
쌀밥
배추김치","돼지불고기(돈육:미국산)
콩나물국
무생채
깻잎지무침
쌀밥
배추김치","고등어구이(고등어:국내산)
아욱국
시래기된장조림
콩자반
쌀밥
깍두기"
817Kcal,839Kcal,840Kcal,834Kcal,848Kcal,849Kcal,847Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트*케찹
크림스프
스크램블에그
시리얼&과일&우유
피클","채소죽
찐계란*소금
시리얼&과일&우유
깍두기","핫케이크
소시지구이(돈육
계육:국내산)
시리얼&과일&우유
피클","닭죽(계육:국내산)
슈스트링감자튀김
시리얼&과일&우유
배추김치","참치샌드위치
크림스프
양배추샐러드
시리얼&과일&우유
피클",,
721Kcal,698Kcal,715Kcal,736Kcal,741Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"감잣국
순대채소볶음(돈육:국내산)
도토리묵*양념장
마늘쫑볶음
쌀밥
배추김치","조랭이떡국
환어묵맛살볶음
유채나물
브로콜리숙회*초장
쌀밥
깍두기","오징어떡불고기(오징어:원양산)
다시마뭇국
청포묵김가루무침
다시마숙회*초장
배추김치","쇠고기당면국(우육:호주산)
비엔나떡볶음(돈육
계육:국내산)
깻잎지절임
미역줄기볶음
쌀밥
배추김치","닭곰탕(대닭:국내산)
김치전
고추지무침
쫑상추겉절이
쌀밥
깍두기","마파두부덮밥
우동국
매콤떡강정
단무지
요쿠르트","버섯매운국
고기산적조림(돈육
계육:국내산)
시금치겉절이
천사채샐러드
쌀밥
깍두기"
862Kcal,865Kcal,869Kcal,876Kcal,879Kcal,880Kcal,862Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"가츠돈(돈육:국내산)
일식장국
양배추샐러드
사각단무지","토마토소스스파게티
모닝빵
오이피클
탄산음료","치킨카레라이스(계육:브라질산)
미소장국
해초샐러드","새우카레볶음밥&짜장소스
매운콩나물국
만두튀김(돈육:국내산)
단무지","유부커리우동
우동국
만두튀김(돈육:국내산)
오이지무침",,
860Kcal,862Kcal,871Kcal,882Kcal,865Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"부대찌개&라면사리(돈육
계육:국내산)
채소춘권
숙주나물무침
쌀밥
솎음배추겉절이(배추:국내산
고춧가루:중국산)","클래식함박스테이크(계육
돈육:국내산)
계란후라이
감자튀김
채소볶음밥
배추김치","어묵김치냄비우동
김가루양념밥
사모사
사각단무지","크림소스스파게티&돈까스(돈육:국내산)
일식장국
꽃맛살샐러드
오이피클","나시고랭&새우커틀렛
팽이버섯장국
오이피클",,
884Kcal,882Kcal,872Kcal,884Kcal,868Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"육개장(우육:호주산)
모듬채소전
게맛살양배추볶음
열무나물
쌀밥
배추김치","설렁탕&소면사리(우육
사골농축액:호주산)
우엉조림
콩나물무침
김구이
쌀밥
깍두기","콩나물밥*양념장
시금치된장국
생선커틀렛(중국산)
계란장조림
깍두기","김치찌개
완자조림(돈육
계육:국내산)
무나물
미역줄기볶음
쌀밥
깍두기","쇠고기뭇국(우육:호주산)
계란찜
소시지전*케찹(돈육
계육:국내산)
주키니호박볶음
쌀밥
배추김치","참치채소비빔밥
일식장국
주키니호박전
깍두기","돈까스카레덮밥(돈육:국내산)
우동국
단무지"
881Kcal,876Kcal,879Kcal,877Kcal,880Kcal,869Kcal,873Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"오므라이스&미니함박(우육:호주
뉴질랜드산/돈육:국내산)
미역국
오이피클","닭갈비덮밥(계육:브라질산)
콩나물국
마카로니샐러드","김치볶음밥
일식장국
핫도그*케찹(돈육
계육:국내산)
양배추샐러드
단무지","참치마요덮밥
미역국
푸실리샐러드
수제무피클","제육덮밥(돈육:미국산)
배추된장국
양배추콘샐러드",,
879Kcal,877Kcal,881Kcal,870Kcal,873Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
공지사항,
