■생활관식당(블루미르308관)
2015년 03월 09일 ~ 2015년 03월 15일
주간식단표
구분,월요일(03/09),화요일(03/10),수요일(03/11),목요일(03/12),금요일(03/13),토요일(03/14),일요일(03/15)
조식,한식,"완자조림(계육
돈육:국내산)
쇠고기뭇국(우육:호주산)
브로콜리숙회*초장
숙주나물
쌀밥&깍두기","계란장조림
오징어뭇국(오징어:원양산)
비엔나소시지볶음(돈육
계육:국내산)
콩나물무침
쌀밥&배추김치","쑥갓어묵탕
감자조림
햄구이(돈육:국내산
수입산+계육:국내산)
미역초무침
쌀밥
깍두기","순두붓국
메추리알장조림
어묵곤약조림
콩나물무침
쌀밥
깍두기","햄모둠찌개(돈육:국내산
수입산+계육:국내산)
사각어묵볶음
미역줄기볶음
마카로니샐러드
쌀밥
깍두기","두부찜&돈육김치볶음(돈육:미국산)
열무된장국
치커리생채
파래김
쌀밥
단무지","수제비국
부추생채
계란찜
쑥갓사과유자청무침
쌀밥&깍두기"
872Kcal,871Kcal,873Kcal,865Kcal,870Kcal,878Kcal,869Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"닭죽(계육:국내산)
오이지무침
시리얼&과일&우유
깍두기","프렌치토스트
크림스프
시리얼&과일&우유
오이피클","단호박죽
양배추샐러드
시리얼&과일&우유
솎음배추겉절이","참치샌드위치
크림스프
양배추샐러드
시리얼&과일&우유
오이피클","계란채소죽
마늘종지무침
시리얼&과일&우유
깍두기","핫케이크
크림스프
양배추샐러드
시리얼&과일&우유
오이피클","참치채소죽
오징어젓무생채(오징어:원양산)
양배추샐러드
시리얼&과일&우유
배추김치"
782Kcal,713Kcal,709Kcal,728Kcal,720Kcal,750Kcal,751Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"돈육김치찌개(돈육:미국산)
계란찜
명엽채볶음(수입산)
얼갈이된장나물
쌀밥&깍두기","콩나물밥*양념장
시금치된장국
꼬마돈까스(돈육:국내산)
어묵볶음
깍두기","쇠고기대파해장국(우육:호주산)
주키니호박볶음
감자튀김*케찹
무생채
배추김치","육개장(우육:호주산)
환어묵볶음
팽이버섯전
양파초절임
배추김치","순두부찌개
꽁치데리야끼구이
게맛살팽이버섯볶음
숙주나물
쌀밥
깍두기","버섯만두전골(돈육:국내산)
콩나물무침
마카로니샐러드
쌀밥
깍두기
사탕","북어해장국(러시아산)
꼬마돈까스(돈육:국내산)
소시지채소볶음(돈육:국내산
수입산+계육:국내산)
무말랭이무침
쌀밥
배추김치"
874Kcal,881Kcal,879Kcal,875Kcal,877Kcal,883Kcal,884Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
,양식,"베이컨마늘볶음밥(돈육:미국산)
새우커틀렛
미소장국
해초샐러드
오이피클","오므라이스&미니함박스테이크(우육:호주산
뉴질랜드산+돈육:국내산)
양배추샐러드
오이피클","닭갈비덮밥(계육:브라질산)
우동국
파인콘샐러드
오복지무침","돈가스카레덮밥(돈육:국내산)
유부장국
단무지
후식","치킨파프리카볶음밥(계육:브라질산)
미소장국
핫도그(돈육:국내산)
오이피클","자장덮밥
매운콩나물국
두부강정
단무지
사탕","미트볼하이라이스(돈육:미국산)
미소장국
과일샐러드
오복지무침"
