■생활관식당(블루미르308관)
2015년 03월 16일 ~ 2015년 03월 22일
주간식단표
구분,월요일(03/16),화요일(03/17),수요일(03/18),목요일(03/19),금요일(03/20),토요일(03/21),일요일(03/22)
조식,한식,"밀양돼지국밥(돈잡뼈
돈육:국내산)
부추생채
열무나물
쌀밥
깍두기","김칫국
햄구이(돈육:국내산
수입산/계육:국내산)
감자채볶음
콩자반
쌀밥
깍두기","호박고추장찌개
오징어완자전(계육
돈육:국내산)
시금치나물
건파래볶음
쌀밥
배추김치","미트볼감자조림(돈육:국내산)
북엇국(러시아산)
콩나물무침
열무생채
쌀밥
배추김치","쇠고기된장찌개(우육:호주산)
시금치나물
햄채소볶음(돈육:국내산
수입산/계육:국내산)
미나리무생채
쌀밥
깍두기","두부새우젓국
조기구이
열무나물
콩나물무침
쌀밥
깍두기","순두부찌개
알찬소시지전(돈육:국내산)
쑥갓겉절이
건파래볶음
쌀밥
깍두기"
851Kcal,879Kcal,881Kcal,871Kcal,884Kcal,864Kcal,875Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
크림스프
양배추샐러드
시리얼&과일&우유
오이피클","참치채소죽
메추리알장조림
시리얼&과일&우유
깍두기","핫케이크
크림스프
데친소시지구이(돈육:국내산
수입산/계육:국내산)
시리얼&과일&우유
배추김치","흑임자죽
계란장조림
시리얼&과일&우유
깍두기","모닝빵&데친후랑크소시지(돈육:국내산
수입산/계육:국내산)
크림스프
시리얼&과일&우유
오이피클","닭죽(계육:국내산)
시리얼&과일&우유
얼갈이겉절이","참치샌드위치
크림스프
양배추샐러드
시리얼&과일&우유
오이피클"
732Kcal,729Kcal,812Kcal,716Kcal,769Kcal,722Kcal,745Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"만두김치찌개(돈육:국내산)
메추리알어묵볶음
콩나물무침
쌀밥
깍두기","조랭이떡국(우육:호주산)
매운감자조림
부추적채겉절이
오이지무침
쌀밥
깍두기","떡갈비조림(돈육:국내산)
팽이버섯장국
실곤약채소무침
사각어묵볶음
쌀밥
깍두기","김치말이국수
김가루양념밥
두부빈대떡
깍두기","소시지케찹볶음(돈육:국내산
수입산/계육:국내산)
얼갈이된장국
게맛살팽이버섯볶음
숙주나물
쌀밥
깍두기","돈육오징어두루치기(돈육:미국산/오징어:원양산)
뭇국
시래기된장조림
쌀밥
배추김치","사골만둣국(우사골엑기스:호주산)
어묵마늘종볶음
미역초고추장무침
숙주나물
쌀밥
깍두기"
871Kcal,874Kcal,880Kcal,859Kcal,870Kcal,876Kcal,877Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
,양식,"오므라이스&빅소시지구이(돈육:국내산
수입산/계육:국내산)
미역국
양배추샐러드
오이피클","잡채밥*자장소스
계란팟국
단무지","김치볶음밥&생선커틀렛(중국산)
미역국
계란후라이
단무지","치킨마파두부(계육:브라질산)
콩나물국
양배추샐러드
오복지무침
후식","돈가스카레라이스(돈육:국내산)
솎음배추된장국
천사채샐러드
단무지","아라비아타스파게티
크림스프
마늘바게트
양배추콘샐러드
오이피클","돈가스김치덮밥(돈육:국내산)
콩나물국
단무지
후식"
883Kcal,872Kcal,881Kcal,880Kcal,879Kcal,878Kcal,867Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"돼지불고기채소비빔밥(돈육:미국산)
뭇국
마카로니샐러드
솎음배추겉절이","김치날치알밥
다시마무챗국
채소춘권
쑥갓오이겉절이
무비트피클","하이라이스&미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
미소장국
콘슬로우
단무지","뚝배기불고기(돈육:미국산)
시금치된장국
양배추쌈
쌀밥
얼갈이겉절이","부대찌개(돈육:국내산
수입산/계육:국내산)
만두튀김(돈육:국내산)
도시락김
쌀밥
솎음배추겉절이",,
876Kcal,870Kcal,884Kcal,881Kcal,886Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
