■생활관식당(블루미르308관)
2015년 03월 23일 ~ 2015년 03월 29일
주간식단표
구분,월요일(03/23),화요일(03/24),수요일(03/25),목요일(03/26),금요일(03/27),토요일(03/28),일요일(03/29)
조식,한식,"조랭이떡만둣국(돈육:국내산)
매운감자조림
브로콜리숙회*초장
마늘종지무침
쌀밥
깍두기","황태해장국
소시지채소볶음(돈육:국내산
수입산/계육:국내산)
무말랭이무침
건파래볶음","참치김치찌개
계란찜
치커리들깨소스
김구이
쌀밥
깍두기","떡갈비조림(돈육:국내산)
순두부맑은국
새송이버섯볶음
유채나물
쌀밥
배추김치","감자고추장찌개
사모사튀김
게맛살팽이버섯볶음
쑥갓생채
쌀밥
깍두기","햄콜리플라워볶음(돈육:국내산
수입산/계육:국내산)
사각어묵국
참치김치볶음
치커리생채
쌀밥","감자베이컨볶음(돈육:미국산)
콩나물국
홈소시지전(계육:국내산)
후르츠샐러드
쌀밥
배추김치"
839Kcal,872Kcal,861Kcal,871Kcal,864Kcal,873Kcal,824Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"닭죽(계육:국내산)
단배추된장나물
시리얼&과일&우유
깍두기","미니크로아상
크림스프
후랑크소시지(돈육:국내산
수입산/계육:국내산)
시리얼&과일&우유","단호박죽
양배추샐러드
시리얼&과일&우유
오복지무침","프렌치토스트
크림스프
양배추샐러드
시리얼&과일&우유
오이피클","흑임자죽
어묵마늘종볶음
시리얼&과일&우유
깍두기","햄치즈샌드위치(돈육:국내산
수입산/계육:국내산)
양배추샐러드
시리얼&과일&우유
오이피클","쇠고기죽(우육:호주산)
무말랭이무침
양배추샐러드
시리얼&과일&우유
깍두기"
732Kcal,750Kcal,730Kcal,720Kcal,710Kcal,751Kcal,803Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
