■생활관식당(블루미르308관)
2015년 03월 02일 ~ 2015년 03월 08일
주간식단표
구분,월요일(03/02),화요일(03/03),수요일(03/04),목요일(03/05),금요일(03/06),토요일(03/07),일요일(03/08)
조식,한식,"두부김칫국
미트볼조림(돈육:국내산)
김구이
콩나물구이
쌀밥
깍두기","꽁치조림
열무된장국
쑥갓두부무침
마카로니콘샐러드
쌀밥
깍두기","만둣국(돈육:국내산)
사각어묵볶음
무말랭이무침
숙주나물
쌀밥
깍두기","계란장조림
오징어뭇국(오징어:국내산)
열무나물
건파래볶음
쌀밥
배추김치","김칫국
완자튀김(계육
돈육:국내산)
게맛살팽이버섯볶음
무들깨나물
쌀밥
깍두기","후랑크소시지볶음(돈육:국내산
수입산/계육:국내산)
감자고추장찌개
콩나물겨자냉채
계란찜
쌀밥
배추김치","햄계란전(돈육:국내산
수입산/계육:국내산)
순두붓국
옥수수조랭이떡샐러드
시금치나물
쌀밥
깍두기"
804Kcal,821Kcal,830Kcal,816Kcal,820Kcal,832Kcal,840Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치샌드위치
크림스프
양배추샐러드
시리얼&과일&우유
오이피클","닭죽(계육:국내산)
무말랭이무침
시리얼&과일&우유
배추김치","미니크로와상
크림스프
소시지구이(돈육:국내산
수입산/계육:국내산)
시리얼&과일&우유
오이피클","채소죽
쌀밥
볶음김치
시리얼&과일&우유","프렌치토스트
크림스프
클링클컷감자튀김
시리얼&과일&우유
피클","흑임자죽
마늘종볶음
시리얼&과일&우유
깍두기","핫케이크
크림스프
양배추샐러드
시리얼&과일&우유
오이피클"
799Kcal,801Kcal,811Kcal,765Kcal,795Kcal,723Kcal,752Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"육개장(우육:호주산)
팽이버섯전
양파초절임
만두튀김(돈육:국내산)
쌀밥
깍두기","사골떡국(사골엑기스:호주산)
왕꼬치구이(돈육
계육:국내산)
오이지무침
시금치나물
깍두기","떡갈비조림(돈육:국내산)
순두붓국
만두탕수(돈육:국내산)
무생채
쌀밥
배추김치","참치김치볶음
뭇국
옛날소시지전(돈육:국내산)
김구이
쌀밥
얼갈이겉절이","무밥*양념장
호박된장국
햄감자조림(돈육:국내산
수입산/계육:국내산)
핫도그(돈육:국내산)
쌀밥
배추김치","오징어볶음(오징어:국내산)
아욱된장국
마카로니샐러드
무나물
쌀밥
깍두기","경상도고깃국(우육:호주산)
사각어묵볶음
두부찜*양념장
채소춘권
쌀밥
배추김치"
881Kcal,877Kcal,879Kcal,868Kcal,869Kcal,867Kcal,875Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"새우볶음밥&계란후라이
일식장국
닭고기꼬치구이(계육:국내산)
단무지","볶음우동(오징어:국내산)
우동국
채소춘권
단무지","가츠돈(돈육:국내산)
미소장국
단무지
후식","로제스파게티&모닝빵
유부장국
오이피클
탄산음료","스팸마요덮밥(돈육:수입산)
우동국
해초샐러드
오이피클
후식","오므라이스&핫도그(돈육:국내산)
클링클컷감자튀김
미역국
깍두기","토마토소스스파게티
수제마늘바게트
오이피클
탄산음료"
876Kcal,869Kcal,871Kcal,873Kcal,867Kcal,875Kcal,863Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"돌솥비빔밥
얼갈이된장국
푸실리샐러드
계란후라이
깍두기","돈까스(돈육:국내산)&미니함박(돈육:국내산)
콩나물국
쌀밥
오이피클","오곡비빔밥&삼색나물
열무된장국
땅콩조림
깍두기","사천자장면(돈육:국내산)
군만두튀김(돈육:국내산)
단무지","뚝배기불고기(돈육:미국산)
아욱된장국
양배추쌈
무초절임
솎음배추겉절이",,
859Kcal,880Kcal,867Kcal,872Kcal,879Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"설렁탕&소면(우육:호주산)
어묵마늘쫑볶음
브로콜리숙회*초장
쌀밥
깍두기","고기산적조림(돈육
계육:국내산)
호박새우젓국
감자채볶음
유채나물
쌀밥
깍두기","순두부찌개
환어묵볶음
치커리생채
김구이
쌀밥
배추김치","쇠고기대파해장국(우육:호주산)
계란찜
쑥갓겉절이
주키니호박볶음
쌀밥
깍두기","새싹채소비빔밥
팽이버섯장국
사모사튀김
계란후라이
배추김치","설렁탕&소면(우육
우사골엑기스:호주산)
장떡
열무나물
콩나물무침
쌀밥
깍두기","돈육김치볶음(돈육:미국산)
근대된장국
스크램블에그
무들깨나물
쌀밥
얼갈이겉절이"
860Kcal,862Kcal,860Kcal,864Kcal,870Kcal,878Kcal,876Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"제육김치덮밥(돈육:미국산)
유부장국
양배추샐러드
단무지","오야꼬동(계육:브라질산)
미소장국
단무지
후식","매콤고추참치덮밥
다시마뭇국
양배추샐러드
단무지
후식","치킨커틀렛(계육
돈육:국내산)*양념치킨소스
일식장국
양배추샐러드
오이피클","짬뽕국
만두튀김(돈육:국내산)
게맛살겨자냉채
쌀밥
단무지","마파두부덮밥
유부장국
채소춘권
멕시칸샐러드
짜사이채무침","돈까스김치덮밥(돈육:국내산)
열무된장국
양배추샐러드
단무지"
869Kcal,861Kcal,864Kcal,870Kcal,880Kcal,872Kcal,873Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
