■생활관식당(블루미르308관)
2015년 04월 06일 ~ 2015년 04월 12일
주간식단표
구분,월요일(04/06),화요일(04/07),수요일(04/08),목요일(04/09),금요일(04/10),토요일(04/11),일요일(04/12)
조식,한식,"황태해장국(북어:러시아산)
너비아니엿장조림(돈육
계육:국내산)
무말랭이무침
부추생채
쌀밥
배추김치","햄모둠찌개
계란찜
다시마숙회
숙주나물
쌀밥
깍두기","근대된장국
꽁치김치조림
우엉조림
브로콜리숙회
쌀밥
깍두기","순두부찌개
후랑크소시볶음
감자채볶음
미역초무침
쌀밥
깍두기","쇠고기된장찌개(우육:호주산)
완자튀김(계육
돈육:국내산)
시금치나물
삼색겨자냉채
쌀밥
배추김치","육개장(우육:호주산)
소시지환어묵볶음
유채나물
오이지무침
쌀밥
깍두기","감자국
참치김치볶음
계란후라이
건파래볶음
쌀밥
깍두기"
832Kcal,860Kcal,862Kcal,844Kcal,876Kcal,879Kcal,869Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
크림스프
양배추샐러드
씨리얼/우유/과일
오이피클","흑임자죽
어묵마늘종볶음
씨리얼/우유/과일
깍두기","미니크로아상
크림스프
소시지구이
씨리얼/우유/과일
오이피클","닭죽(계육:국내산)
오이지무침
씨리얼/우유/과일
배추김치","참치샌드위치
크림스프
양배추샐러드
씨리얼/우유/과일
오이피클","단호박죽
오복지무침
양배추샐러드
씨리얼/우유/과일
배추김치","핫케이크
크림스프
양배추샐러드
씨리얼/우유/과일
오이피클"
765Kcal,769Kcal,814Kcal,804Kcal,770Kcal,782Kcal,821Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"아욱된장국
돈육고추장볶음(돈육:미국산)
양배추쌈*쌈장
미나리무생채
쌀밥
배추김치","설렁탕*소면사리(우양지
우사골엑기스:호주산)
게맛살채소볶음
김치전
고추지무침
쌀밥
깍두기","장터국밥(우육:호주산)
매운두부조림
옥수수전
치커리생채
깍두기","닭고기채소볶음(계육:브라질)
수제비국
무나물
도시락김
쌀밥
배추김치","*추억의도시락*볶음김치
계란후라이
옛날소지지전
어묵마늘종볶음
쌀밥
팽이버섯장국","손만둣국
매운떡갈비조림(돈육:국산)
열무나물
무장아찌
쌀밥
배추김치","시락국
고등어조림(고등어:국내산)
김구이*양념장
팽이버섯볶음
쌀밥
배추김치"
883Kcal,887Kcal,881Kcal,883Kcal,877Kcal,871Kcal,862Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"김치볶음밥*새우가스
팽이버섯장국
단무지","베이컨마늘볶음밥*계란후라이
미소장국
고구마맛탕
양배추샐러드
배추김치","오므라이스*빅소시지구이
일식장국
단무지","해물굴소스볶음밥
팽이버섯장국
타코야끼
무초절임","스팸마요덮밥
우동국
단무지
후식","치킨커틀렛
크림스프
쌀밥
오이피클
양배추샐러드
모닝빵","파인애플볶음밥
다시마뭇국
소시지구이
오복지무침"
872Kcal,880Kcal,867Kcal,875Kcal,861Kcal,870Kcal,850Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"부대찌개*라면사리
채소춘권
마카로니샐러드
솎음배추겉절이","열무비빔국수
두부장국
해물파전
배추김치","지도리우동(계육:브라질)
양배추샐러드
단무지
후식","물냉면
녹두빈대떡(돈육:국내산)
김가루양념밥
후식","제육채소비빔밥(돈육:미국산)
뭇국
마카로니샐러드
배추김치",,
874Kcal,879Kcal,872Kcal,862Kcal,864Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
