■생활관식당(블루미르308관)
2015년 04월 13일 ~ 2015년 04월 19일
주간식단표
구분,월요일(04/13),화요일(04/14),수요일(04/15),목요일(04/16),금요일(04/17),토요일(04/18),일요일(04/19)
조식,한식,"오징어찌개
스크램블에그
게맛살채소전
오복지무침
쌀밥
배추김치","고기산적조림(돈육
계육:국내산)
호박새우젓국
시래기된장조림
삼색겨자냉채
쌀밥
배추김치","햄모둠찌개
잡채어묵볶음
상추겉절이
김구이
쌀밥
깍두기","호박고추장찌개
꼬마돈가스튀김(돈육:국내산)
곤약조림
치커리들깨소스무침
쌀밥
배추김치","비엔나채소볶음
사각어묵국
진미채볶음
콩나물무침
쌀밥
깍두기","단호박영양밥
근대된장국
궁중떡볶이
브로콜리숙회
두부조림
쌀밥
배추김치","완자조림(돈육:국내산)
미역국
새송이버섯볶음
실곤약채소볶음
쌀밥
배추김치"
832Kcal,860Kcal,862Kcal,844Kcal,876Kcal,879Kcal,869Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
크림스프
양배추샐러드
씨리얼/우유/과일
오이피클","참치채소죽
무짠지
양배추샐러드
씨리얼/우유/과일
솎음배추겉절이","미니크로아상
크림스프
소시지구이
씨리얼/우유/과일
오이피클","새알팥죽
무말랭이무침
씨리얼/우유/과일
배추김치","참치샌드위치
크림스프
양배추샐러드
씨리얼/우유/과일
오이피클","닭죽(계육:국내산)
오이지무침
씨리얼/우유/과일
깍두기","핫케이크
크림스프
양배추샐러드
씨리얼/우유/과일
오이피클"
765Kcal,769Kcal,814Kcal,804Kcal,770Kcal,782Kcal,821Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"북어해장국(북어:러시아)
햄계란전
감자채볶음
고추지무침
쌀밥
깍두기","떡국
너비아니구이(돈육
계육:국내산)
해물깻잎전
마늘종지무침
쌀밥
배추김치","메추리알장조림
김칫국
조기구이
시금치나물
쌀밥
깍두기","경상도고깃국(우육:호주산)
두부구이
감자조림
미역초고추장무침
쌀밥
깍두기","수제비칼국수
오복지주먹밥
미역오이초무침
유채나물
솎음배추겉절이","수제비국
꽁치구이
쫄면채소무침
무생채
쌀밥
배추김치","쇠고기당면국(우육:호주산)
호박볶음
계란찜
깻잎지무침
쌀밥
배추김치"
883Kcal,887Kcal,881Kcal,883Kcal,877Kcal,871Kcal,862Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"온메밀국수
왕꼬치구이(돈육
계육:국내산)
김가루양념밥
단무지","떡갈비마요덮밥(돈육:국내산)
팽이버섯장국
떡맛탕
단무지","탄탄멘(돈육:국내산)
단무지
후식","마파두부덮밥
우동국
깐풍기
(계육:국내산)
짜사이채무침","제육덮밥(돈육:미국산)
콩나물국
마카로니샐러드
배추김치","단호박크림스파게티
일식장국
마늘바게트
오이피클","돈가스카레라이스(돈육:국내산)
유부장국
양배추샐러드
오복지무침"
872Kcal,880Kcal,867Kcal,875Kcal,861Kcal,870Kcal,850Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]치즈김치볶음밥
우동국
옥수수크로켓
단무지","*BLACKDAYEVENT*""자장면먹는날""자장면(돈기름:국내산)
팽이버섯장국
단무지
이벤트응모권","[뚝]버섯만두전골
오이생채
김구이
쌀밥
깍두기","[뚝]나가사끼짬뽕
단무지
지마구튀김","울면
채소춘권
양배추샐러드
단무지",,
874Kcal,879Kcal,872Kcal,862Kcal,864Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"돼지고기김치찌개(돈육:미국산)
알찬소시지전
감자조림
시금치겉절이
쌀밥
깍두기","취나물밥*양념장
호박고추장찌개
꼬마돈가스튀김(돈육:국내산)
무초절임
배추김치","돈육고추장볶음(돈육:미국산)
콩나물국
올방개묵*양념장
무생채
쌀밥
배추김치","순두부찌개
건파래볶음
채소비빔만두
팽이버섯햄볶음
쌀밥
깍두기","콩나물밥*양념장
무청된장국
두부오징어가스
팽이버섯게맛살볶음
깍두기","우거지해장국(우육:호주산)
떡갈비조림(돈육:국내산)
고추장떡
열무나물
쌀밥
배추김치","쇠고기뭇국(우육:호주산)
만두탕수
햄계란전
주키니호박볶음
쌀밥
깍두기"
885Kcal,876Kcal,884Kcal,877Kcal,873Kcal,861Kcal,870Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:00~18:30,17:00~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"청경채두부덮밥(우육:호주산)
미소장국
군만두튀김
짜사이채무침","오징어낙지덮밥(낙지:베트남)
미역국
팽이버섯전
단무지","미트볼하이라이스(돈육:국내산)
일식장국
푸실리샐러드
오이피클
후식","해물칠리볶음밥
팽이버섯장국
옥수수고로케
단무지","오므라이스*빅소시지구이
무청된장국
무비트피클","치킨커틀렛(계육
돈육:국내산)
크림스프
채소볶음밥
양배추샐러드
오이피클","짬뽕덮밥
계란팟국
물만두찜
단무지
후식"
881Kcal,861Kcal,880Kcal,872Kcal,876Kcal,862Kcal,880Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:00~18:30,17:00~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
