■생활관식당(블루미르308관)
2015년 04월 20일 ~ 2015년 04월 26일
주간식단표
구분,월요일(04/20),화요일(04/21),수요일(04/22),목요일(04/23),금요일(04/24),토요일(04/25),일요일(04/26)
조식,한식,"수제비아욱된장국
게맛살채소볶음
알찬소시지전
유채나물
쌀밥
깍두기","미역국
돼지고기당면볶음(돈전지:미국산)
청포묵참기름장무침
고추지무침
쌀밥
깍두기","너비아니엿장조림(돈육
계육:국내산)
쇠고기뭇국(우육:호주산)
열무나물
쌀밥
깍두기","감자된장국
고기완자떡조림(돈육:국내산)
콩나물겨자냉채
얼갈이나물
쌀밥
배추김치","순두부찌개
꽁치데리야끼
김구이*양념장
상추겉절이
쌀밥
깍두기","팽이버섯맑은국
오징어떡볶음
건파래볶음
무생채
쌀밥
배추김치","쑥갓어묵탕
스팸구이
궁중떡볶이
해초무침
쌀밥
배추김치"
869Kcal,872Kcal,877Kcal,879Kcal,870Kcal,868Kcal,875Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
크림스프
양배추샐러드
시리얼/과일/우유
오이피클","참치야채죽
무짠지채
시리얼/과일/우유
동치미","미니크로아상
크림스프
소시지구이
시리얼/과일/우유
오이피클","새알심단팥죽
무말랭이무침
시리얼/과일/우유
배추김치","참치샌드위치
크림스프
양배추샐러드
시리얼/과일/우유
오이피클","영양닭죽(계육:국내산)
오이지무침
시리얼/과일/우유
배추김치","핫케이크
크림스프
양배추샐러드
시리얼/과일/우유
오이피클"
721Kcal,704Kcal,793Kcal,754Kcal,730Kcal,744Kcal,750Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"김칫국
떡갈비구이(돈육:국내산)
김구이*양념장
치커리생채
쌀밥
깍두기","쇠고기뭇국(우양지:호주산)
오징어완자전
콩나물무침
무말랭이지
쌀밥
배추김치","배추된장국
꼬마돈가스조림(돈육
계육:국내산)
환어묵새송이볶음
깻잎지무침
쌀밥
깍두기","육개장(우양지:호주산)
후랑크소시지볶음
열무나물
천사채샐러드
쌀밥
배추김치","황태해장국
미트볼조림(돈육:국내산)
미역줄기맛살볶음
오이지무침
쌀밥
배추김치","열무된장국
두부찜&돈육김치볶음(돈육:국내산)
무햄볶음
얼갈이겉절이
쌀밥","장터국밥(우양지:호주산)
계란장조림
도토리묵무침
다시마숙회*초장
깍두기"
862Kcal,861Kcal,869Kcal,874Kcal,879Kcal,882Kcal,871Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"난자완스덮밥(돈육:국내산)
일식장국
채소춘권
짜사이채무침","새우카레볶음밥
콩나물국
닭고기꼬치구이(계육:미국산)
양배추샐러드
오복지무침","해산물볶음밥
팽이버섯맑은국
군만두*초간장
양배추샐러드
단무지","양지쌀국수(우양지:호주산)
채소춘권
양파초절임","고추잡채덮밥&꽃빵
계란팟국
만두탕수
단무지무침","스파이시치킨파스타(계육:브라질)
크림스프
무비트피클
양배추샐러드","돈가스카레덮밥(돈육:국내산)
가다랭이국
양배추샐러드
단무지"
867Kcal,879Kcal,880Kcal,854Kcal,882Kcal,881Kcal,878Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"참치야채비빔밥
다시마뭇국
비엔나소시지볶음
마카로니샐러드
배추김치","뚝배기부대찌개&라면사리
메추리알장조림
열무생채
쌀밥
깍두기","열무물김치국수
두부강정
후식","7분김치찌개&맛김가루
삼색계란찜
숙주나물
쌀밥
깍두기","뚝배기날치알밥
미니어묵우동
오복지무침",,
875Kcal,881Kcal,854Kcal,879Kcal,871Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"콩나물국
오징어떡불고기
양배추쌈
열무생채
쌀밥
배추김치","떡만둣국
순대볶음(돈창자:국내산)
우엉조림
배추된장나물
쌀밥
깍두기","콩나물해장국
왕꼬치구이(돈육
계육:국내산)
채소잡채
쑥갓두부무침
쌀밥
배추김치","시금치된장국
고기산적떡조림(돈육
계육:국내산)
마늘종볶음
양배추오이무침
쌀밥
배추김치","사골곰탕(우양지
사골엑기스:호주산)
두부조림
게맛살겨자냉채
부추생채
쌀밥
깍두기","닭개장(계육:국내산)
햄피망볶음
곤약콩조림
미역초무침
쌀밥
배추김치","콩나물밥*양념장
뭇국
생선가스(중국산)
사각어묵볶음
배추김치"
860Kcal,872Kcal,883Kcal,872Kcal,884Kcal,876Kcal,869Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"베이컨마늘볶음밥
우동국
녹차생선가스
모둠채소피클","참치마요덮밥
유부장국
고구마샐러드
오복지","오징어덮밥
계란팟국
양배추샐러드
무초절임","류산슬덮밥(돈육:국내산)
다시마뭇국
짜사이채무침
떡맛탕","닭갈비볶음밥(계육:국내산)
두부장국
양배추샐러드
콩도너츠","파인애플볶음밥
일식장국
탕수육강정(돈육:국내산)
단무지무침","토마토소스스파게티
뭇국
마늘바게트
오이피클
탄산음료"
