■생활관식당(블루미르308관)
2015년 03월 30일 ~ 2015년 04월 05일
주간식단표
구분,월요일(03/30),화요일(03/31),수요일(04/01),목요일(04/02),금요일(04/03),토요일(04/04),일요일(04/05)
조식,한식,"우거지해장국(우양지:호주산)
삼색계란찜
명엽채볶음
열무생채
쌀밥/깍두기","순두부찌개
햄구이(돈육:국내산
수입산/계육:국내산)
건파래볶음
콩나물무침
쌀밥/깍두기","미역국
모듬장조림(돈육:국내산)
새송이버섯볶음
단배추매운무침
쌀밥/깍두기","순댓국(돈잡뼈
돈창자:국내산)
두부구이*양념장
부추생채
시마쌈*초장
쌀밥/깍두기","수제비국
고기산적조림(돈육
계육:국산)
시금치나물
무생채
쌀밥/배추김치","매운버섯국
비엔나야채볶음(돈육:국산
수입산/계육:국내산)
김구이*양념장
치커리들깨무침
쌀밥/배추김치","호박고추장찌개
메추리알장조림
청포묵무침
브로콜리숙회
쌀밥/배추김치"
849Kcal,870Kcal,862Kcal,873Kcal,876Kcal,877Kcal,869Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
크림스프
양배추샐러드
시리얼&과일&우유
오이피클","참치야채죽
무짠지채
시리얼&과일&우유
동치미","미니크로아상
크림스프
소시지구이(돈육:국산
수입산
계육:국산)
시리얼&과일&우유
오이피클","새알심단팥죽
무말랭이무침
시리얼&과일&우유
배추김치","참치샌드위치
크림스프
양배추샐러드시리얼&과일&우유
오이피클","단호박죽
오복지무침
양배추샐러드
시리얼&과일&우유
배추김치","핫케이크
크림스프
양배추샐러드
시리얼&과일&우유
오이피클"
765Kcal,769Kcal,814Kcal,804Kcal,812Kcal,810Kcal,821Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"사골떡만둣국(사골엑기스
우사골:호주산)
매운두부조림
영양콩자반
상추겉절이
쌀밥/배추김치","북어해장국(북어:러시아산)
꼬마돈가스조림(돈육
계육:국산)
우엉조림
치커리생채
쌀밥/배추김치","섞어찌개(돈육:국내산)
분홍소시지전(돈육:국내산)
게맛살겨자냉채
숙주나물
쌀밥/배추김치","매운모둠어묵국
계란장조림
도토리묵무침
무햄볶음(돈육:국산
수입산/계육:국내산)
쌀밥/배추김치","배추된장국
콩나물불고기(돈육:미국산)
양배추쌈*쌈장
무말랭이무침
쌀밥/깍두기","돈육김치찌개(돈육:국내산)
김계란말이
곤약조림
미역초무침
쌀밥/깍두기","아욱된장국
꽁치통구이
미역줄기볶음
매콤무조림
쌀밥/배추김치"
879Kcal,883Kcal,882Kcal,879Kcal,877Kcal,871Kcal,862Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"나가사키짬뽕(오징어:원양산)
찐만두*양념장(돈육:국내산)
단무지
후식","치킨마요덮밥(계육
돈육:국내산)
일식장국
양배추샐러드
단무지","카레라이스
일식장국
치킨커틀렛(계육
돈육:국산)
단무지무침","불고기볶음밥(우목심:호주산)
우동국
감자샐러드
무비트피클","유부우동
우엉양념밥
왕꼬치구이(돈육
계육:국산)
단무지","장조림버터밥(돈육:미국산)
일식장국
고구마샐러드
단무지","참치김치덮밥
계란팟국
허브생채
핫바"
881Kcal,876Kcal,864Kcal,869Kcal,867Kcal,863Kcal,850Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"양푼비빔밥&계란후라이
팽이버섯장국
떡잡채(우목심:호주산)
배추김치","해물굴소스덮밥(오징어:국내산)
유부장국
야채춘권
짜사이채무침
양배추샐러드","칼국수
양파초절임
순대찜(돈창자:국내산)
배추김치","쟁반막국수
유부국
만두튀김(돈육:국내산)
무초절임","김치날치알밥
다시마무챗국
야채고로케
오복지무침",,
883Kcal,880Kcal,869Kcal,862Kcal,868Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"시금치된장국
떡갈비조림(돈육:국내산)
단호박전
오이지무침
쌀밥/배추김치","닭곰탕(계육
닭뼈:국산)
게맛살야채볶음
부추전
양념깻잎지
쌀밥/깍두기","오징어뭇국(오징어:원양산)
미트볼조림(돈육:국내산)
시래기나물
돌나물겉절이
쌀밥/배추김치","부대찌개(돈육:국산
수입산/계육:국산)
궁중떡볶이
유채나물
오복지무침
쌀밥/깍두기","사골곰탕(우양지:호주산)
장떡
오징어젓갈(오징어:국산)
고추지무침
쌀밥/깍두기","매운콩나물국
모둠잡채
어묵감자조림
무장아찌
쌀밥/배추김치","조랭이떡국
동그랑땡전(계육
돈육:국산)
연근조림
해초샐러드
쌀밥/배추김치"
867Kcal,881Kcal,873Kcal,884Kcal,873Kcal,869Kcal,870Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"닭갈비볶음밥(계육:국내산)
가다랭이국
새우커틀렛*타르타르소스
양배추샐러드
단무지","양지쌀국수(우양지:호주산)
딤섬(사모사)
무초절임","중국식볶음밥&짜장소스
짬뽕국(오징어:원양산)
두부강정
단무지","마파두부덮밥(돈육:국내산)
건새우뭇국
탕수육(돈육:국산)
단무지","돈가스덮밥(돈육:국내산)
우동국
떡맛탕
락교","아라비아타스파게티
완두콩스프
감자튀김*케찹
오이피클","오므라이스(돈육:국산
수입산/계육:국산)&미니함박(우육:호주산
뉴질랜드/돈육:국산)
유부국
오복지무침"
887Kcal,841Kcal,885Kcal,878Kcal,871Kcal,862Kcal,879Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
