■생활관식당(블루미르308관)
2015년 05월 04일 ~ 2015년 05월 10일
주간식단표
구분,월요일(05/04),화요일(05/05),수요일(05/06),목요일(05/07),금요일(05/08),토요일(05/09),일요일(05/10)
조식,한식,"떡갈비조림(돈육:국내산)
순두부맑은국
느타리미역줄기볶음
도시락김
쌀밥
깍두기","모둠장조림(돈육:국내산)
매운콩나물국
감자채볶음
시금치나물
쌀밥
깍두기","오징어뭇국
계란찜
시래기된장조림
두부구이*양념장
쌀밥
깍두기","닭곰탕(계육:국내산)
어묵곤약조림
유채나물
양파초절임
쌀밥
깍두기","호박고추장찌개
햄구이
꽈리고추멸치볶음
쑥갓겉절이
쌀밥
깍두기","조랭이떡국
무말랭이무침
완자조림(계육
돈육:국내산)
호박볶음
쌀밥
깍두기","쇠고기뭇국(우육:호주산)
생깻잎절임
알찬소시지전
어묵마늘종볶음
쌀밥
깍두기"
821Kcal,834Kcal,823Kcal,860Kcal,848Kcal,868Kcal,858Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치채소죽
계란장조림
씨리얼/우유/과일
배추김치","프렌치토스트
크림스프
햄구이
씨리얼/우유/과일
오이피클","단호박죽
오이생채
양배추샐러드
씨리얼/우유/과일
깍두기","핫케이크
크림스프
스크램블에그
양배추샐러드
씨리얼/우유/과일
오이피클","쇠고기죽
모둠버섯볶음
씨리얼/우유/과일
배추김치","참치샌드위치
크림스프
양배추샐러드
씨리얼/우유/과일
오이피클","버섯채소죽
계란후라이
씨리얼/우유/과일
나박물김치"
627Kcal,725Kcal,699Kcal,835Kcal,680Kcal,637Kcal,607Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"사골곰탕(우육
우사골엑기스:호주산)
게맛살채소전
열무나물
고추지무침
쌀밥
깍두기","참치채소비빔밥
미소장국
핫도그
배추김치","고기산적조림(돈육
계육:국내산)
수제비국
열무생채
느타리버섯볶음
쌀밥
깍두기","햄모둠찌개
꼬마돈가스튀김(돈육
계육:국내산)
다시마숙회
미역표고버섯볶음
쌀밥
깍두기","완자조림(계육
돈육:국내산)
유부장국
도라지오이생채
계란장조림
쌀밥
깍두기","쇠고기된장찌개(우육:호주산)
교자만두찜
콩나물무침
건파래
쌀밥
깍두기","참치김치찌개
생선커틀렛(중국산)
마늘종볶음
쫑상추겉절이
쌀밥
깍두기"
801Kcal,810Kcal,855Kcal,864Kcal,849Kcal,878Kcal,868Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
