■생활관식당(블루미르308관)
2015년 05월 11일 ~ 2015년 05월 17일
주간식단표
구분,월요일(05/11),화요일(05/12),수요일(05/13),목요일(05/14),금요일(05/15),토요일(05/16),일요일(05/17)
조식,한식,"비엔나어묵곤약조림
아욱된장국
오징어젓무침
생김구이*간장
쌀밥
배추김치","꽁치조림
버섯맑은국
주키니호박볶음
계란후라이
쌀밥
배추김치","쑥갓어묵탕
로스팜구이
미역줄기볶음
돌나물*초장
쌀밥
깍두기","조랭이떡국
완자전(계육
돈육:국내산)
무말랭이무침
건파래볶음
쌀밥
배추김치","너비아니구이(돈육
계육:국내산)
미역국
감자채볶음
브로콜리숙회
쌀밥
배추김치","닭곰탕(계육:국내산)
마늘종볶음
숙주나물
양파초절임
쌀밥
배추김치","물만둣국
호박버섯볶음
알찬소시지
쑥갓겉절이
쌀밥
배추김치"
670Kcal,808Kcal,836Kcal,857Kcal,769Kcal,825Kcal,862Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"맛살야채죽
삶은계란*소금
씨리얼/우유/과일
배추김치","하이견과토스트
크림스프
씨리얼/우유/과일
오이피클","고구마죽
찐계란*소금
씨리얼/우유/과일
베추김치","크루통&크림스프
햄구이
씨리얼/우유/과일
오이피클
","깨죽
곤약우엉조림
씨리얼/우유/과일
깍두기
","스크램블샌드위치
크림스프
씨리얼/우유/과일
오이피클","채소죽
무말랭이무침
씨리얼/우유/과일
양배추샐러드"
737Kcal,692Kcal,697Kcal,713Kcal,690Kcal,705Kcal,688Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"삼색수제비
게맛살채소볶음
두부찜
김지천
쌀밥
배추김치","사골우거지탕(우육
우사골엑기스:호주산)
팽이버섯볶음
감자전
후르츠샐러드
쌀밥
깍두기","참치김치찌개
감자채햄볶음
계란찜
열무나물
쌀밥
깍두기","돼지고기떡볶음(돈육:미국산)
콩나물국
양배추쌈
무생채
쌀밥
배추김치","설렁탕*소면사리(우육
우사골엑기스:호주산)
감자조림
시래기나물
누룽지샐러드
쌀밥
깍두기","나물된장비빔밥
미소장국
만두튀김
계란후라이
깍두기","고등어조림(고등어:국내산)
배추된장국
연두부찜
건파래볶음
쌀밥
깍두기"
879Kcal,869Kcal,844Kcal,865Kcal,882Kcal,879Kcal,810Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈가스카레라이스(돈육:국내산)
팽이버섯장국
단호박샐러드
단무지","치킨가스(계육
돈육:국내산)
크림스프
감자튀김
쌀밥
오이피클","김치말이국수
김가루양념밥
손만두찜
오이지무침","잡채덮밥&자장소스
콩나물국
계란후라이
단무지","치킨마파두부덮밥(계육:브라질)
일식장국
해초샐러드
단무지","마늘베이컨볶음밥
미소장국
떡갈비조림(돈육:국내산)
양배추샐러드
오이피클","제육당면덮밥(돈육:미국산)
배추된장국
떡강정
단무지"
887Kcal,805Kcal,756Kcal,839Kcal,861Kcal,880Kcal,830Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]얼큰닭칼국수(계육:국내산)
포자만두찜
무말랭이","[뚝]달래된장찌개
채소비빔공기
계란후라이
깍두기","버터장조림볶음밥(돈육:미국산)
팽이버섯맑은국
마늘종멸치볶음
열무생채","육감쫄면(돈육:미국산)
다시마뭇국
만두튀김
단무지","돌솥비빔밥
일식장국
계란후라이
채소춘권
깍두기",,
811Kcal,830Kcal,878Kcal,854Kcal,864Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"*추억의도시락*알찬소시지전
마늘종멸치볶음
계란후라이
건파래볶음
쌀밥
볶음김치","쇠고기뭇국(우육:호주산)
떡갈비조림(돈육:국내산)
생깻잎절임
콩나물무침
쌀밥
깍두기","취나물밥*양념장
뭇국
두부오징어가스
사각어묵볶음
깍두기","돈육고추장찌개(돈육:국내산)
햄계란전
청포묵무침
숙주나물
쌀밥
깍두기","모둠햄찌개
꼬마돈가스(돈육
계육:국내산)
시래기된장조림
미역초고추장무침
쌀밥
배추김치","육개장(우육:호주산)
환어묵볶음
열무나물
계란찜
쌀밥
깍두기","만두김치찌개
두부채소전
무조림
숙주나물
솎음배추겉절이"
868Kcal,811Kcal,840Kcal,857Kcal,873Kcal,836Kcal,859Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
