■생활관식당(블루미르308관)
2015년 05월 18일 ~ 2015년 05월 24일
주간식단표
구분,월요일(05/18),화요일(05/19),수요일(05/20),목요일(05/21),금요일(05/22),토요일(05/23),일요일(05/24)
조식,한식,"소시지감자조림
미역국
환어묵볶음
무나물
쌀밥
배추김치","꼬마돈가스(돈육
계육:국내산)
아욱된장국
채소잡채
콩나물무침
쌀밥
깍두기","순두부맑은국
햄전
어묵마늘종볶음
건파래볶음
쌀밥
배추김치","단호박영양밥
근대된장국
두부조림
유채나물
배추김치","조랭이떡국
새송이비엔나볶음
계란찜
무말랭이무침
쌀밥
깍두기","환어묵국
쑥갓두부무침
파래김구이
게맛살채소볶음
쌀밥
배추김치","닭곰탕(계육:국내산)
양파초절임
팽이버섯전
오이지무침
쌀밥
깍두기"
836Kcal,859Kcal,843Kcal,840Kcal,851Kcal,848Kcal,829Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"핫케이크
크림스프
양배추샐러드
시리얼&과일&우유
오이피클","닭죽(계육:국내산)
푸실리샐러드
시리얼&과일&우유
깍두기","프렌치토스트
크림스프
누룽지샐러드
시리얼&과일&우유
오이피클","참치채소죽
양배추샐러드
시리얼&과일&우유
배추김치","햄치즈샌드위치
크림스프
누룽지샐러드
시리얼&과일&우유
오이피클","단호박죽
스피랄리샐러드
시리얼&과일&우유
배추김치","시나몬토스트
햄구이
양배추샐러드
시리얼&과일&우유
오이피클"
732Kcal,750Kcal,766Kcal,748Kcal,780Kcal,772Kcal,770Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"콩나물밥*양념장
뭇국
치즈오징어가스
멕시칸샐러드
깍두기","물만둣국
쫄면채소무침
팽이버섯볶음
두부찜*양념장
쌀밥
배추김치","북엇국
만두탕수
시래기된장조림
매운미역초무침
쌀밥
배추김치","열무비빔밥&계란후라이
팽이버섯장국
두부빈대떡(돈육:미국산)
쌀밥
깍두기","설렁탕&소면사리(우육
사골엑기스:호주산)
매운감자조림
콩나물무침
유채나물
쌀밥
깍두기","만두김치찌개
완자조림(계육
돈육:국내산)
죽순버섯볶음
숙주나물
쌀밥
깍두기","고기산적조림(돈육:국내산)
수제비국
느타리버섯볶음
열무생채
쌀밥
배추김치"
879Kcal,872Kcal,866Kcal,879Kcal,880Kcal,882Kcal,875Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"스팸마요덮밥
뭇국
양배추샐러드
깍두기","김치볶음밥&계란후라이
미역국
핫도그
단무지","탄탄멘[일본식라면](돈육:미국산)
단무지","고추잡채덮밥&꽃빵
팽이버섯장국
채소춘권
짜사이채무침
후식","*택1메뉴*돈가스카레덮밥or돈가스덮밥(돈육:국내산)
미소장국
양배추샐러드
배추김치","치킨파프리카볶음밥(계육:브라질)
해초샐러드
깍두기
후식","매콤고추참치파스타
오이피클
음료"
852Kcal,873Kcal,872Kcal,869Kcal,878Kcal,877Kcal,856Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"*성년의날*[뚝]안동찜닭(계육:국내산)
뭇국
부추생채
쌀밥
깍두기","[뚝]김치날치알밥
미니우동
채소춘권
얼갈이겉절이","비엔나소시지파인애플볶음밥
아욱된장국
계란후라이
멕시칸샐러드
깍두기","뚝배기불고기(돈육:미국산)
팽이버섯장국
무초절임
양배추쌈
쌀밥
깍두기","[뚝]부대찌개&라면사리
만두튀김
도시락김
마카로니샐러드
쌀밥
깍두기",,
880Kcal,871Kcal,876Kcal,878Kcal,882Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"고등어조림(고등어:국내산)
쑥갓어묵탕
천사채샐러드
유채나물
쌀밥
배추김치","돼지고기김치찌개(돈육:미국산)
미역줄기볶음
알찬소시지전
숙주나물
쌀밥
깍두기","사골떡만둣국(우사골엑기스:호주산)
감자조림
새송이버섯볶음
오복지무침
쌀밥
깍두기","너비아니엿장조림(돈육
계육:국내산)
근대된장국
호박느타리버섯볶음
건파래볶음
쌀밥
배추김치","감자고추장찌개
메추리알장조림
햄마늘종볶음
돌나물*초장
쌀밥
배추김치","쇠고기뭇국(우육:호주산)
계란찜
생깻잎절임
브로콜리숙회*초장
쌀밥
깍두기","산채비빔밥&계란후라이
두부장국
배추김치
지마구"
870Kcal,879Kcal,879Kcal,871Kcal,871Kcal,876Kcal,864Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"오야꼬동[닭고기달걀덮밥](계육:브라질)
일식장국
양배추콘샐러드
단무지","닭갈비덮밥(계육:브라질)
미역국
허브생채
단무지","바몬드치킨카레라이스(계육:브라질)
일식장국
양배추샐러드
단무지","오므라이스&빅소시지구이
근대된장국
양배추샐러드
단무지","치킨마요덮밥(계육:미국산)
팽이버섯장국
떡강정
단무지","제육김치덮밥(돈육:미국산)
유부장국
콘샐러드
단무지","불고기볶음밥(우육:호주산)
두부장국
옥수수크로켓
무비트피클"
873Kcal,872Kcal,870Kcal,869Kcal,873Kcal,868Kcal,874Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
