■생활관식당(블루미르308관)
2015년 05월 25일 ~ 2015년 05월 31일
주간식단표
구분,월요일(05/25),화요일(05/26),수요일(05/27),목요일(05/28),금요일(05/29),토요일(05/30),일요일(05/31)
조식,한식,"만둣국
완자튀김*케찹(계육
돈육:국내산)
청포묵김가루무침
콩나물무침
쌀밥
깍두기","순두붓국
햄구이
감자조림
미역오이초무침
쌀밥
배추김치","오징어뭇국
비엔나브로콜리볶음
콩자반
도시락김
쌀밥
깍두기","삼색수제비
꼬마돈가스(돈육
계육:국내산)
게맛살채소볶음
열무생채
쌀밥
배추김치","참치김치볶음
뭇국
소시지양송이볶음
계란후라이
쌀밥
얼갈이겉절이","호박고추장찌개
치킨너겟(계육:국내산)
건파래볶음
오이지무침
쌀밥
깍두기","두부김칫국
메추리알장조림
감자채볶음
김구이
쌀밥
깍두기"
860Kcal,832Kcal,847Kcal,877Kcal,864Kcal,837Kcal,824Kcal
08:00~09:00,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"계란토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","새우채소죽
게맛살샐러드
배추김치
씨리얼/우유/과일","에그샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","단호박죽
멕시칸샐러드
솎음배추겉절이
씨리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
씨리얼/우유/과일","쇠고기죽(우육:호주산)
마카로니과일샐러드
배추김치
씨리얼/우유/과일","미니크로아상&데친후랑크
크림스프
양배추샐러드
씨리얼/우유/과일"
765Kcal,734Kcal,729Kcal,715Kcal,737Kcal,730Kcal,726Kcal
08:00~09:00,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"너비아니구이(돈육
계육:국내산)
미역국
계란찜
무생채
쌀밥
배추김치","떡갈비조림(돈육:국내산)
북엇국(북어:러시아)
맛느타리버섯볶음
쫑상추생채
쌀밥
배추김치","冷초계국수(계육:국내산)
김가루양념밥
단무지
후식","쇠고기뭇국(우육:호주산)
오징어완자전
마늘종고추장무침
배추된장나물
쌀밥
깍두기","*명동맛집*명동식칼국수
물만두
솎음배추겉절이
추가밥","닭고기춘장볶음(계육:브라질)
일식장국
숙주나물
미역초무침
쌀밥
배추김치","꽁치구이
일식장국
견과류조림
사각어묵볶음
쌀밥
깍두기"
863Kcal,873Kcal,851Kcal,878Kcal,880Kcal,875Kcal,863Kcal
11:30~13:00,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"토마토소스스파게티
모닝빵튀김*연유시럽
크림스프
무비트피클
탄산음료","돈코츠라멘[일본식라멘](돈육:미국산
돈잡뼈:국내산)
단무지
후식","햄채소볶음밥
콩나물국
계란후라이
치즈오징어가스
단무지","유부커리우동
해초샐러드
우엉양념밥
단무지","계란소보로덮밥
만두튀김
압축단무지
후식","샐러드돈가스(돈육:국내산)
일식장국
오이피클
후식","마파두부덮밥
일식장국
채소춘권
단무지"
862Kcal,871Kcal,869Kcal,868Kcal,874Kcal,854Kcal,875Kcal
11:30~13:00,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,,"[뚝]밀양돼지국밥(돈육:미국산
돈잡뼈:국내산)
김치전
부추생채
쌀밥
깍두기","[뚝]부대찌개
계란찜
마카로니샐러드
콩나물무침
쌀밥
깍두기","[뚝]제육생채소비빔밥(돈육:미국산)
팽이버섯맑은국
계란후라이
배추김치
후식","*7분김치찌개*쌀밥&김가루
콩나물무침
계란말이
깍두기",,
0Kcal,866Kcal,879Kcal,870Kcal,873Kcal,0Kcal,0Kcal
 :~ :,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
         0원,"     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"산채비빔밥
일식장국
두부탕수
계란후라이
배추김치","돈육김치볶음(돈육:미국산)
감자맑은국
두부계란전
도시락김
유채나물
쌀밥","설렁탕*소면사리(우육
우사골엑기스:호주산)
김치전
환어묵볶음
미역초무침
쌀밥
깍두기","고등어구이(고등어:국내산)
뭇국
주키니호박볶음
허브생채
쌀밥
배추김치","*추억의도시락*알찬소시지전
어묵마늘종볶음
계란후라이
건파래볶음
볶음김치
쌀밥","만두김치찌개
꼬마돈가스(돈육
계육:국내산)
미역줄기볶음
무나물
쌀밥
깍두기","돈육떡장조림(돈육:미국산)
쑥갓어묵탕
브로콜리숙회*초장
열무나물
쌀밥
배추김치"
850Kcal,875Kcal,880Kcal,871Kcal,870Kcal,879Kcal,881Kcal
17:30~18:30,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"가츠돈[돈가스덮밥](돈육:국내산)
일식장국
양배추샐러드
양식단무지","치킨파프리카볶음밥(계육:브라질)
감자맑은국
핫도그
양배추샐러드
단무지","오므라이스*미니함박(우육:호주
뉴질랜드/돈육:국내산)
우동국
양배추샐러드
오이피클","오징어덮밥
뭇국
단호박구이
단무지","불고기볶음밥(우육:호주산)
유부장국
스마일감자튀김
단무지","치킨마요덮밥(계육:국내산)
팽이버섯장국
할라피뇨&단무지
후식","김치볶음밥&계란후라이
팽이버섯장국
생선가스(중국산)
단무지"
873Kcal,878Kcal,876Kcal,843Kcal,852Kcal,872Kcal,876Kcal
17:30~18:30,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
