■생활관식당(블루미르308관)
2015년 04월 27일 ~ 2015년 05월 03일
주간식단표
구분,월요일(04/27),화요일(04/28),수요일(04/29),목요일(04/30),금요일(05/01),토요일(05/02),일요일(05/03)
조식,한식,"떡갈비조림(돈육:국내산)
북어채뭇국(북어:러시아)
미역초고추장무침
무팽이버섯나물
쌀밥
배추김치","사골떡만둣국(우사골엑기스:호주산)
사각어묵볶음
고들빼기절임
콩나물무침
쌀밥
깍두기","만두김치찌개
꼬마돈가스튀김(돈육
계육:국내산)
게맛살채소볶음
시금치나물
쌀밥
깍두기","너비아니엿장조림(돈육
계육:국내산)
뭇국
햄채소볶음
감자조림
쌀밥
깍두기","단호박영양밥
근대된장국
꽁치구이*와사비장
시래기나물
깍두기","버섯된장찌개
메추리알장조림
상추겉절이
감자채볶음
쌀밥
배추김치","버섯된장찌개
메추리알장조림
상추겉절이
감자채볶음
쌀밥
배추김치"
867Kcal,881Kcal,879Kcal,869Kcal,864Kcal,861Kcal,861Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"닭죽(계육:국내산)
쑥갓두부된장나물
솎음배추겉절이
시리얼&과일&우유","프렌치토스트
크림스프
양배추샐러드
시리얼&과일&우유
오이피클","버섯채소죽
무말랭이무침
솎음배추겉절이
시리얼&과일&우유","미니크로아상
데친후랑크소시지
양배추샐러드
크림스프
오이피클
시리얼&과일&우유","핫케이크
스크램블에그
크림스프
양배추샐러드
오이피클
시리얼&과일&우유","소고기죽(우육:호주산)
어묵마늘종볶음
얼갈이겉절이
시리얼&과일&우유","소고기죽(우육:호주산)
어묵마늘종볶음
얼갈이겉절이
시리얼&과일&우유"
724Kcal,711Kcal,705Kcal,814Kcal,741Kcal,713Kcal,713Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"참치김치찌개
삼색계란찜
마늘종볶음
숙주나물
쌀밥
깍두기","*택1메뉴*참치or제육(돈육:미국산)
채소비빔밥
미소장국
만두튀김
깍두기","닭갈비떡볶음(계육:브라질)
미역국
마카로니샐러드
무초절임
쌀밥
배추김치","*추억의도시락*알찬소시지전
잔멸치청고추볶음
계란후라이
건파래볶음
쌀밥
볶음김치","닭가슴살떡불고기(계육:국내산)
사각어묵국
푸실리샐러드
무생채
쌀밥
솎음배추겉절이","산채비빔밥
얼갈이된장국
계란후라이
멕시칸샐러드
배추김치","산채비빔밥
얼갈이된장국
계란후라이
멕시칸샐러드
배추김치"
856Kcal,876Kcal,877Kcal,868Kcal,882Kcal,867Kcal,867Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"불고기볶음밥(우육:호주산)
우동국
왕꼬치구이(돈육
계육:국내산)
단무지","오므라이스*하이스토핑
미소장국
해초샐러드
단무지","고기국수(돈잡뼈
돈육:국내산)
부추생채
단무지
후식","미트볼하이라이스(돈육:국내산)
미소장국
양배추콘샐러드
오복지무침","토마토소스스파게티
마늘바게트
무비트피클
탄산음료","참치마요덮밥
얼갈이된장국
무비트피클
후식","참치마요덮밥
얼갈이된장국
무비트피클
후식"
870Kcal,872Kcal,865Kcal,869Kcal,871Kcal,869Kcal,869Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
