■생활관식당(블루미르308관)
2015년 06월 08일 ~ 2015년 06월 14일
주간식단표
구분,월요일(06/08),화요일(06/09),수요일(06/10),목요일(06/11),금요일(06/12),토요일(06/13),일요일(06/14)
조식,한식,"햄모둠찌개
계란찜
브로콜리숙회*초장
미역줄기볶음
쌀밥
깍두기","오징어뭇국
콩자반
비엔나소시지볶음
계란후라이
쌀밥/깍두기","김칫국
메추리알장조림
시금치나물
소시지채소볶음
쌀밥/깍두기","떡만둣국
완자전(계육
돈육:국내산)
실곤약채소무침
오이지무침
쌀밥/깍두기","고기산적조림(돈육:국내산)
일식장국
죽봉어묵볶음
무생채
쌀밥/배추김치","순두붓국
햄계란전
새송이버섯볶음
도시락김
쌀밥/배추김치","너비아니구이(돈육
계육:국내산)
사각어묵국
호박볶음
오이생채
쌀밥/배추김치"
861Kcal,906Kcal,809Kcal,888Kcal,921Kcal,724Kcal,848Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
양배추샐러드
우유/씨리얼/과일
피클","닭죽(계육:국내산)
푸실리샐러드
우유/씨리얼/과일
깍두기","모닝빵햄치즈샌드위치
크림스프
양배추샐러드
우유/씨리얼/과일
피클","참치죽
후르츠양배추샐러드
우유/씨리얼/과일
깍두기","참치샌드위치
크림스프
양배추샐러드
우유/씨리얼/과일
피클","단호박죽
크루통샐러드
우유/씨리얼/과일
배추김치","계란토스트
크림스프
양배추샐러드
우유/씨리얼/과일
피클"
504Kcal,601Kcal,604Kcal,600Kcal,600Kcal,605Kcal,699Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"열무비빔밥&미니칼국수
계란후라이
마카로니샐러드
배추김치","참치김치찌개
꼬마돈가스튀김(돈육
계육:국내산)
무짠지채무침
파래김구이
쌀밥/깍두기","제육떡볶음(돈육:미국산)
오이냉국
양배추쌈*쌈장
콩나물무침
쌀밥/배추김치","冷김치말이국수
모둠탕수(돈육:국내산)
깍두기","돼지고기김치볶음(돈육:미국산)
배추된장국
두부찜*양념장
얼갈이나물
쌀밥","나물된장비빔밥
유부장국
계란후라이
멕시칸샐러드
배추김치","고등어구이(고등어:국내산)
팽이버섯장국
환어묵조림
건파래볶음
쌀밥/깍두기"
961Kcal,889Kcal,898Kcal,902Kcal,706Kcal,949Kcal,864Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈가스김치덮밥(돈육:국내산)
유부장국
양배추샐러드
단무지","잡채덮밥&자장소스
다시마뭇국
채소춘권튀김
단무지","돈코츠라멘(일본식라면)(돈육
돈잡뼈:국내산)
단무지","불갈비스테이크(돈육
계육:국내산)
미소장국
양배추콘샐러드
오이피클
쌀밥","불고기볶음밥(우육:호주산)
배추된장국
스마일감자튀김
무비트피클","고추참치덮밥
유부장국
옥수수크로켓
단무지","계란볶음밥&자장소스
짬뽕국
만두튀김
단무지"
887Kcal,959Kcal,944Kcal,975Kcal,891Kcal,904Kcal,992Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]부대찌개&라면사리
콩나물무침
사각어묵볶음
쌀밥/깍두기","*택1메뉴*물냉면or비빔냉면
교자만두찜
단무지","오므라이스&카레소스*팝콘치킨토핑(계육:국내산)
우동국
양배추샐러드
깍두기","*선택토핑*[뚝]채소비빔밥(닭갈비or제육볶음)(계육:브라질)(돈육:미국산)
미소장국
콘샐러드","생선가스(중국산)&미니함박스테이크(우육:호주
뉴질랜드/돈육:국내산)
쌀밥
양배추샐러드
오이피클",,
861Kcal,859Kcal,976Kcal,897Kcal,998Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"닭곰탕(계육:국내산)
단호박전
명엽채볶음
고추지무침
쌀밥/깍두기","설렁탕(우육
우사골엑기스:호주산)
김치전
도토리묵무침
양파초절임
쌀밥/깍두기","오징어떡볶음
미역국
오이숙주나물
스크램블에그
쌀밥/배추김치","꽁치조림
열무된장국
쑥갓두부무침
맛느타리버섯볶음
쌀밥/배추김치","산채비빔밥
계란후라이
얼갈이된장국
천사채샐러드
깍두기","부추돼지고기볶음(돈육:미국산)
뭇국
양배추쌈
무초절임
쌀밥/깍두기","떡갈비조림(돈육:국내산)
물만두국
채소잡채
유채나물
쌀밥/깍두기"
