■생활관식당(블루미르308관)
2015년 06월 15일 ~ 2015년 06월 21일
주간식단표
구분,월요일(06/15),화요일(06/16),수요일(06/17),목요일(06/18),금요일(06/19),토요일(06/20),일요일(06/21)
조식,한식,"닭곰탕(계육:국내산)
맛느타리버섯볶음
계란찜
마늘종지무침
쌀밥/깍두기","참치김치찌개
완자튀김(계육
돈육:국내산)
미역줄기볶음
숙주나물
쌀밥/깍두기","북엇국(북어:러시아)
모둠어묵채소볶음
곤약콩조림
건파래볶음
쌀밥/깍두기","쇠고기미역국(우육:호주산)
햄구이
호박볶음
부추생채
쌀밥/배추김치","순두부김칫국
소시지채소볶음
얼갈이나물
건파래볶음
쌀밥/깍두기","햄모둠찌개
올방개묵무침
느타리버섯볶음
다시마숙회*초장
쌀밥/배추김치","미트볼조림(돈육
계육:국내산)
수제비국
팽이버섯볶음
상추겉절이
쌀밥/배추김치"
804Kcal,700Kcal,701Kcal,664Kcal,682Kcal,770Kcal,790Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","닭죽(계육:국내산)
푸실리샐러드
깍두기
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","채소죽
누룽지샐러드
깍두기
씨리얼/우유/과일","참치샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","단호박죽
크루통샐러드
배추김치
씨리얼/우유/과일","계란토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
672Kcal,668Kcal,688Kcal,704Kcal,772Kcal,568Kcal,715Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"죽봉어묵볶음
근대된장국
햄구이
쫑상추겉절이
쌀밥/배추김치","돈육버섯불고기(돈육:미국산)
일식장국
콩나물무침
무생채
쌀밥/솎음배추겉절이","산채비빔밥
미소장국
옥수수고로케
계란후라이
배추김치","오징어떡볶음
콩나물국
청포묵김가루무침
해초샐러드
쌀밥/배추김치","우거지해장국
맛살채소볶음
단호박*고구마맛탕
유채나물
쌀밥/깍두기","콩나물밥*양념장
일식장국
홈소시지전
떡맛탕
배추김치","닭개장(돈육:국내산)
두부조림
콩나물무침
열무생채
쌀밥/배추김치"
721Kcal,897Kcal,883Kcal,827Kcal,750Kcal,939Kcal,720Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"유부커리우동
옥수수크로켓
오복지무침","치킨마요덮밥(계육:국내산)
일식장국
단호박구이
단무지","김치볶음밥(돈육:국내산)
일식장국
왕꼬치구이(돈육
계육:국내산)
단무지","냉모밀국수
채소춘권
유부양념밥
오복지무침","계란볶음밥*짜장소스&중화면사리
일식장국
짜사이채무침","불고기볶음밥(우육:호주산)
일식장국
스마일감자튀김
배추김치","가츠돈(돈육:국내산)
우동국
사우어크라우트
락교*단무지"
890Kcal,833Kcal,862Kcal,924Kcal,910Kcal,792Kcal,801Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"[뚝]부대찌개&라면사리
계란찜
깍두기
후식","뚝배기파스타
미니피자토스트
양배추샐러드
오이피클
후식","[뚝]뼈없는감자탕(돈육:미국산
돈잡뼈:국내산)
부추생채
팽이버섯전
솎음배추겉절이","[뚝]밀양돼지국밥(돈육:미국산
돈잡뼈:국내산)
사각어묵볶음
오이생채
쌀밥/깍두기","[뜩]돌솥비빔밥&계란후라이
얼갈이된장국
옥수수콘샐러드
깍두기
후식",,
818Kcal,945Kcal,800Kcal,855Kcal,879Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"쇠고기된장찌개(우육:호주산)
알찬소시지전*케찹
고구마순들깨나물
미역오이초무침
쌀밥/배추김치","설렁탕&소면사리(우육
우사골엑기스:호주산)
어묵잡채
마늘종무침
오이스틱무침
쌀밥/깍두기","너비아니엿장조림(돈육
계육:국내산)
콩나물국
치커리생채
김구이
쌀밥/배추김치","육개장(우육:호주산)
연두부찜
우엉조림
어묵전
쌀밥/배추김치","닭갈비채소볶음(계육:브라질)
미역국
무초절임
오이지무침
쌀밥/솎음배추겉절이","만두김치찌개
주키니호박전
삼색채소냉채
도시락김
쌀밥/깍두기","돈육김치볶음(돈육:국내산)
사각어묵국
시금치나물
브로콜리숙회
쌀밥/깍두기"
880Kcal,806Kcal,766Kcal,793Kcal,749Kcal,876Kcal,885Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈가스카레라이스(돈육:국내산)
우동국
양배추샐러드
배추김치","오므라이스&미니함박(우육:호주
뉴질랜드/돈육:국내산)
미역국
양배추샐러드
단무지","치킨카레라이스&새우커틀렛
콩나물국
양배추샐러드
단무지","순살돈가스(돈육:국내산)
쫄면콩나물무침
우동국
쌀밥/오이피클
후식","오삼불고기덮밥(돈육:미국산)
미역국
마카로니샐러드
단무지","참치마요덮밥
우동국
양배추샐러드
무비트피클
후식","햄채소볶음밥*케찹
사각어묵국
핫도그
단무지"
954Kcal,855Kcal,622Kcal,992Kcal,825Kcal,802Kcal,780Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
