■생활관식당(블루미르308관)
2015년 06월 22일 ~ 2015년 06월 28일
주간식단표
구분,월요일(06/22),화요일(06/23),수요일(06/24),목요일(06/25),금요일(06/26),토요일(06/27),일요일(06/28)
조식,한식,"들깨순두부버섯탕
주키니호박볶음
스크램블에그
콩나물무침
쌀밥/배추김치","미트볼조림(돈육
계육:국내산)
시락국
감자채볶음
치커리유자청생채
쌀밥/배추김치","돈육김치찌개(돈육:미국산)
환어묵조림
건파래볶음
열무나물
쌀밥/깍두기","소시지채소볶음
콩나물국
오징어링튀김
계란후라이
쌀밥/배추김치","사골우거지탕(우육
우사골엑기스:호주산)
두부전
파래김구이
게맛살채소볶음
쌀밥/깍두기","호박고추장찌개
치킨너겟(계육:국내산)
견과류조림
숙주나물
쌀밥/깍두기",
709Kcal,810Kcal,789Kcal,899Kcal,739Kcal,699Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"콩도너츠
크림스프
양배추샐러드
오이피클
시리얼/우유/과일","채소죽
단호박찜
배추김치
시리얼/우유/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
시리얼/우유/과일","닭죽(계육:국내산)
마카로니샐러드
깍두기
시리얼/우유/과일","미니크로아상
데친후랑크소시지
양배추샐러드
오이피클
시리얼/우유/과일",,"에그샌드위치
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일"
571Kcal,400Kcal,456Kcal,602Kcal,360Kcal,0Kcal,533Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
