■생활관식당(블루미르308관)
2015년 06월 01일 ~ 2015년 06월 07일
주간식단표
구분,월요일(06/01),화요일(06/02),수요일(06/03),목요일(06/04),금요일(06/05),토요일(06/06),일요일(06/07)
조식,한식,"오징어떡볶음
미역국
햄마늘종볶음
탕평채
쌀밥
배추김치","닭곰탕(계육:국내산)
김치전
맛느타리버섯볶음
고추지무침
쌀밥
깍두기","고기산적조림(돈육:국내산)
일식장국
브로콜리숙회*초장
생깻잎절임
쌀밥
배추김치","오징어완자전
쇠고기뭇국(우육:호주산)
마늘종고추장무침
건파래볶음
쌀밥
깍두기","고등어구이
솎음배추된장국
게맛살채소볶음
허브생채
쌀밥
배추김치","너비아니구이(돈육
계육:국내산)
미역국
잡채어묵조림
무생채
쌀밥
배추김치","사골만둣국(사골엑기스:호주산)
완자전(계육
돈육:국내산)
숙주나물
열무생채
쌀밥
배추김치"
857Kcal,966Kcal,801Kcal,777Kcal,777Kcal,908Kcal,893Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
크림스프
시리얼&우유&과일
오이피클","쇠고기죽(우육:호주산)
누룽지샐러드
시리얼&우유&과일
깍두기","미니크로아상&데친후랑크소시지
양배추샐러드
시리얼&우유&과일
오이피클","버섯채소죽
조랭이떡샐러드
시리얼&우유&과일
깍두기","참치샌드위치
크림스프
양배추샐러드
시리얼&우유&과일
오이피클","단호박죽
멕시칸샐러드
시리얼&우유&과일
배추김치","핫케이크&단호박구이
크림스프
시리얼&우유&과일
오이피클"
555Kcal,531Kcal,503Kcal,489Kcal,471Kcal,501Kcal,509Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"취나물밥*양념장
강된장찌개
채소잡채
무생채
배추김치","돼지고기굴소스볶음(돈육:미국산)
호박새우젓국
콩나물무침
양배추쌈
솎음배추겉절이
쌀밥","참치김치찌개
감자채볶음
파래김구이
숙주나물
쌀밥
깍두기","설렁탕&소면사리(우육
사골엑기스:호주산)
김치전
떡강정
호박볶음
쌀밥
깍두기","*추억의도시락*알찬소시지전
볶음김치
건파래볶음
계란후라이
어묵마늘종볶음
쌀밥","수제비국
미트볼조림(돈육:국내산)
사각어묵볶음
미역오이초무침
쌀밥
깍두기","돼지고기춘장볶음(돈육:미국산)
양배추쌈
미나리무생채
오이지무침
쌀밥
깍두기"
753Kcal,797Kcal,716Kcal,935Kcal,918Kcal,888Kcal,723Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"치킨마요덮밥(계육:국내산)
일식장국
단호박구이
단무지","탄탄멘[일본식라면](돈육:미국산)
단무지
후식","쌀국수(우육:호주산)
채소춘권
단무지","김치볶음밥&두부오징어가스
사각어묵국
스크램블에그
단무지","오므라이스&미니파스타
우동국
양배추샐러드
오이피클","제육덮밥(돈육:미국산)
우동국
파인콘샐러드
단무지","파인애플볶음밥
미역국
생선가스
오이피클"
807Kcal,944Kcal,638Kcal,955Kcal,939Kcal,918Kcal,929Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"크림스파게티&미니함박(우육:호주
뉴질랜드산/돈육:국내산)
양배추샐러드
오이피클","[뚝]미니날치알밥&어묵우동
깍두기","*택1메뉴*짬볶밥(짬뽕+볶음밥)or짜볶밥(자장면+볶음밥)
짜사이채무침","돈육고추장볶음(돈육:미국산)
미역국
상추쌈
무생채
얼갈이겉절이
쌀밥","*즉석요리*볶음우동&계란후라이
양배추샐러드
오이피클",,
880Kcal,860Kcal,927Kcal,824Kcal,900Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"육개장(우육:호주산)
두부채소전
새송이버섯볶음
양파초절임
쌀밥
배추김치","해물순두부찌개
콩자반
부추전
양배추샐러드
쌀밥
깍두기","산채비빔밥&계란후라이
얼갈이된장국
마카로니콘샐러드
배추김치","닭개장(계육:국내산)
두부구이
마늘종볶음
교자만두찜
쌀밥
배추김치","나물된장비빔밥
유부장국
계란후라이
꼬마돈가스튀김(돈육:국내산)
배추김치","콩나물밥*양념장(우육:호주산)
시금치된장국
두부강정
쑥갓겉절이
쌀밥
배추김치","열무비빔밥&미니칼국수
계란후라이
푸실리콘샐러드
배추김치"
792Kcal,766Kcal,946Kcal,839Kcal,968Kcal,936Kcal,927Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"샐러드돈가스(돈육:국내산)
일식장국
마카로니샐러드
배추김치","잡채덮밥&자장소스
계란팟국
만두튀김
단무지","햄채소볶음밥
얼갈이된장국
왕꼬치구이(계육:국내산)
깍두기","마파소시지덮밥
콩나물국
스크램블에그
양배추샐러드
단무지","돈가스김치덮밥(돈육:국내산)
미역국
양배추샐러드
단무지","참치마요덮밥
시금치된장국
무비트피클
후식","돈가스카레라이스(돈육:국내산)
일식장국
양배추샐러드
오복지무침"
960Kcal,906Kcal,766Kcal,847Kcal,837Kcal,955Kcal,902Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
