■생활관식당(블루미르308관)
2015년 07월 06일 ~ 2015년 07월 12일
주간식단표
구분,월요일(07/06),화요일(07/07),수요일(07/08),목요일(07/09),금요일(07/10),토요일(07/11),일요일(07/12)
조식,한식,"모둠장조림(돈육:미국산)
솎음배추된장국
게맛살채소볶음
시금치나물
쌀밥/깍두기","완자전(계육
돈육:국내산)
순두부김칫국
연근조림
치커리들깨소스무침
쌀밥/깍두기","쇠고기뭇국(우육:호주산)
생깻잎절임
맛느타리버섯볶음
해물경단
쌀밥/배추김치","호박고추장찌개
고기산적조림(돈육:국내산)
어묵마늘종볶음
콩나물무침
쌀밥/깍두기","수제비국
참치김치볶음
무나물
알찬소시지전
쌀밥
건파래볶음","비엔나소시지볶음
뭇국
두부조림
브로콜리숙회
쌀밥
배추김치",
680Kcal,676Kcal,633Kcal,829Kcal,888Kcal,847Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일","닭죽(계육:국내산)
푸실리샐러드
깍두기
우유/씨리얼/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일","참치채소죽
후르츠샐러드
깍두기
우유/씨리얼/과일","참치샌드위치
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일",,"계란토스트
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일"
788Kcal,565Kcal,677Kcal,700Kcal,784Kcal,0Kcal,711Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"만두김치찌개
감자전
미역줄기볶음
채소겉절이
쌀밥/깍두기","열무비빔밥
미역냉국
계란후라이
마카로니샐러드
배추김치","떡갈비스테이크조림(돈육:국내산)
미역국
참나물겉절이
두부탕수
쌀밥/배추김치","콩나물밥*양념장
일식장국
두부오징어가스
채소잡채
배추김치","설렁탕&소면사리(우육
우사골엑기스:호주산)
올방개묵무침
단호박전
무말랭이무침
쌀밥/깍두기","육개장(우육:호주산)
어묵탕수
채소샐러드
콩자반
쌀밥/배추김치",
711Kcal,990Kcal,927Kcal,915Kcal,813Kcal,936Kcal,0Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
