■생활관식당(블루미르308관)
2015년 07월 13일 ~ 2015년 07월 19일
주간식단표
구분,월요일(07/13),화요일(07/14),수요일(07/15),목요일(07/16),금요일(07/17),토요일(07/18),일요일(07/19)
조식,한식,"오징어뭇국
매운떡갈비조림(돈육:국내산)
맛느타리버섯볶음
미역레몬초무침
쌀밥/배추김치","장터국밥(우육:호주산)
청경채겉절이
어묵볶음
건파래
쌀밥/깍두기","감자고추장찌개
햄계란전
쑥갓겉절이
푸실리샐러드
쌀밥/배추김치","메추리알장조림
배추된장국
홈소시지전
허브생채
쌀밥/깍두기","꽁치조림
열무된장국
쑥갓두부무침
팽이버섯전
쌀밥/깍두기","수제비국
가지나물
꼬마돈가스조림(돈육
계육:국내산)
맛살채소볶음
쌀밥/배추김치",
817Kcal,822Kcal,808Kcal,822Kcal,866Kcal,890Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"프렌치토스트
양송이스프
양배추샐러드
씨리얼/우유/과일
오이피클","채소죽
오징어젓갈무생채
씨리얼/우유/과일
깍두기","계란샌드위치
채소스프
양배추샐러드
씨리얼/우유/과일
오이피클","채소죽
스크램블에그
양배추샐러드
씨리얼/우유/과일
깍두기","참치샌드위치
감자스프
양배추샐러드
씨리얼/우유/과일
오이피클",,"미니크로아상*데친후랑크소시지
크림스프
양배추샐러드
씨리얼/우유/과일
오이피클"
669Kcal,701Kcal,716Kcal,567Kcal,680Kcal,0Kcal,802Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"오징어완자전
쇠고기뭇국(우육:호주산)
감자조림
얼갈이나물
쌀밥/깍두기","고기산적조림(돈육
계육:국내산)
미역국
브로콜리숙회
스크램블에그
쌀밥/배추김치","참치김치찌개
숙주나물
두부강정
도시락김
쌀밥/깍두기","사골만둣국(우사골엑기스:호주산)
완자튀김(계육
돈육:국내산)
청포묵김가루무침
상추겉절이
쌀밥/깍두기","취나물밥*양념장
강된장찌개
만두땅콩강정
배추김치",,
768Kcal,921Kcal,849Kcal,858Kcal,933Kcal,0Kcal,0Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"탄탄멘(일본식라면)(돈육:미국산)
단무지","고추잡채덮밥
미역국
버섯탕수
짜사이채무침","스팸마요덮밥
우동국
양배추샐러드
배추김치
후식","후랑크계란볶음밥
일식장국
핫도그
후식","유부커리우동
오복지볶음밥
해초샐러드
배추김치","참치채소볶음밥
뭇국
계란후라이
미니함박스테이크
깍두기","산채비빔밥
얼갈이된장국
고구마맛탕
계란후라이
깍두기"
944Kcal,928Kcal,865Kcal,846Kcal,954Kcal,758Kcal,988Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"싱가폴스파게티(볶음스파게티)
채소춘권
단무지
후식","[뚝]부추돼지고기볶음(돈육:미국산)
미역국
양배추쌈
무초절임
쌀밥/얼갈이겉절이","타이칠리볶음밥(우육:호주산)
우동국
계란후라이
사모사튀김
오이피클","비빔막국수
옥수수조랭이떡샐러드
단무지
후식","[뚝]돈육불고기(돈육:미국산)
쫑상추겉절이
양배추쌈
쌀밥/깍두기",,
978Kcal,782Kcal,920Kcal,896Kcal,789Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"설렁탕*소면사리(우육
우사골엑기스:호주산)
김치전
잡채
고추지무침
쌀밥/깍두기","오징어떡볶음
계란팟국
감자환어묵조림
콩나물무침
쌀밥/깍두기","북어해장국(북어:러시아)
단호박견과류조림
부추전
마늘쫑무침
쌀밥/배추김치","닭개장(계육:국내산)
양파초절임
두부조림
호박볶음
쌀밥/깍두기","떡국
돼지고기김치볶음(돈육:미국산)
건파래볶음
게맛살전
쌀밥/얼갈이겉절이","닭고기채소볶음(계육:브라질)
근대된장국
허브생채
콩나물무침
쌀밥/깍두기",
980Kcal,742Kcal,750Kcal,705Kcal,811Kcal,861Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"김치볶음밥*소시지구이
우동국
마카로니샐러드
단무지","자장덮밥
계란팟국
비빔채소만두
단무지
후식","매콤고추참치덮밥
우동국
푸실리샐러드
오복지무침","베이컨햄볶음밥
일식장국
파인콘샐러드
배추김치","샐러드돈가스(돈육:국내산)
미소장국
압축단무지
후식",,"치킨카레라이스(계육:브라질)
유부장국
두부강정
배추김치"
846Kcal,791Kcal,949Kcal,787Kcal,791Kcal,0Kcal,886Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
