■생활관식당(블루미르308관)
2015년 07월 20일 ~ 2015년 07월 26일
주간식단표
구분,월요일(07/20),화요일(07/21),수요일(07/22),목요일(07/23),금요일(07/24),토요일(07/25),일요일(07/26)
조식,한식,"순두부찌개
소시지전
명엽채볶음
오이생채
쌀밥/깍두기","완자조림(계육
돈육:국내산)
콩나물국
게맛살팽이버섯전
미역줄기볶음
쌀밥/배추김치
","두부조림
시락국
후랑크채소볶음
콩나물무침
쌀밥/깍두기","두부김치국
연근땅콩조림
꼬마돈가스(돈육
계육:국내산)
김구이
쌀밥/배추김치","치킨너겟(계육:국내산)
어묵국
생깻잎절임
마늘종실치볶음
쌀밥/깍두기","감자고추장찌개
쑥갓겉절이
햄구이
건파래볶음
쌀밥/배추김치",
874Kcal,724Kcal,787Kcal,905Kcal,673Kcal,668Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"핫케이크*단호박조림
크림스프
오이피클
우유/씨리얼/과일","채소죽
연근조림
양배추샐러드
깍두기
우유/씨리얼/과일","프렌치토스트
크림스프
양배추샐러드
오이피클
우유/씨리얼/과일","소고기죽(우육:호주산)
오징어젓무생채
양배추샐러드
배추김치
우유/씨리얼/과일","콩도너츠*스크램블에그
크림스프
오이피클
우유/씨리얼/과일",,"미니크로아상*데친후랑크소시지
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
560Kcal,450Kcal,579Kcal,674Kcal,607Kcal,0Kcal,550Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"고기산적조림(돈육
계육:국내산)
미역국
버섯잡채
브로콜리숙회
쌀밥/깍두기","콩나물밥*양념장
시금치된장국
생선커틀렛
사각어묵볶음
배추김치","고기국수(돈육
돈잡뼈:국내산)
열무생채
단호박구이
깍두기","*옛날도시락*소시지전
마늘종어묵볶음
계란후라이
건파래볶음
볶음김치
쌀밥","오징어뭇국
매운떡갈비조림(돈육:국내산)
주키니호박전
쫑상추겉절이
쌀밥/배추김치",,"설렁탕*소면사리(우육
우사골엑기스:호주산)
김치전
두부조림
열무생채
쌀밥/깍두기"
870Kcal,923Kcal,780Kcal,923Kcal,903Kcal,0Kcal,940Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"소시지마파두부덮밥
우동국
교자만두찜
양배추샐러드
단무지","미트볼하이라이스(돈육
계육:국내산)
시금치된장국
마카로니샐러드
깍두기","김치볶음밥*계란후라이
왕꼬치구이(돈육
계육:국내산)
양배추샐러드
단무지","돈가스김치덮밥(돈육:국내산)
열무된장국
양배추샐러드
단무지","토마토소스스파게티
연유모닝빵
양배추샐러드
오이피클
탄산음료","돈가스카레라이스(돈육:국내산)
우동국
양배추샐러드
깍두기",
845Kcal,839Kcal,893Kcal,864Kcal,790Kcal,902Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"냉메밀국수
고구마맛탕
단무지
후식","오므라이스*토마토소스스파게티
우동국
그린채소샐러드오이피클","[뚝]밀양돼지국밥(돈육
돈잡뼈:국내산)
부추생채
새송이버섯볶음
고추지무침
쌀밥/깍두기","[뚝]부대찌개*라면사리
마카로니샐러드
오이생채
쌀밥/깍두기","[뚝]돌솥비빔밥
팽이버섯장국
계란후라이
환어묵볶음
배추김치",,
851Kcal,908Kcal,940Kcal,790Kcal,972Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"육개장(우육:호주산)
허브생채
게맛살튀김
감자채소전
쌀밥/깍두기","참치김치찌개
감자채볶음
계란찜
도시락김
쌀밥/깍두기","너비아니구이(돈육
계육:국내산)
팽이버섯장국
마늘종볶음
두부탕수
쌀밥/깍두기","닭곰탕*소면사리(계육:국내산)
고추지무침
두부채소전
유채나물
쌀밥/깍두기","감자수제비*채소비빔밥
계란후라이
건파래무침
배추김치","제육생채소비빔밥(돈육:미국산)
뭇국
마카로니샐러드
깍두기",
789Kcal,672Kcal,951Kcal,707Kcal,927Kcal,907Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"치킨커틀렛*양념치킨소스
일식장국
채소볶음밥
양배추샐러드
오이피클","햄채소볶음밥*계란후라이
짬뽕국
옥수수크로켓
배추김치","참치마요덮밥
팽이버섯장국
무비트초절임
후식","사천식돈육볶음덮밥(돈육:미국산)
뭇국
양배추샐러드
단무지","채소볶음밥*미니함박(우육:호주
뉴질랜드/돈육:국내산)
일식장국
깍두기",,"잡채덮밥*자장소스
계란팟국
단무지
후식"
988Kcal,957Kcal,872Kcal,760Kcal,888Kcal,0Kcal,950Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
