■생활관식당(블루미르308관)
2015년 07월 27일 ~ 2015년 08월 02일
주간식단표
구분,월요일(07/27),화요일(07/28),수요일(07/29),목요일(07/30),금요일(07/31),토요일(08/01),일요일(08/02)
조식,한식,"미트볼조림(돈육
계육:국내산
우육:호주산)
열무된장국
참나물겉절이
건파래볶음
쌀밥/깍두기","사골우거지탕(우사골엑기스:호주산)
두부계란전
치커리들깨소스무침
다시마숙회
쌀밥/배추김치","치킨너겟(계육:국내산)
두부김칫국
상추겉절이
스크램블에그
쌀밥/깍두기","쇠고기된장찌개(우육:호주산)
메추리알장조림
부추생채
콩나물무침
쌀밥/배추김치","사골만둣국(우사골엑기스:호주산)
해물경단
브로콜리숙회
오이지무침
쌀밥/깍두기","조랭이떡국
무말랭이무침
계란찜
게맛살채소볶음
쌀밥/깍두기",
755Kcal,812Kcal,769Kcal,658Kcal,891Kcal,935Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"참치채소죽
햄구이
깍두기
씨리얼/우유/과일","에그샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","들깨버섯죽
스크램블에그
무생채
씨리얼/우유/과일","시나몬토스트
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","단호박죽
삶은계란*소금
배추김치
씨리얼/우유/과일",,"미니크로아상*데친후랑크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
595Kcal,556Kcal,533Kcal,464Kcal,501Kcal,0Kcal,430Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
중식,한식,"햄모둠찌개
호박버섯볶음
브로콜리숙회
부추전
쌀밥/깍두기","쇠고기뭇국(우육:호주산)
생깻잎절임
채소잡채
팽이버섯양파볶음
쌀밥/배추김치","호박고추장찌개
햄채소볶음
도토리묵무침
환어묵조림
쌀밥/깍두기","닭곰탕*소면사리(계육:국내산)
양파초절임
김치전
허브생채
쌀밥/깍두기","오징어뭇국
고구마순들깨나물
어묵탕수
도시락김
쌀밥/깍두기",,"참치채소비빔밥
뭇국
어묵전
마카로니샐러드
배추김치"
868Kcal,843Kcal,786Kcal,669Kcal,915Kcal,0Kcal,935Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"돈육두반장덮밥(돈육:미국산)
미역국
누룽지샐러드
단무지","제육김치볶음밥(돈육:미국산)
미소장국
두부탕수
양배추샐러드
단무지","오므라이스*소시지구이
팽이버섯장국
양배추샐러드
오이피클","햄마요덮밥
유부장국
고구마맛탕
무비트피클","류산슬덮밥
일식장국
사모사튀김
양배추초절임","채소볶음밥*계란후라이
미소장국
생선가스(중국산)
배추김치",
890Kcal,995Kcal,680Kcal,935Kcal,904Kcal,976Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
특식,특식,"칼국수*채소비빔밥
계란후라이
깍두기","[뚝]버섯불고기(돈육:미국산)
양배추쌈
무초절임
솎음배추겉절이
쌀밥","[뚝]오삼불고기(돈육:미국산)
팽이버섯장국
계란찜
양배추샐러드
쌀밥/배추김치","샐러드스파게티*미니식빵피자빵
감자튀김
오이피클","짬뽕
물만두찜
계란볶음밥
단무지",,
835Kcal,820Kcal,844Kcal,940Kcal,935Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"단호박영양밥
근대된장국
꽁치조림
무나물
스피릴리볶음
배추김치","황태해장국
견과류조림
두부채소전
무말랭이무침
쌀밥/배추김치","참치김치찌개
모둠채소겉절이
만두강정
숙주나물
쌀밥/깍두기","도토리묵산채비빔밥
미역오이냉국
마카로니샐러드
계란후라이
배추김치","삼치구이
미역국
채소잡채
오이지무침
쌀밥/깍두기","닭개장(계육:국내산)
모둠콩찹쌀전
열무나물
쫑상추겉절이
쌀밥/깍두기",
656Kcal,786Kcal,750Kcal,902Kcal,691Kcal,822Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"치킨마요덮밥(계육:국내산)
일식장국
단호박구이
단무지","자장덮밥*군만두튀김
계란국
짜사이채무침
후식","돈가스카레라이스(돈육:국내산)
일식장국
양배추샐러드
깍두기","클래식함박스테이크(계육
돈육:국내산)
크림스프
계란후라이
양배추샐러드
오이피클","새우카레볶읍밥
미역국
계란후라이
핫도그
깍두기",,"두반가지덮밥
계란팟국
채소튀김
양배추샐러드
오복지무침"
779Kcal,962Kcal,822Kcal,870Kcal,934Kcal,0Kcal,860Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
공지사항,
