■생활관식당(블루미르308관)
2015년 06월 29일 ~ 2015년 07월 05일
주간식단표
구분,월요일(06/29),화요일(06/30),수요일(07/01),목요일(07/02),금요일(07/03),토요일(07/04),일요일(07/05)
조식,한식,,"쇠고기뭇국(우육:호주산)
완자전(계육
돈육:국내산)
새송이버섯볶음
열무나물
쌀밥/배추김치","햄모둠찌개
사각어묵볶음
치커리생채
계란후라이
쌀밥/깍두기","쇠고기된장찌개(우육:호주산)
부추전
마늘종멸치볶음
건파래볶음
쌀밥/배추김치","사골우거지탕(우육
우사골엑기스:호주산)
두부구이
깻잎지무침
오이초절임
쌀밥/배추김치","너비아니엿장조림(돈육
계육:국내산)
감자맑은국
김구이
주키니호박볶음
쌀밥/깍두기",
,697Kcal,900Kcal,671Kcal,734Kcal,655Kcal,0Kcal
,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
,"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"닭죽(계육:국내산)
멕시칸샐러드
깍두기
씨리얼/우유/과일","햄치즈샌드위치
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","쇠고기죽(우육:호주산)
양상추크래송샐러드
깍두기
씨리얼/우유/과일","미니크로아상
데친후랑크
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일","버섯채소죽
황도양상추샐러드
솎음배추겉절이
씨리얼/우유/과일",,"핫케이크
스크램블에그
크림스프
양배추샐러드
오이피클
씨리얼/우유/과일"
522Kcal,588Kcal,464Kcal,533Kcal,435Kcal,0Kcal,504Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
